# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          u        g        r        i        z
   8       600  4.50  3.0  3.1     0.000    3.036    2.361    1.799    1.162 
   8       600  4.50  4.0  3.1     0.000    4.045    3.148    2.397    1.548 
   8       600  4.50  5.0  3.1     0.000    5.051    3.933    2.995    1.932 
   8       600  4.50  6.0  3.1     0.000    6.056    4.718    3.591    2.316 
   8       600  4.50  7.0  3.1     0.000    7.059    5.503    4.188    2.699 
   8       600  4.50  8.0  3.1     0.000    8.060    6.287    4.783    3.081 
   8       600  4.50  9.0  3.1     0.000    9.059    7.070    5.378    3.463 
   8       600  4.50 10.0  3.1     0.000   10.056    7.853    5.972    3.843 
   9       600  5.00  1.0  3.1     0.000    1.016    0.788    0.601    0.390 
   9       600  5.00  2.0  3.1     0.000    2.030    1.576    1.202    0.778 
   9       600  5.00  3.0  3.1     0.000    3.042    2.363    1.801    1.166 
   9       600  5.00  4.0  3.1     0.000    4.053    3.150    2.400    1.553 
   9       600  5.00  5.0  3.1     0.000    5.062    3.936    2.999    1.939 
   9       600  5.00  6.0  3.1     0.000    6.068    4.721    3.596    2.324 
   9       600  5.00  7.0  3.1     0.000    7.073    5.507    4.193    2.709 
   9       600  5.00  8.0  3.1     0.000    8.076    6.291    4.789    3.092 
   9       600  5.00  9.0  3.1     0.000    9.078    7.075    5.385    3.475 
   9       600  5.00 10.0  3.1     0.000   10.077    7.858    5.980    3.856 
  10       600  5.50  1.0  3.1     0.000    1.019    0.789    0.602    0.392 
  10       600  5.50  2.0  3.1     0.000    2.036    1.578    1.204    0.783 
  10       600  5.50  3.0  3.1     0.000    3.052    2.366    1.805    1.173 
  10       600  5.50  4.0  3.1     0.000    4.065    3.154    2.405    1.561 
  10       600  5.50  5.0  3.1     0.000    5.077    3.941    3.004    1.949 
  10       600  5.50  6.0  3.1     0.000    6.086    4.728    3.602    2.336 
  10       600  5.50  7.0  3.1     0.000    7.094    5.514    4.200    2.722 
  10       600  5.50  8.0  3.1     0.000    8.100    6.299    4.797    3.108 
  10       600  5.50  9.0  3.1     0.000    9.104    7.084    5.394    3.492 
  10       600  5.50 10.0  3.1     0.000   10.107    7.868    5.989    3.876 
  11       600  6.00  1.0  3.1     1.407    1.022    0.791    0.604    0.395 
  11       600  6.00  2.0  3.1     2.814    2.042    1.581    1.207    0.788 
  11       600  6.00  3.0  3.1     4.221    3.061    2.371    1.809    1.181 
  11       600  6.00  4.0  3.1     5.628    4.078    3.160    2.410    1.572 
  11       600  6.00  5.0  3.1     7.034    5.093    3.949    3.010    1.962 
  11       600  6.00  6.0  3.1     8.441    6.106    4.737    3.610    2.351 
  11       600  6.00  7.0  3.1     9.848    7.118    5.524    4.208    2.740 
  11       600  6.00  8.0  3.1    11.255    8.128    6.311    4.807    3.127 
  11       600  6.00  9.0  3.1    12.661    9.135    7.098    5.404    3.514 
  11       600  6.00 10.0  3.1    14.068   10.141    7.883    6.001    3.899 
  12       700  3.50  1.0  3.1     1.449    1.034    0.797    0.607    0.402 
  12       700  3.50  2.0  3.1     2.898    2.066    1.593    1.213    0.802 
  12       700  3.50  3.0  3.1     4.347    3.097    2.389    1.818    1.201 
  12       700  3.50  4.0  3.1     5.794    4.126    3.184    2.422    1.599 
  12       700  3.50  5.0  3.1     7.242    5.153    3.978    3.025    1.996 
  12       700  3.50  6.0  3.1     8.688    6.179    4.772    3.627    2.392 
  12       700  3.50  7.0  3.1    10.134    7.202    5.566    4.229    2.787 
  12       700  3.50  8.0  3.1    11.579    8.224    6.359    4.830    3.180 
  12       700  3.50  9.0  3.1    13.023    9.244    7.151    5.430    3.572 
  12       700  3.50 10.0  3.1    14.467   10.262    7.943    6.029    3.964 
  13       700  4.00  1.0  3.1     1.450    1.035    0.797    0.608    0.402 
  13       700  4.00  2.0  3.1     2.899    2.068    1.594    1.214    0.803 
  13       700  4.00  3.0  3.1     4.348    3.100    2.390    1.819    1.203 
  13       700  4.00  4.0  3.1     5.796    4.130    3.185    2.424    1.602 
  13       700  4.00  5.0  3.1     7.243    5.158    3.980    3.027    1.999 
  13       700  4.00  6.0  3.1     8.690    6.184    4.775    3.630    2.395 
  13       700  4.00  7.0  3.1    10.136    7.209    5.569    4.232    2.791 
  13       700  4.00  8.0  3.1    11.581    8.232    6.362    4.833    3.185 
  13       700  4.00  9.0  3.1    13.026    9.253    7.155    5.433    3.577 
  13       700  4.00 10.0  3.1    14.470   10.272    7.947    6.032    3.969 
  14       700  4.50  1.0  3.1     1.448    1.032    0.796    0.606    0.400 
  14       700  4.50  2.0  3.1     2.896    2.062    1.591    1.211    0.799 
  14       700  4.50  3.0  3.1     4.343    3.090    2.385    1.816    1.196 
  14       700  4.50  4.0  3.1     5.789    4.116    3.178    2.419    1.593 
  14       700  4.50  5.0  3.1     7.235    5.141    3.972    3.022    1.988 
  14       700  4.50  6.0  3.1     8.680    6.164    4.764    3.624    2.382 
  14       700  4.50  7.0  3.1    10.124    7.185    5.556    4.225    2.775 
  14       700  4.50  8.0  3.1    11.568    8.204    6.348    4.825    3.167 
  14       700  4.50  9.0  3.1    13.012    9.221    7.139    5.424    3.558 
  14       700  4.50 10.0  3.1    14.455   10.237    7.929    6.023    3.948 
  15       700  5.00  1.0  3.1     1.450    1.032    0.796    0.606    0.400 
  15       700  5.00  2.0  3.1     2.899    2.063    1.591    1.212    0.799 
  15       700  5.00  3.0  3.1     4.347    3.092    2.385    1.817    1.198 
  15       700  5.00  4.0  3.1     5.795    4.119    3.179    2.421    1.594 
  15       700  5.00  5.0  3.1     7.242    5.144    3.972    3.024    1.990 
  15       700  5.00  6.0  3.1     8.689    6.168    4.765    3.626    2.385 
  15       700  5.00  7.0  3.1    10.135    7.189    5.557    4.227    2.778 
  15       700  5.00  8.0  3.1    11.580    8.209    6.349    4.828    3.171 
  15       700  5.00  9.0  3.1    13.025    9.227    7.140    5.428    3.562 
  15       700  5.00 10.0  3.1    14.469   10.244    7.930    6.027    3.953 
  16       700  5.50  1.0  3.1     1.452    1.034    0.796    0.608    0.403 
  16       700  5.50  2.0  3.1     2.903    2.066    1.592    1.214    0.804 
  16       700  5.50  3.0  3.1     4.354    3.097    2.387    1.820    1.204 
  16       700  5.50  4.0  3.1     5.803    4.126    3.181    2.425    1.602 
  16       700  5.50  5.0  3.1     7.252    5.153    3.975    3.029    2.000 
  16       700  5.50  6.0  3.1     8.701    6.178    4.768    3.631    2.396 
  16       700  5.50  7.0  3.1    10.148    7.201    5.560    4.234    2.791 
  16       700  5.50  8.0  3.1    11.595    8.223    6.352    4.835    3.186 
  16       700  5.50  9.0  3.1    13.042    9.243    7.144    5.435    3.579 
  16       700  5.50 10.0  3.1    14.487   10.261    7.935    6.035    3.971 
  17       700  6.00  1.0  3.1     1.454    1.037    0.797    0.609    0.406 
  17       700  6.00  2.0  3.1     2.907    2.072    1.594    1.217    0.810 
  17       700  6.00  3.0  3.1     4.359    3.105    2.390    1.824    1.213 
  17       700  6.00  4.0  3.1     5.811    4.136    3.185    2.430    1.614 
  17       700  6.00  5.0  3.1     7.262    5.166    3.980    3.035    2.015 
  17       700  6.00  6.0  3.1     8.712    6.194    4.774    3.639    2.414 
  17       700  6.00  7.0  3.1    10.161    7.220    5.568    4.242    2.812 
  17       700  6.00  8.0  3.1    11.610    8.245    6.361    4.844    3.208 
  17       700  6.00  9.0  3.1    13.058    9.267    7.154    5.446    3.604 
  17       700  6.00 10.0  3.1    14.506   10.288    7.946    6.047    3.998 
  18       800  3.50  1.0  3.1     1.458    1.046    0.803    0.614    0.415 
  18       800  3.50  2.0  3.1     2.914    2.092    1.605    1.226    0.828 
  18       800  3.50  3.0  3.1     4.371    3.135    2.406    1.837    1.239 
  18       800  3.50  4.0  3.1     5.826    4.177    3.207    2.447    1.649 
  18       800  3.50  5.0  3.1     7.281    5.218    4.007    3.056    2.057 
  18       800  3.50  6.0  3.1     8.735    6.256    4.807    3.663    2.464 
  18       800  3.50  7.0  3.1    10.188    7.293    5.606    4.270    2.869 
  18       800  3.50  8.0  3.1    11.640    8.329    6.405    4.876    3.273 
  18       800  3.50  9.0  3.1    13.092    9.362    7.202    5.480    3.676 
  18       800  3.50 10.0  3.1    14.543   10.394    8.000    6.084    4.078 
  19       800  4.00  1.0  3.1     1.457    1.047    0.803    0.613    0.414 
  19       800  4.00  2.0  3.1     2.914    2.092    1.605    1.225    0.826 
  19       800  4.00  3.0  3.1     4.370    3.136    2.406    1.836    1.237 
  19       800  4.00  4.0  3.1     5.825    4.178    3.207    2.446    1.646 
  19       800  4.00  5.0  3.1     7.279    5.218    4.007    3.055    2.054 
  19       800  4.00  6.0  3.1     8.733    6.257    4.807    3.662    2.461 
  19       800  4.00  7.0  3.1    10.186    7.294    5.606    4.269    2.866 
  19       800  4.00  8.0  3.1    11.639    8.329    6.404    4.874    3.270 
  19       800  4.00  9.0  3.1    13.090    9.363    7.202    5.479    3.672 
  19       800  4.00 10.0  3.1    14.541   10.394    7.999    6.083    4.073 
  20       800  4.50  1.0  3.1     1.457    1.045    0.801    0.612    0.412 
  20       800  4.50  2.0  3.1     2.913    2.087    1.601    1.223    0.822 
  20       800  4.50  3.0  3.1     4.368    3.128    2.401    1.833    1.231 
  20       800  4.50  4.0  3.1     5.822    4.167    3.201    2.442    1.639 
  20       800  4.50  5.0  3.1     7.276    5.205    4.000    3.050    2.044 
  20       800  4.50  6.0  3.1     8.729    6.241    4.798    3.656    2.449 
  20       800  4.50  7.0  3.1    10.181    7.275    5.595    4.262    2.852 
  20       800  4.50  8.0  3.1    11.632    8.308    6.392    4.867    3.254 
  20       800  4.50  9.0  3.1    13.083    9.339    7.189    5.470    3.655 
  20       800  4.50 10.0  3.1    14.533   10.368    7.985    6.073    4.055 
  21       800  5.00  1.0  3.1     1.457    1.044    0.801    0.612    0.413 
  21       800  5.00  2.0  3.1     2.914    2.087    1.602    1.224    0.825 
  21       800  5.00  3.0  3.1     4.369    3.128    2.402    1.834    1.235 
  21       800  5.00  4.0  3.1     5.824    4.168    3.201    2.443    1.643 
  21       800  5.00  5.0  3.1     7.279    5.206    4.000    3.051    2.050 
  21       800  5.00  6.0  3.1     8.732    6.242    4.798    3.658    2.456 
  21       800  5.00  7.0  3.1    10.185    7.277    5.596    4.265    2.860 
  21       800  5.00  8.0  3.1    11.637    8.309    6.393    4.870    3.263 
  21       800  5.00  9.0  3.1    13.089    9.340    7.189    5.474    3.665 
  21       800  5.00 10.0  3.1    14.539   10.370    7.985    6.077    4.066 
  22       800  5.50  1.0  3.1     1.458    1.045    0.802    0.613    0.415 
  22       800  5.50  2.0  3.1     2.916    2.088    1.603    1.226    0.828 
  22       800  5.50  3.0  3.1     4.372    3.129    2.403    1.837    1.241 
  22       800  5.50  4.0  3.1     5.828    4.169    3.203    2.447    1.651 
  22       800  5.50  5.0  3.1     7.283    5.207    4.002    3.056    2.060 
  22       800  5.50  6.0  3.1     8.737    6.244    4.801    3.664    2.468 
  22       800  5.50  7.0  3.1    10.191    7.279    5.599    4.270    2.874 
  22       800  5.50  8.0  3.1    11.644    8.312    6.396    4.876    3.279 
  22       800  5.50  9.0  3.1    13.096    9.344    7.193    5.481    3.682 
  22       800  5.50 10.0  3.1    14.548   10.373    7.989    6.085    4.085 
  23       800  6.00  1.0  3.1     1.459    1.047    0.804    0.615    0.418 
  23       800  6.00  2.0  3.1     2.918    2.092    1.606    1.229    0.836 
  23       800  6.00  3.0  3.1     4.376    3.136    2.408    1.842    1.251 
  23       800  6.00  4.0  3.1     5.833    4.178    3.209    2.454    1.665 
  23       800  6.00  5.0  3.1     7.289    5.218    4.010    3.064    2.078 
  23       800  6.00  6.0  3.1     8.745    6.257    4.810    3.673    2.488 
  23       800  6.00  7.0  3.1    10.200    7.294    5.609    4.281    2.898 
  23       800  6.00  8.0  3.1    11.654    8.330    6.408    4.888    3.306 
  23       800  6.00  9.0  3.1    13.108    9.363    7.206    5.494    3.712 
  23       800  6.00 10.0  3.1    14.561   10.396    8.004    6.099    4.117 
  24       900  3.50  1.0  3.1     1.464    1.058    0.809    0.621    0.429 
  24       900  3.50  2.0  3.1     2.927    2.115    1.618    1.241    0.856 
  24       900  3.50  3.0  3.1     4.390    3.170    2.425    1.859    1.280 
  24       900  3.50  4.0  3.1     5.851    4.223    3.232    2.476    1.703 
  24       900  3.50  5.0  3.1     7.312    5.275    4.039    3.091    2.124 
  24       900  3.50  6.0  3.1     8.772    6.325    4.844    3.705    2.544 
  24       900  3.50  7.0  3.1    10.232    7.373    5.649    4.318    2.962 
  24       900  3.50  8.0  3.1    11.690    8.420    6.454    4.929    3.378 
  24       900  3.50  9.0  3.1    13.148    9.465    7.257    5.539    3.792 
  24       900  3.50 10.0  3.1    14.605   10.509    8.060    6.148    4.205 
  25       900  4.00  1.0  3.1     1.464    1.058    0.809    0.621    0.428 
  25       900  4.00  2.0  3.1     2.927    2.114    1.617    1.241    0.855 
  25       900  4.00  3.0  3.1     4.389    3.169    2.424    1.859    1.280 
  25       900  4.00  4.0  3.1     5.851    4.222    3.231    2.476    1.703 
  25       900  4.00  5.0  3.1     7.311    5.273    4.037    3.091    2.124 
  25       900  4.00  6.0  3.1     8.771    6.323    4.843    3.705    2.543 
  25       900  4.00  7.0  3.1    10.230    7.371    5.647    4.317    2.961 
  25       900  4.00  8.0  3.1    11.689    8.417    6.452    4.928    3.377 
  25       900  4.00  9.0  3.1    13.146    9.462    7.255    5.539    3.791 
  25       900  4.00 10.0  3.1    14.603   10.505    8.058    6.147    4.204 
  26       900  4.50  1.0  3.1     1.463    1.055    0.808    0.619    0.426 
  26       900  4.50  2.0  3.1     2.925    2.108    1.614    1.237    0.850 
  26       900  4.50  3.0  3.1     4.385    3.160    2.420    1.854    1.272 
  26       900  4.50  4.0  3.1     5.846    4.210    3.225    2.469    1.693 
  26       900  4.50  5.0  3.1     7.305    5.258    4.030    3.082    2.112 
  26       900  4.50  6.0  3.1     8.763    6.305    4.834    3.695    2.529 
  26       900  4.50  7.0  3.1    10.221    7.350    5.637    4.306    2.944 
  26       900  4.50  8.0  3.1    11.678    8.393    6.440    4.916    3.358 
  26       900  4.50  9.0  3.1    13.135    9.435    7.242    5.525    3.770 
  26       900  4.50 10.0  3.1    14.590   10.475    8.043    6.133    4.181 
  27       900  5.00  1.0  3.1     1.463    1.056    0.808    0.621    0.429 
  27       900  5.00  2.0  3.1     2.925    2.111    1.616    1.240    0.856 
  27       900  5.00  3.0  3.1     4.387    3.163    2.423    1.858    1.282 
  27       900  5.00  4.0  3.1     5.848    4.214    3.229    2.475    1.705 
  27       900  5.00  5.0  3.1     7.308    5.264    4.035    3.090    2.127 
  27       900  5.00  6.0  3.1     8.767    6.312    4.840    3.703    2.547 
  27       900  5.00  7.0  3.1    10.225    7.358    5.644    4.316    2.965 
  27       900  5.00  8.0  3.1    11.683    8.402    6.447    4.927    3.381 
  27       900  5.00  9.0  3.1    13.140    9.445    7.250    5.537    3.796 
  27       900  5.00 10.0  3.1    14.596   10.486    8.052    6.146    4.210 
  28       900  5.50  1.0  3.1     1.463    1.056    0.809    0.621    0.429 
  28       900  5.50  2.0  3.1     2.926    2.110    1.616    1.241    0.856 
  28       900  5.50  3.0  3.1     4.387    3.163    2.423    1.858    1.281 
  28       900  5.50  4.0  3.1     5.848    4.214    3.229    2.475    1.705 
  28       900  5.50  5.0  3.1     7.308    5.263    4.035    3.090    2.126 
  28       900  5.50  6.0  3.1     8.767    6.310    4.840    3.703    2.546 
  28       900  5.50  7.0  3.1    10.225    7.356    5.644    4.316    2.965 
  28       900  5.50  8.0  3.1    11.683    8.401    6.447    4.927    3.381 
  28       900  5.50  9.0  3.1    13.139    9.444    7.250    5.537    3.796 
  28       900  5.50 10.0  3.1    14.595   10.485    8.052    6.145    4.209 
  29      1000  3.50  1.0  3.1     1.468    1.066    0.813    0.626    0.436 
  29      1000  3.50  2.0  3.1     2.935    2.129    1.625    1.250    0.870 
  29      1000  3.50  3.0  3.1     4.401    3.191    2.437    1.873    1.303 
  29      1000  3.50  4.0  3.1     5.866    4.250    3.247    2.494    1.733 
  29      1000  3.50  5.0  3.1     7.331    5.308    4.057    3.113    2.161 
  29      1000  3.50  6.0  3.1     8.794    6.365    4.866    3.731    2.587 
  29      1000  3.50  7.0  3.1    10.257    7.419    5.674    4.348    3.012 
  29      1000  3.50  8.0  3.1    11.719    8.472    6.482    4.962    3.434 
  29      1000  3.50  9.0  3.1    13.180    9.524    7.289    5.576    3.855 
  29      1000  3.50 10.0  3.1    14.640   10.573    8.095    6.188    4.275 
  30      1000  4.00  1.0  3.1     1.469    1.066    0.814    0.627    0.437 
  30      1000  4.00  2.0  3.1     2.936    2.131    1.626    1.252    0.873 
  30      1000  4.00  3.0  3.1     4.403    3.193    2.438    1.875    1.306 
  30      1000  4.00  4.0  3.1     5.868    4.253    3.249    2.497    1.737 
