# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          u        g        r        i        z
 142      3200  5.50  3.0  3.1     4.639    3.480    2.574    1.980    1.451 
 142      3200  5.50  4.0  3.1     6.174    4.623    3.427    2.635    1.930 
 142      3200  5.50  5.0  3.1     7.706    5.759    4.277    3.288    2.407 
 142      3200  5.50  6.0  3.1     9.233    6.888    5.126    3.938    2.881 
 142      3200  5.50  7.0  3.1    10.756    8.010    5.971    4.585    3.353 
 142      3200  5.50  8.0  3.1    12.275    9.126    6.815    5.230    3.823 
 142      3200  5.50  9.0  3.1    13.791   10.236    7.657    5.873    4.290 
 142      3200  5.50 10.0  3.1    15.303   11.341    8.496    6.513    4.755 
 143      3300  5.00  1.0  3.1     1.547    1.175    0.862    0.665    0.486 
 143      3300  5.00  2.0  3.1     3.089    2.340    1.721    1.327    0.970 
 143      3300  5.00  3.0  3.1     4.626    3.496    2.578    1.986    1.451 
 143      3300  5.00  4.0  3.1     6.159    4.644    3.432    2.643    1.930 
 143      3300  5.00  5.0  3.1     7.688    5.784    4.284    3.297    2.407 
 143      3300  5.00  6.0  3.1     9.212    6.916    5.133    3.948    2.882 
 143      3300  5.00  7.0  3.1    10.733    8.041    5.980    4.597    3.354 
 143      3300  5.00  8.0  3.1    12.251    9.159    6.825    5.244    3.824 
 143      3300  5.00  9.0  3.1    13.765   10.272    7.668    5.888    4.291 
 143      3300  5.00 10.0  3.1    15.277   11.379    8.509    6.529    4.757 
 144      3300  5.50  1.0  3.1     1.551    1.171    0.862    0.665    0.487 
 144      3300  5.50  2.0  3.1     3.096    2.333    1.721    1.327    0.971 
 144      3300  5.50  3.0  3.1     4.636    3.487    2.577    1.986    1.453 
 144      3300  5.50  4.0  3.1     6.171    4.633    3.431    2.643    1.932 
 144      3300  5.50  5.0  3.1     7.702    5.771    4.282    3.297    2.410 
 144      3300  5.50  6.0  3.1     9.229    6.901    5.131    3.949    2.884 
 144      3300  5.50  7.0  3.1    10.752    8.025    5.978    4.598    3.357 
 144      3300  5.50  8.0  3.1    12.271    9.143    6.822    5.245    3.827 
 144      3300  5.50  9.0  3.1    13.787   10.255    7.664    5.889    4.295 
 144      3300  5.50 10.0  3.1    15.299   11.362    8.505    6.531    4.761 
 145      3400  5.00  1.0  3.1     1.547    1.177    0.863    0.666    0.487 
 145      3400  5.00  2.0  3.1     3.088    2.344    1.723    1.329    0.971 
 145      3400  5.00  3.0  3.1     4.625    3.502    2.580    1.990    1.453 
 145      3400  5.00  4.0  3.1     6.158    4.651    3.435    2.648    1.933 
 145      3400  5.00  5.0  3.1     7.687    5.792    4.287    3.304    2.410 
 145      3400  5.00  6.0  3.1     9.211    6.926    5.137    3.957    2.885 
 145      3400  5.00  7.0  3.1    10.732    8.052    5.985    4.607    3.358 
 145      3400  5.00  8.0  3.1    12.250    9.172    6.830    5.255    3.829 
 145      3400  5.00  9.0  3.1    13.765   10.286    7.674    5.900    4.297 
 145      3400  5.00 10.0  3.1    15.276   11.395    8.515    6.543    4.763 
 146      3400  5.50  1.0  3.1     1.550    1.173    0.862    0.666    0.487 
 146      3400  5.50  2.0  3.1     3.095    2.338    1.722    1.330    0.972 
 146      3400  5.50  3.0  3.1     4.635    3.494    2.579    1.991    1.454 
 146      3400  5.50  4.0  3.1     6.170    4.641    3.433    2.650    1.934 
 146      3400  5.50  5.0  3.1     7.701    5.781    4.285    3.306    2.412 
 146      3400  5.50  6.0  3.1     9.227    6.913    5.135    3.959    2.887 
 146      3400  5.50  7.0  3.1    10.750    8.039    5.982    4.610    3.360 
 146      3400  5.50  8.0  3.1    12.269    9.158    6.827    5.258    3.831 
 146      3400  5.50  9.0  3.1    13.785   10.272    7.670    5.903    4.299 
 146      3400  5.50 10.0  3.1    15.298   11.380    8.510    6.547    4.765 
 147      3500  5.00  1.0  3.1     1.546    1.178    0.863    0.668    0.487 
 147      3500  5.00  2.0  3.1     3.087    2.346    1.724    1.333    0.971 
 147      3500  5.00  3.0  3.1     4.624    3.505    2.581    1.996    1.454 
 147      3500  5.00  4.0  3.1     6.156    4.656    3.437    2.656    1.934 
 147      3500  5.00  5.0  3.1     7.684    5.798    4.289    3.313    2.412 
 147      3500  5.00  6.0  3.1     9.209    6.933    5.140    3.967    2.887 
 147      3500  5.00  7.0  3.1    10.730    8.061    5.988    4.619    3.361 
 147      3500  5.00  8.0  3.1    12.247    9.182    6.833    5.268    3.832 
 147      3500  5.00  9.0  3.1    13.762   10.297    7.677    5.915    4.300 
 147      3500  5.00 10.0  3.1    15.274   11.407    8.519    6.560    4.767 
 148      3500  5.50  1.0  3.1     1.549    1.175    0.863    0.668    0.488 
 148      3500  5.50  2.0  3.1     3.093    2.342    1.723    1.334    0.973 
 148      3500  5.50  3.0  3.1     4.633    3.499    2.581    1.997    1.455 
 148      3500  5.50  4.0  3.1     6.167    4.648    3.436    2.657    1.936 
 148      3500  5.50  5.0  3.1     7.698    5.790    4.288    3.315    2.414 
 148      3500  5.50  6.0  3.1     9.224    6.924    5.138    3.970    2.890 
 148      3500  5.50  7.0  3.1    10.747    8.051    5.986    4.622    3.363 
 148      3500  5.50  8.0  3.1    12.266    9.172    6.831    5.272    3.834 
 148      3500  5.50  9.0  3.1    13.782   10.287    7.675    5.919    4.303 
 148      3500  5.50 10.0  3.1    15.295   11.396    8.516    6.564    4.770 
 149      3600  5.00  1.0  3.1     1.546    1.179    0.863    0.670    0.487 
 149      3600  5.00  2.0  3.1     3.087    2.349    1.724    1.336    0.973 
 149      3600  5.00  3.0  3.1     4.624    3.509    2.582    2.000    1.455 
 149      3600  5.00  4.0  3.1     6.157    4.661    3.438    2.661    1.936 
 149      3600  5.00  5.0  3.1     7.685    5.805    4.291    3.320    2.414 
 149      3600  5.00  6.0  3.1     9.210    6.941    5.142    3.975    2.890 
 149      3600  5.00  7.0  3.1    10.731    8.070    5.990    4.628    3.364 
 149      3600  5.00  8.0  3.1    12.249    9.193    6.837    5.279    3.835 
 149      3600  5.00  9.0  3.1    13.764   10.309    7.681    5.926    4.304 
 149      3600  5.00 10.0  3.1    15.276   11.419    8.523    6.572    4.771 
 150      3600  5.50  1.0  3.1     1.549    1.177    0.863    0.670    0.488 
 150      3600  5.50  2.0  3.1     3.093    2.345    1.724    1.337    0.973 
 150      3600  5.50  3.0  3.1     4.633    3.504    2.582    2.001    1.456 
 150      3600  5.50  4.0  3.1     6.168    4.655    3.437    2.663    1.937 
 150      3600  5.50  5.0  3.1     7.698    5.798    4.290    3.322    2.415 
 150      3600  5.50  6.0  3.1     9.225    6.934    5.140    3.978    2.891 
 150      3600  5.50  7.0  3.1    10.748    8.062    5.989    4.631    3.365 
 150      3600  5.50  8.0  3.1    12.267    9.184    6.835    5.282    3.837 
 150      3600  5.50  9.0  3.1    13.783   10.300    7.678    5.930    4.306 
 150      3600  5.50 10.0  3.1    15.297   11.411    8.520    6.576    4.773 
 151      3700  5.00  1.0  3.1     1.546    1.180    0.864    0.671    0.487 
 151      3700  5.00  2.0  3.1     3.088    2.351    1.726    1.339    0.973 
 151      3700  5.00  3.0  3.1     4.625    3.512    2.584    2.004    1.456 
 151      3700  5.00  4.0  3.1     6.158    4.666    3.440    2.666    1.937 
 151      3700  5.00  5.0  3.1     7.687    5.811    4.294    3.325    2.416 
 151      3700  5.00  6.0  3.1     9.212    6.948    5.145    3.982    2.892 
 151      3700  5.00  7.0  3.1    10.733    8.078    5.994    4.636    3.366 
 151      3700  5.00  8.0  3.1    12.251    9.202    6.841    5.288    3.838 
 151      3700  5.00  9.0  3.1    13.767   10.319    7.685    5.936    4.307 
 151      3700  5.00 10.0  3.1    15.279   11.431    8.527    6.583    4.774 
 152      3700  5.50  1.0  3.1     1.550    1.179    0.864    0.671    0.488 
 152      3700  5.50  2.0  3.1     3.094    2.348    1.725    1.339    0.974 
 152      3700  5.50  3.0  3.1     4.634    3.509    2.583    2.005    1.457 
 152      3700  5.50  4.0  3.1     6.169    4.661    3.439    2.668    1.938 
 152      3700  5.50  5.0  3.1     7.700    5.805    4.292    3.328    2.417 
 152      3700  5.50  6.0  3.1     9.227    6.942    5.143    3.985    2.894 
 152      3700  5.50  7.0  3.1    10.750    8.072    5.992    4.640    3.368 
 152      3700  5.50  8.0  3.1    12.270    9.195    6.838    5.292    3.840 
 152      3700  5.50  9.0  3.1    13.786   10.313    7.682    5.942    4.309 
 152      3700  5.50 10.0  3.1    15.299   11.424    8.524    6.588    4.777 
 153      3800  5.00  1.0  3.1     1.547    1.182    0.865    0.672    0.488 
 153      3800  5.00  2.0  3.1     3.089    2.353    1.727    1.341    0.974 
 153      3800  5.00  3.0  3.1     4.627    3.516    2.586    2.007    1.458 
 153      3800  5.00  4.0  3.1     6.160    4.671    3.442    2.671    1.939 
 153      3800  5.00  5.0  3.1     7.689    5.817    4.296    3.331    2.418 
 153      3800  5.00  6.0  3.1     9.215    6.955    5.148    3.989    2.895 
 153      3800  5.00  7.0  3.1    10.736    8.087    5.997    4.644    3.369 
 153      3800  5.00  8.0  3.1    12.255    9.211    6.844    5.297    3.841 
 153      3800  5.00  9.0  3.1    13.770   10.330    7.689    5.947    4.311 
 153      3800  5.00 10.0  3.1    15.283   11.442    8.531    6.594    4.778 
 154      3800  5.50  1.0  3.1     1.550    1.180    0.864    0.672    0.488 
 154      3800  5.50  2.0  3.1     3.095    2.351    1.725    1.342    0.974 
 154      3800  5.50  3.0  3.1     4.634    3.513    2.584    2.009    1.458 
 154      3800  5.50  4.0  3.1     6.170    4.666    3.440    2.673    1.939 
 154      3800  5.50  5.0  3.1     7.701    5.812    4.294    3.335    2.418 
 154      3800  5.50  6.0  3.1     9.228    6.950    5.145    3.993    2.895 
 154      3800  5.50  7.0  3.1    10.752    8.081    5.994    4.649    3.370 
 154      3800  5.50  8.0  3.1    12.272    9.205    6.841    5.302    3.842 
 154      3800  5.50  9.0  3.1    13.789   10.324    7.685    5.953    4.312 
 154      3800  5.50 10.0  3.1    15.302   11.436    8.527    6.600    4.780 
 155      3500  0.00  1.0  3.1     1.530    1.162    0.861    0.668    0.485 
 155      3500  0.00  2.0  3.1     3.057    2.315    1.719    1.333    0.967 
 155      3500  0.00  3.0  3.1     4.580    3.460    2.576    1.995    1.447 
 155      3500  0.00  4.0  3.1     6.100    4.598    3.429    2.655    1.925 
 155      3500  0.00  5.0  3.1     7.618    5.728    4.281    3.312    2.401 
 155      3500  0.00  6.0  3.1     9.133    6.853    5.130    3.966    2.874 
 155      3500  0.00  7.0  3.1    10.645    7.971    5.977    4.618    3.345 
 155      3500  0.00  8.0  3.1    12.155    9.083    6.822    5.267    3.813 
 155      3500  0.00  9.0  3.1    13.662   10.190    7.664    5.913    4.279 
 155      3500  0.00 10.0  3.1    15.167   11.292    8.505    6.557    4.743 
 156      3500  0.50  1.0  3.1     1.530    1.166    0.861    0.667    0.485 
 156      3500  0.50  2.0  3.1     3.056    2.324    1.720    1.331    0.967 
 156      3500  0.50  3.0  3.1     4.579    3.473    2.576    1.993    1.447 
 156      3500  0.50  4.0  3.1     6.100    4.614    3.430    2.652    1.924 
 156      3500  0.50  5.0  3.1     7.617    5.748    4.281    3.308    2.400 
 156      3500  0.50  6.0  3.1     9.131    6.874    5.131    3.962    2.873 
 156      3500  0.50  7.0  3.1    10.643    7.994    5.977    4.613    3.344 
 156      3500  0.50  8.0  3.1    12.153    9.108    6.822    5.261    3.812 
 156      3500  0.50  9.0  3.1    13.660   10.217    7.665    5.907    4.278 
 156      3500  0.50 10.0  3.1    15.165   11.320    8.506    6.550    4.742 
 157      3500  1.00  1.0  3.1     1.529    1.171    0.861    0.667    0.485 
 157      3500  1.00  2.0  3.1     3.055    2.333    1.720    1.330    0.967 
 157      3500  1.00  3.0  3.1     4.578    3.486    2.576    1.991    1.446 
 157      3500  1.00  4.0  3.1     6.098    4.630    3.430    2.649    1.924 
 157      3500  1.00  5.0  3.1     7.616    5.767    4.281    3.305    2.399 
 157      3500  1.00  6.0  3.1     9.130    6.896    5.130    3.958    2.872 
 157      3500  1.00  7.0  3.1    10.642    8.018    5.977    4.608    3.342 
 157      3500  1.00  8.0  3.1    12.152    9.134    6.822    5.256    3.810 
 157      3500  1.00  9.0  3.1    13.659   10.244    7.664    5.901    4.276 
 157      3500  1.00 10.0  3.1    15.164   11.349    8.505    6.544    4.740 
 158      3500  1.50  1.0  3.1     1.530    1.177    0.862    0.666    0.485 
 158      3500  1.50  2.0  3.1     3.057    2.343    1.720    1.329    0.967 
 158      3500  1.50  3.0  3.1     4.580    3.500    2.576    1.989    1.446 
 158      3500  1.50  4.0  3.1     6.101    4.647    3.430    2.647    1.923 
 158      3500  1.50  5.0  3.1     7.618    5.787    4.281    3.302    2.398 
 158      3500  1.50  6.0  3.1     9.133    6.918    5.130    3.955    2.871 
 158      3500  1.50  7.0  3.1    10.646    8.043    5.977    4.605    3.341 
 158      3500  1.50  8.0  3.1    12.156    9.160    6.822    5.252    3.809 
 158      3500  1.50  9.0  3.1    13.663   10.272    7.665    5.897    4.275 
 158      3500  1.50 10.0  3.1    15.169   11.378    8.505    6.539    4.739 
 159      3500  2.00  1.0  3.1     1.531    1.181    0.861    0.666    0.484 
 159      3500  2.00  2.0  3.1     3.058    2.351    1.720    1.328    0.966 
 159      3500  2.00  3.0  3.1     4.583    3.512    2.576    1.989    1.445 
 159      3500  2.00  4.0  3.1     6.104    4.663    3.430    2.646    1.923 
 159      3500  2.00  5.0  3.1     7.623    5.805    4.281    3.301    2.397 
 159      3500  2.00  6.0  3.1     9.139    6.939    5.130    3.953    2.870 
 159      3500  2.00  7.0  3.1    10.652    8.066    5.977    4.603    3.340 
 159      3500  2.00  8.0  3.1    12.163    9.186    6.822    5.250    3.808 
 159      3500  2.00  9.0  3.1    13.672   10.299    7.664    5.894    4.274 
 159      3500  2.00 10.0  3.1    15.178   11.406    8.505    6.537    4.738 
 160      3500  2.50  1.0  3.1     1.532    1.185    0.862    0.666    0.485 
 160      3500  2.50  2.0  3.1     3.062    2.360    1.721    1.328    0.967 
 160      3500  2.50  3.0  3.1     4.588    3.524    2.577    1.988    1.446 
 160      3500  2.50  4.0  3.1     6.111    4.679    3.431    2.646    1.923 
 160      3500  2.50  5.0  3.1     7.631    5.824    4.282    3.301    2.398 
 160      3500  2.50  6.0  3.1     9.148    6.960    5.132    3.953    2.871 
 160      3500  2.50  7.0  3.1    10.663    8.089    5.979    4.602    3.342 
 160      3500  2.50  8.0  3.1    12.175    9.210    6.824    5.249    3.810 
 160      3500  2.50  9.0  3.1    13.684   10.325    7.666    5.894    4.275 
 160      3500  2.50 10.0  3.1    15.192   11.434    8.507    6.536    4.739 
 161      3500  3.00  1.0  3.1     1.535    1.190    0.861    0.666    0.485 
 161      3500  3.00  2.0  3.1     3.066    2.368    1.720    1.329    0.967 
 161      3500  3.00  3.0  3.1     4.594    3.535    2.577    1.989    1.447 
 161      3500  3.00  4.0  3.1     6.119    4.692    3.431    2.646    1.924 
 161      3500  3.00  5.0  3.1     7.641    5.840    4.283    3.301    2.399 
 161      3500  3.00  6.0  3.1     9.159    6.979    5.133    3.953    2.872 
 161      3500  3.00  7.0  3.1    10.675    8.109    5.980    4.603    3.343 
 161      3500  3.00  8.0  3.1    12.189    9.232    6.825    5.250    3.811 
 161      3500  3.00  9.0  3.1    13.700   10.348    7.668    5.894    4.277 
 161      3500  3.00 10.0  3.1    15.209   11.458    8.509    6.536    4.741 
 162      3500  3.50  1.0  3.1     1.537    1.191    0.862    0.666    0.485 
 162      3500  3.50  2.0  3.1     3.071    2.372    1.722    1.329    0.967 
 162      3500  3.50  3.0  3.1     4.601    3.541    2.579    1.990    1.448 
 162      3500  3.50  4.0  3.1     6.127    4.700    3.433    2.647    1.925 
 162      3500  3.50  5.0  3.1     7.651    5.849    4.286    3.302    2.401 
 162      3500  3.50  6.0  3.1     9.171    6.989    5.136    3.955    2.874 
 162      3500  3.50  7.0  3.1    10.689    8.121    5.983    4.604    3.345 
 162      3500  3.50  8.0  3.1    12.204    9.245    6.829    5.251    3.814 
 162      3500  3.50  9.0  3.1    13.716   10.362    7.672    5.896    4.280 
 162      3500  3.50 10.0  3.1    15.226   11.473    8.514    6.538    4.745 
 163      3500  4.00  1.0  3.1     1.539    1.192    0.863    0.666    0.485 
 163      3500  4.00  2.0  3.1     3.075    2.373    1.723    1.330    0.968 
 163      3500  4.00  3.0  3.1     4.608    3.543    2.580    1.991    1.449 
 163      3500  4.00  4.0  3.1     6.136    4.702    3.435    2.649    1.927 
 163      3500  4.00  5.0  3.1     7.662    5.852    4.287    3.305    2.404 
 163      3500  4.00  6.0  3.1     9.184    6.992    5.138    3.958    2.877 
 163      3500  4.00  7.0  3.1    10.703    8.124    5.986    4.608    3.349 
 163      3500  4.00  8.0  3.1    12.219    9.249    6.831    5.256    3.818 
 163      3500  4.00  9.0  3.1    13.733   10.366    7.675    5.901    4.285 
 163      3500  4.00 10.0  3.1    15.244   11.477    8.517    6.544    4.750 
 164      3500  4.50  1.0  3.1     1.543    1.191    0.863    0.668    0.486 
 164      3500  4.50  2.0  3.1     3.082    2.371    1.723    1.333    0.970 
 164      3500  4.50  3.0  3.1     4.616    3.540    2.580    1.995    1.451 
 164      3500  4.50  4.0  3.1     6.147    4.699    3.435    2.654    1.930 
 164      3500  4.50  5.0  3.1     7.674    5.848    4.288    3.310    2.407 
 164      3500  4.50  6.0  3.1     9.198    6.989    5.138    3.964    2.882 
 164      3500  4.50  7.0  3.1    10.719    8.121    5.986    4.615    3.354 
 164      3500  4.50  8.0  3.1    12.237    9.245    6.832    5.264    3.824 
 164      3500  4.50  9.0  3.1    13.752   10.363    7.676    5.910    4.292 
 164      3500  4.50 10.0  3.1    15.264   11.474    8.518    6.553    4.757 
 165      3500  5.00  1.0  3.1     1.545    1.189    0.863    0.668    0.486 
 165      3500  5.00  2.0  3.1     3.086    2.368    1.722    1.334    0.970 
 165      3500  5.00  3.0  3.1     4.623    3.536    2.580    1.997    1.452 
 165      3500  5.00  4.0  3.1     6.156    4.694    3.434    2.657    1.932 
 165      3500  5.00  5.0  3.1     7.685    5.842    4.287    3.315    2.409 
 165      3500  5.00  6.0  3.1     9.210    6.982    5.137    3.970    2.884 
 165      3500  5.00  7.0  3.1    10.732    8.114    5.985    4.622    3.357 
 165      3500  5.00  8.0  3.1    12.252    9.238    6.830    5.271    3.827 
 165      3500  5.00  9.0  3.1    13.768   10.355    7.674    5.918    4.295 
 165      3500  5.00 10.0  3.1    15.281   11.465    8.516    6.563    4.761 
 166      3750  0.00  1.0  3.1     1.534    1.162    0.863    0.675    0.486 
 166      3750  0.00  2.0  3.1     3.065    2.317    1.724    1.347    0.971 
 166      3750  0.00  3.0  3.1     4.592    3.464    2.581    2.016    1.453 
 166      3750  0.00  4.0  3.1     6.116    4.604    3.437    2.682    1.933 
 166      3750  0.00  5.0  3.1     7.638    5.737    4.290    3.346    2.411 
 166      3750  0.00  6.0  3.1     9.156    6.864    5.140    4.006    2.886 
 166      3750  0.00  7.0  3.1    10.672    7.986    5.988    4.664    3.360 
 166      3750  0.00  8.0  3.1    12.185    9.102    6.834    5.319    3.830 
 166      3750  0.00  9.0  3.1    13.696   10.212    7.678    5.972    4.299 
 166      3750  0.00 10.0  3.1    15.205   11.318    8.520    6.621    4.765 
 167      3750  0.50  1.0  3.1     1.534    1.166    0.863    0.675    0.487 
 167      3750  0.50  2.0  3.1     3.064    2.323    1.724    1.346    0.972 
 167      3750  0.50  3.0  3.1     4.591    3.474    2.582    2.015    1.454 
 167      3750  0.50  4.0  3.1     6.115    4.616    3.437    2.681    1.934 
 167      3750  0.50  5.0  3.1     7.636    5.752    4.291    3.343    2.412 
 167      3750  0.50  6.0  3.1     9.154    6.881    5.141    4.004    2.887 
 167      3750  0.50  7.0  3.1    10.670    8.004    5.990    4.661    3.361 
 167      3750  0.50  8.0  3.1    12.183    9.122    6.836    5.316    3.831 
 167      3750  0.50  9.0  3.1    13.694   10.234    7.680    5.968    4.300 
 167      3750  0.50 10.0  3.1    15.202   11.341    8.522    6.617    4.766 
 168      3750  1.00  1.0  3.1     1.534    1.169    0.863    0.673    0.487 
 168      3750  1.00  2.0  3.1     3.064    2.331    1.724    1.344    0.972 
 168      3750  1.00  3.0  3.1     4.591    3.484    2.582    2.012    1.454 
 168      3750  1.00  4.0  3.1     6.115    4.629    3.438    2.678    1.934 
 168      3750  1.00  5.0  3.1     7.636    5.767    4.291    3.340    2.412 
 168      3750  1.00  6.0  3.1     9.154    6.898    5.142    4.000    2.887 
 168      3750  1.00  7.0  3.1    10.670    8.023    5.990    4.656    3.361 
 168      3750  1.00  8.0  3.1    12.183    9.142    6.837    5.311    3.832 
 168      3750  1.00  9.0  3.1    13.693   10.255    7.681    5.962    4.300 
 168      3750  1.00 10.0  3.1    15.202   11.363    8.523    6.611    4.767 
 169      3750  1.50  1.0  3.1     1.534    1.174    0.864    0.673    0.487 
 169      3750  1.50  2.0  3.1     3.065    2.339    1.724    1.344    0.972 
 169      3750  1.50  3.0  3.1     4.592    3.495    2.582    2.011    1.454 
 169      3750  1.50  4.0  3.1     6.116    4.643    3.438    2.676    1.934 
 169      3750  1.50  5.0  3.1     7.637    5.783    4.291    3.337    2.412 
 169      3750  1.50  6.0  3.1     9.156    6.916    5.142    3.996    2.888 
 169      3750  1.50  7.0  3.1    10.671    8.042    5.991    4.653    3.361 
 169      3750  1.50  8.0  3.1    12.185    9.162    6.838    5.306    3.832 
 169      3750  1.50  9.0  3.1    13.695   10.276    7.682    5.957    4.300 
 169      3750  1.50 10.0  3.1    15.204   11.385    8.524    6.605    4.767 
 170      3750  2.00  1.0  3.1     1.534    1.177    0.864    0.673    0.487 
 170      3750  2.00  2.0  3.1     3.066    2.345    1.725    1.343    0.971 
 170      3750  2.00  3.0  3.1     4.594    3.505    2.583    2.010    1.453 
 170      3750  2.00  4.0  3.1     6.119    4.655    3.439    2.674    1.934 
 170      3750  2.00  5.0  3.1     7.640    5.798    4.292    3.335    2.411 
 170      3750  2.00  6.0  3.1     9.159    6.933    5.143    3.993    2.887 
 170      3750  2.00  7.0  3.1    10.676    8.061    5.992    4.649    3.360 
 170      3750  2.00  8.0  3.1    12.189    9.182    6.838    5.302    3.831 
 170      3750  2.00  9.0  3.1    13.701   10.297    7.683    5.952    4.299 
 170      3750  2.00 10.0  3.1    15.210   11.407    8.525    6.600    4.766 
 171      3750  2.50  1.0  3.1     1.537    1.181    0.863    0.672    0.487 
 171      3750  2.50  2.0  3.1     3.069    2.353    1.724    1.341    0.971 
 171      3750  2.50  3.0  3.1     4.598    3.515    2.583    2.007    1.454 
 171      3750  2.50  4.0  3.1     6.124    4.668    3.438    2.671    1.934 
 171      3750  2.50  5.0  3.1     7.647    5.813    4.292    3.332    2.411 
 171      3750  2.50  6.0  3.1     9.167    6.950    5.143    3.989    2.887 
 171      3750  2.50  7.0  3.1    10.685    8.079    5.992    4.645    3.360 
 171      3750  2.50  8.0  3.1    12.199    9.202    6.838    5.297    3.831 
 171      3750  2.50  9.0  3.1    13.711   10.318    7.683    5.947    4.299 
 171      3750  2.50 10.0  3.1    15.221   11.429    8.525    6.594    4.765 
 172      3750  3.00  1.0  3.1     1.538    1.185    0.863    0.672    0.486 
 172      3750  3.00  2.0  3.1     3.072    2.360    1.724    1.341    0.971 
 172      3750  3.00  3.0  3.1     4.603    3.524    2.583    2.006    1.453 
 172      3750  3.00  4.0  3.1     6.130    4.680    3.439    2.669    1.933 
 172      3750  3.00  5.0  3.1     7.655    5.827    4.292    3.330    2.411 
 172      3750  3.00  6.0  3.1     9.176    6.966    5.143    3.987    2.886 
 172      3750  3.00  7.0  3.1    10.694    8.097    5.992    4.642    3.359 
 172      3750  3.00  8.0  3.1    12.210    9.221    6.839    5.294    3.830 
 172      3750  3.00  9.0  3.1    13.723   10.339    7.683    5.943    4.298 
 172      3750  3.00 10.0  3.1    15.234   11.450    8.526    6.590    4.765 
 173      3750  3.50  1.0  3.1     1.541    1.187    0.864    0.672    0.487 
 173      3750  3.50  2.0  3.1     3.077    2.364    1.725    1.340    0.971 
 173      3750  3.50  3.0  3.1     4.609    3.532    2.584    2.005    1.454 
 173      3750  3.50  4.0  3.1     6.138    4.689    3.440    2.668    1.934 
 173      3750  3.50  5.0  3.1     7.664    5.838    4.293    3.328    2.411 
 173      3750  3.50  6.0  3.1     9.187    6.978    5.144    3.985    2.887 
 173      3750  3.50  7.0  3.1    10.706    8.111    5.993    4.640    3.360 
 173      3750  3.50  8.0  3.1    12.223    9.236    6.840    5.292    3.831 
 173      3750  3.50  9.0  3.1    13.738   10.354    7.685    5.941    4.299 
 173      3750  3.50 10.0  3.1    15.249   11.467    8.527    6.587    4.765 
 174      3750  4.00  1.0  3.1     1.542    1.188    0.864    0.671    0.487 
 174      3750  4.00  2.0  3.1     3.079    2.367    1.725    1.339    0.972 
 174      3750  4.00  3.0  3.1     4.613    3.535    2.583    2.005    1.455 
 174      3750  4.00  4.0  3.1     6.144    4.694    3.439    2.668    1.935 
 174      3750  4.00  5.0  3.1     7.671    5.843    4.293    3.328    2.413 
 174      3750  4.00  6.0  3.1     9.195    6.984    5.144    3.985    2.888 
 174      3750  4.00  7.0  3.1    10.715    8.117    5.993    4.639    3.361 
 174      3750  4.00  8.0  3.1    12.233    9.243    6.840    5.291    3.832 
 174      3750  4.00  9.0  3.1    13.748   10.362    7.684    5.940    4.301 
 174      3750  4.00 10.0  3.1    15.261   11.474    8.527    6.587    4.767 
 175      3750  4.50  1.0  3.1     1.545    1.189    0.864    0.672    0.488 
 175      3750  4.50  2.0  3.1     3.085    2.368    1.725    1.341    0.973 
 175      3750  4.50  3.0  3.1     4.621    3.536    2.583    2.006    1.456 
 175      3750  4.50  4.0  3.1     6.153    4.695    3.439    2.670    1.936 
 175      3750  4.50  5.0  3.1     7.682    5.845    4.293    3.330    2.414 
 175      3750  4.50  6.0  3.1     9.207    6.986    5.144    3.988    2.890 
 175      3750  4.50  7.0  3.1    10.729    8.119    5.993    4.642    3.364 
 175      3750  4.50  8.0  3.1    12.248    9.245    6.839    5.295    3.835 
 175      3750  4.50  9.0  3.1    13.764   10.364    7.684    5.944    4.304 
 175      3750  4.50 10.0  3.1    15.278   11.477    8.526    6.591    4.771 
 176      3750  5.00  1.0  3.1     1.547    1.189    0.864    0.672    0.487 
 176      3750  5.00  2.0  3.1     3.089    2.367    1.725    1.341    0.973 
 176      3750  5.00  3.0  3.1     4.627    3.536    2.583    2.008    1.456 
 176      3750  5.00  4.0  3.1     6.161    4.695    3.438    2.672    1.936 
 176      3750  5.00  5.0  3.1     7.692    5.844    4.292    3.333    2.415 
 176      3750  5.00  6.0  3.1     9.218    6.986    5.143    3.991    2.891 
 176      3750  5.00  7.0  3.1    10.742    8.119    5.991    4.646    3.365 
 176      3750  5.00  8.0  3.1    12.262    9.245    6.838    5.299    3.836 
 176      3750  5.00  9.0  3.1    13.779   10.364    7.682    5.949    4.306 
 176      3750  5.00 10.0  3.1    15.293   11.477    8.525    6.596    4.773 
 177      4000  0.00  1.0  3.1     1.543    1.165    0.865    0.678    0.488 
 177      4000  0.00  2.0  3.1     3.082    2.321    1.727    1.353    0.973 
 177      4000  0.00  3.0  3.1     4.618    3.471    2.586    2.025    1.456 
 177      4000  0.00  4.0  3.1     6.150    4.614    3.443    2.694    1.938 
 177      4000  0.00  5.0  3.1     7.679    5.750    4.297    3.361    2.416 
 177      4000  0.00  6.0  3.1     9.204    6.879    5.149    4.024    2.893 
 177      4000  0.00  7.0  3.1    10.727    8.003    5.998    4.685    3.367 
 177      4000  0.00  8.0  3.1    12.247    9.122    6.845    5.342    3.839 
 177      4000  0.00  9.0  3.1    13.765   10.236    7.690    5.998    4.309 
