# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        u        g        r        i        z
  91     2000  5.00  -15.694   -8.457   -5.306   -2.865   -0.903
  92     2000  5.50  -15.647   -8.874   -5.474   -3.131   -1.197
  93     2000  6.00  -15.163   -8.696   -5.270   -3.110   -1.236
  94     2100  4.00  -12.780   -7.449   -5.123   -2.524   -0.511
  95     2100  5.00  -14.558   -7.568   -4.868   -2.391   -0.507
  96     2100  5.50  -15.276   -8.144   -5.126   -2.697   -0.801
  97     2100  6.00  -15.070   -8.455   -5.206   -2.957   -1.049
  98     2200  3.50  -10.055   -6.616   -4.893   -2.265   -0.298
  99     2200  4.00  -11.206   -6.771   -4.809   -2.228   -0.310
 100     2200  4.50  -12.532   -6.942   -4.776   -2.191   -0.310
 101     2200  5.00  -13.703   -7.082   -4.689   -2.145   -0.328
 102     2200  5.50  -14.523   -7.397   -4.760   -2.266   -0.464
 103     2200  6.00  -14.607   -7.527   -4.723   -2.386   -0.551
 104     2300  3.50   -9.020   -6.025   -4.487   -1.962   -0.144
 105     2300  4.00  -10.014   -6.177   -4.436   -1.931   -0.151
 106     2300  4.50  -11.285   -6.396   -4.476   -1.922   -0.157
 107     2300  5.00  -12.681   -6.607   -4.457   -1.900   -0.182
 108     2300  5.50  -13.717   -6.809   -4.473   -1.937   -0.240
 109     2300  6.00  -13.977   -6.904   -4.397   -1.986   -0.280
 110     2400  3.50   -8.222   -5.499   -4.033   -1.665   -0.016
 111     2400  4.00   -9.039   -5.633   -4.014   -1.641   -0.020
 112     2400  4.50  -10.140   -5.851   -4.104   -1.648   -0.021
 113     2400  5.50  -12.632   -6.256   -4.159   -1.627   -0.054
 114     2400  6.00  -13.403   -6.453   -4.160   -1.704   -0.122
 115     2500  3.50   -7.683   -5.068   -3.591   -1.402    0.075
 116     2500  4.00   -8.307   -5.157   -3.577   -1.372    0.082
 117     2500  4.50   -9.237   -5.369   -3.713   -1.396    0.084
 118     2500  5.00  -10.386   -5.565   -3.763   -1.371    0.089
 119     2500  5.50  -11.665   -5.796   -3.839   -1.374    0.064
 120     2500  6.00  -12.595   -5.991   -3.875   -1.421    0.020
 121     2600  3.50   -7.258   -4.696   -3.199   -1.180    0.144
 122     2600  4.00   -7.747   -4.747   -3.174   -1.143    0.157
 123     2600  4.50   -8.517   -4.935   -3.322   -1.167    0.167
 124     2600  5.00   -9.444   -5.096   -3.366   -1.142    0.179
 125     2600  5.50  -10.636   -5.322   -3.463   -1.140    0.168
 126     2600  6.00  -11.692   -5.560   -3.560   -1.179    0.125
 127     2700  3.50   -6.917   -4.388   -2.886   -1.011    0.190
 128     2700  4.00   -7.279   -4.386   -2.821   -0.954    0.215
 129     2700  4.50   -7.903   -4.537   -2.953   -0.968    0.234
 130     2700  5.00   -8.668   -4.672   -2.985   -0.945    0.246
 131     2700  5.50   -9.699   -4.877   -3.080   -0.938    0.245
 132     2700  6.00  -10.776   -5.117   -3.201   -0.959    0.217
 133     2800  5.00   -7.986   -4.269   -2.617   -0.766    0.306
 134     2800  5.50   -8.873   -4.460   -2.709   -0.765    0.304
 135     2900  5.00   -7.427   -3.927   -2.307   -0.629    0.341
 136     2900  5.50   -8.151   -4.074   -2.365   -0.618    0.348
 137     3000  5.00   -6.943   -3.620   -2.037   -0.514    0.368
 138     3000  5.50   -7.536   -3.733   -2.068   -0.499    0.379
 139     3100  5.00   -6.521   -3.343   -1.800   -0.415    0.390
