# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        V        u        v        b        y     Hb_w     Hb_n
  71     1700  4.00   -8.056  -20.320  -15.233  -11.830   -8.474  -10.642   -7.743
  72     1700  4.50   -7.331  -19.075  -14.032  -10.745   -7.642   -9.598   -6.743
  73     1700  5.00   -8.192  -20.116  -15.319  -11.967   -8.629  -10.834   -7.878
  74     1700  5.50   -8.520  -20.363  -15.645  -12.379   -9.009  -11.287   -8.272
  75     1700  6.00   -8.674  -20.567  -15.813  -12.549   -9.171  -11.470   -8.439
  76     1800  3.50   -7.719  -19.204  -13.880  -11.121   -8.032   -9.806   -7.159
  77     1800  4.00   -7.502  -18.788  -13.878  -10.812   -7.793   -9.600   -6.857
  78     1800  4.50   -6.906  -17.721  -13.030   -9.985   -7.137   -8.853   -6.069
  79     1800  5.00   -6.889  -17.562  -13.012   -9.919   -7.113   -8.813   -6.011
  80     1800  5.50   -7.371  -18.422  -13.861  -10.672   -7.678   -9.569   -6.665
  81     1800  6.00   -7.438  -18.538  -13.971  -10.805   -7.770   -9.718   -6.763
  82     1900  3.50   -6.963  -16.235  -11.567   -9.804   -7.137   -8.473   -6.027
  83     1900  4.00   -7.039  -17.553  -12.708   -9.998   -7.221   -8.711   -6.185
  84     1900  4.50   -7.413  -18.637  -13.786  -10.591   -7.649   -9.355   -6.691
  85     1900  5.00   -6.894  -17.522  -12.947   -9.825   -7.078   -8.660   -5.959
  86     1900  5.50   -7.060  -17.485  -13.098  -10.046   -7.290   -8.941   -6.115
  87     1900  6.00   -7.051  -17.449  -13.063  -10.093   -7.318   -9.044   -6.115
  88     2000  3.50   -6.560  -14.047  -10.003   -8.995   -6.632   -7.695   -5.346
  89     2000  4.00   -6.498  -15.543  -11.170   -9.067   -6.573   -7.774   -5.406
  90     2000  4.50   -6.469  -16.552  -11.990   -9.110   -6.549   -7.814   -5.433
  91     2000  5.00   -6.596  -17.108  -12.496   -9.286   -6.694   -8.022   -5.544
  92     2000  5.50   -6.870  -17.037  -12.745   -9.685   -7.043   -8.530   -5.818
