# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          V        u        v        b        y     Hb_w     Hb_n
 162      3500  3.50  3.0  3.1     2.942    4.783    4.190    3.724    3.017    3.518    3.548 
 162      3500  3.50  4.0  3.1     3.911    6.372    5.586    4.964    4.021    4.690    4.731 
 162      3500  3.50  5.0  3.1     4.873    7.958    6.982    6.204    5.025    5.862    5.914 
 162      3500  3.50  6.0  3.1     5.830    9.542    8.377    7.442    6.028    7.034    7.096 
 162      3500  3.50  7.0  3.1     6.780   11.124    9.771    8.680    7.031    8.206    8.279 
 162      3500  3.50  8.0  3.1     7.725   12.703   11.166    9.918    8.033    9.377    9.461 
 162      3500  3.50  9.0  3.1     8.664   14.279   12.559   11.154    9.035   10.548   10.644 
 162      3500  3.50 10.0  3.1     9.598   15.853   13.953   12.390   10.036   11.719   11.826 
 163      3500  4.00  1.0  3.1     0.985    1.600    1.397    1.242    1.006    1.173    1.183 
 163      3500  4.00  2.0  3.1     1.965    3.197    2.794    2.484    2.011    2.346    2.366 
 163      3500  4.00  3.0  3.1     2.938    4.791    4.190    3.724    3.015    3.518    3.548 
 163      3500  4.00  4.0  3.1     3.905    6.382    5.586    4.964    4.020    4.691    4.731 
 163      3500  4.00  5.0  3.1     4.867    7.971    6.981    6.204    5.023    5.863    5.914 
 163      3500  4.00  6.0  3.1     5.823    9.557    8.376    7.442    6.026    7.035    7.096 
 163      3500  4.00  7.0  3.1     6.772   11.141    9.771    8.680    7.029    8.207    8.279 
 163      3500  4.00  8.0  3.1     7.716   12.722   11.165    9.917    8.030    9.378    9.461 
 163      3500  4.00  9.0  3.1     8.655   14.301   12.559   11.154    9.032   10.550   10.644 
 163      3500  4.00 10.0  3.1     9.587   15.877   13.952   12.390   10.033   11.721   11.827 
 164      3500  4.50  1.0  3.1     0.983    1.602    1.397    1.242    1.005    1.173    1.183 
 164      3500  4.50  2.0  3.1     1.961    3.202    2.793    2.483    2.010    2.347    2.366 
 164      3500  4.50  3.0  3.1     2.932    4.799    4.189    3.723    3.014    3.520    3.549 
 164      3500  4.50  4.0  3.1     3.898    6.393    5.585    4.963    4.018    4.692    4.731 
 164      3500  4.50  5.0  3.1     4.857    7.984    6.980    6.202    5.021    5.865    5.914 
 164      3500  4.50  6.0  3.1     5.811    9.573    8.375    7.440    6.024    7.037    7.097 
 164      3500  4.50  7.0  3.1     6.759   11.159    9.770    8.678    7.026    8.209    8.279 
 164      3500  4.50  8.0  3.1     7.702   12.743   11.164    9.915    8.027    9.381    9.462 
 164      3500  4.50  9.0  3.1     8.639   14.324   12.557   11.151    9.028   10.553   10.644 
 164      3500  4.50 10.0  3.1     9.570   15.902   13.951   12.387   10.028   11.724   11.827 
 165      3500  5.00  1.0  3.1     0.980    1.605    1.397    1.241    1.005    1.174    1.183 
 165      3500  5.00  2.0  3.1     1.955    3.207    2.793    2.482    2.009    2.347    2.366 
 165      3500  5.00  3.0  3.1     2.924    4.806    4.189    3.722    3.013    3.520    3.548 
 165      3500  5.00  4.0  3.1     3.888    6.403    5.585    4.962    4.016    4.694    4.731 
 165      3500  5.00  5.0  3.1     4.845    7.996    6.981    6.201    5.019    5.866    5.914 
 165      3500  5.00  6.0  3.1     5.797    9.587    8.375    7.439    6.021    7.039    7.097 
 165      3500  5.00  7.0  3.1     6.743   11.175    9.770    8.676    7.022    8.211    8.279 
 165      3500  5.00  8.0  3.1     7.683   12.761   11.164    9.913    8.023    9.384    9.462 
 165      3500  5.00  9.0  3.1     8.618   14.344   12.558   11.149    9.024   10.556   10.645 
 165      3500  5.00 10.0  3.1     9.548   15.924   13.951   12.385   10.024   11.727   11.827 
 166      3750  0.00  1.0  3.1     0.978    1.594    1.393    1.238    1.003    1.174    1.183 
 166      3750  0.00  2.0  3.1     1.951    3.185    2.785    2.474    2.006    2.349    2.366 
 166      3750  0.00  3.0  3.1     2.917    4.774    4.176    3.711    3.007    3.523    3.549 
 166      3750  0.00  4.0  3.1     3.878    6.359    5.568    4.946    4.009    4.696    4.732 
 166      3750  0.00  5.0  3.1     4.833    7.942    6.958    6.181    5.010    5.870    5.915 
 166      3750  0.00  6.0  3.1     5.782    9.523    8.348    7.415    6.010    7.043    7.099 
 166      3750  0.00  7.0  3.1     6.725   11.101    9.738    8.648    7.009    8.216    8.282 
 166      3750  0.00  8.0  3.1     7.663   12.677   11.127    9.881    8.009    9.389    9.465 
 166      3750  0.00  9.0  3.1     8.595   14.250   12.516   11.113    9.007   10.562   10.648 
 166      3750  0.00 10.0  3.1     9.523   15.821   13.904   12.344   10.005   11.734   11.831 
 167      3750  0.50  1.0  3.1     0.979    1.594    1.394    1.238    1.003    1.175    1.183 
 167      3750  0.50  2.0  3.1     1.952    3.185    2.787    2.475    2.005    2.349    2.366 
 167      3750  0.50  3.0  3.1     2.919    4.773    4.179    3.712    3.007    3.523    3.549 
 167      3750  0.50  4.0  3.1     3.880    6.358    5.571    4.948    4.009    4.697    4.732 
 167      3750  0.50  5.0  3.1     4.836    7.941    6.963    6.183    5.010    5.870    5.915 
 167      3750  0.50  6.0  3.1     5.785    9.521    8.354    7.418    6.010    7.044    7.098 
 167      3750  0.50  7.0  3.1     6.729   11.099    9.744    8.652    7.010    8.217    8.281 
 167      3750  0.50  8.0  3.1     7.668   12.675   11.134    9.885    8.010    9.390    9.464 
 167      3750  0.50  9.0  3.1     8.601   14.248   12.524   11.118    9.009   10.562   10.647 
 167      3750  0.50 10.0  3.1     9.529   15.819   13.913   12.350   10.007   11.734   11.830 
 168      3750  1.00  1.0  3.1     0.980    1.594    1.395    1.239    1.004    1.175    1.183 
 168      3750  1.00  2.0  3.1     1.953    3.184    2.789    2.477    2.007    2.349    2.366 
 168      3750  1.00  3.0  3.1     2.921    4.772    4.182    3.714    3.009    3.523    3.550 
 168      3750  1.00  4.0  3.1     3.883    6.358    5.575    4.951    4.011    4.697    4.733 
 168      3750  1.00  5.0  3.1     4.839    7.940    6.967    6.187    5.012    5.870    5.916 
 168      3750  1.00  6.0  3.1     5.789    9.521    8.359    7.422    6.013    7.044    7.099 
 168      3750  1.00  7.0  3.1     6.734   11.098    9.751    8.657    7.013    8.217    8.282 
 168      3750  1.00  8.0  3.1     7.673   12.674   11.142    9.891    8.012    9.390    9.464 
 168      3750  1.00  9.0  3.1     8.606   14.247   12.532   11.124    9.012   10.562   10.647 
 168      3750  1.00 10.0  3.1     9.535   15.818   13.922   12.357   10.010   11.734   11.830 
 169      3750  1.50  1.0  3.1     0.980    1.594    1.395    1.240    1.004    1.175    1.183 
 169      3750  1.50  2.0  3.1     1.954    3.184    2.789    2.478    2.007    2.349    2.366 
 169      3750  1.50  3.0  3.1     2.923    4.772    4.184    3.716    3.010    3.523    3.549 
 169      3750  1.50  4.0  3.1     3.885    6.358    5.577    4.953    4.012    4.697    4.732 
 169      3750  1.50  5.0  3.1     4.842    7.941    6.970    6.190    5.013    5.870    5.915 
 169      3750  1.50  6.0  3.1     5.793    9.521    8.363    7.426    6.014    7.044    7.098 
 169      3750  1.50  7.0  3.1     6.738   11.099    9.755    8.661    7.015    8.217    8.281 
 169      3750  1.50  8.0  3.1     7.678   12.675   11.147    9.896    8.015    9.389    9.464 
 169      3750  1.50  9.0  3.1     8.612   14.248   12.538   11.130    9.014   10.562   10.647 
 169      3750  1.50 10.0  3.1     9.541   15.819   13.929   12.363   10.013   11.734   11.830 
 170      3750  2.00  1.0  3.1     0.981    1.594    1.396    1.240    1.004    1.174    1.183 
 170      3750  2.00  2.0  3.1     1.956    3.185    2.791    2.479    2.008    2.349    2.366 
 170      3750  2.00  3.0  3.1     2.925    4.774    4.186    3.718    3.010    3.523    3.549 
 170      3750  2.00  4.0  3.1     3.888    6.360    5.580    4.956    4.013    4.696    4.732 
 170      3750  2.00  5.0  3.1     4.846    7.943    6.974    6.193    5.014    5.870    5.915 
 170      3750  2.00  6.0  3.1     5.797    9.524    8.367    7.430    6.016    7.043    7.098 
 170      3750  2.00  7.0  3.1     6.743   11.103    9.760    8.666    7.016    8.216    8.281 
 170      3750  2.00  8.0  3.1     7.684   12.679   11.153    9.901    8.017    9.388    9.463 
 170      3750  2.00  9.0  3.1     8.618   14.253   12.544   11.135    9.016   10.561   10.646 
 170      3750  2.00 10.0  3.1     9.548   15.824   13.936   12.369   10.015   11.733   11.829 
 171      3750  2.50  1.0  3.1     0.982    1.595    1.396    1.241    1.005    1.175    1.183 
 171      3750  2.50  2.0  3.1     1.957    3.188    2.792    2.481    2.008    2.349    2.366 
 171      3750  2.50  3.0  3.1     2.927    4.777    4.187    3.720    3.011    3.523    3.549 
 171      3750  2.50  4.0  3.1     3.891    6.364    5.582    4.958    4.014    4.696    4.732 
 171      3750  2.50  5.0  3.1     4.849    7.949    6.976    6.196    5.016    5.870    5.915 
 171      3750  2.50  6.0  3.1     5.801    9.531    8.370    7.433    6.017    7.043    7.097 
 171      3750  2.50  7.0  3.1     6.748   11.110    9.763    8.670    7.018    8.216    8.280 
 171      3750  2.50  8.0  3.1     7.689   12.687   11.156    9.906    8.019    9.388    9.463 
 171      3750  2.50  9.0  3.1     8.625   14.262   12.549   11.141    9.018   10.561   10.646 
 171      3750  2.50 10.0  3.1     9.555   15.834   13.941   12.375   10.018   11.733   11.829 
 172      3750  3.00  1.0  3.1     0.982    1.597    1.397    1.240    1.004    1.174    1.182 
 172      3750  3.00  2.0  3.1     1.959    3.191    2.793    2.481    2.008    2.348    2.365 
 172      3750  3.00  3.0  3.1     2.929    4.782    4.189    3.720    3.012    3.522    3.548 
 172      3750  3.00  4.0  3.1     3.893    6.370    5.584    4.959    4.014    4.696    4.731 
 172      3750  3.00  5.0  3.1     4.852    7.956    6.978    6.198    5.017    5.869    5.914 
 172      3750  3.00  6.0  3.1     5.805    9.539    8.373    7.435    6.018    7.042    7.097 
 172      3750  3.00  7.0  3.1     6.752   11.120    9.767    8.672    7.019    8.215    8.280 
 172      3750  3.00  8.0  3.1     7.694   12.698   11.160    9.909    8.020    9.387    9.463 
 172      3750  3.00  9.0  3.1     8.630   14.274   12.553   11.144    9.020   10.560   10.645 
 172      3750  3.00 10.0  3.1     9.561   15.847   13.945   12.379   10.020   11.732   11.828 
 173      3750  3.50  1.0  3.1     0.982    1.598    1.396    1.241    1.004    1.174    1.183 
 173      3750  3.50  2.0  3.1     1.959    3.194    2.793    2.482    2.008    2.348    2.366 
 173      3750  3.50  3.0  3.1     2.929    4.787    4.188    3.722    3.012    3.522    3.549 
 173      3750  3.50  4.0  3.1     3.894    6.377    5.584    4.962    4.015    4.695    4.731 
 173      3750  3.50  5.0  3.1     4.853    7.964    6.979    6.200    5.017    5.868    5.914 
 173      3750  3.50  6.0  3.1     5.806    9.549    8.373    7.438    6.019    7.041    7.097 
 173      3750  3.50  7.0  3.1     6.754   11.131    9.767    8.676    7.020    8.214    8.280 
 173      3750  3.50  8.0  3.1     7.696   12.711   11.161    9.912    8.021    9.387    9.463 
 173      3750  3.50  9.0  3.1     8.632   14.288   12.554   11.148    9.021   10.559   10.645 
 173      3750  3.50 10.0  3.1     9.563   15.863   13.947   12.384   10.021   11.731   11.828 
 174      3750  4.00  1.0  3.1     0.982    1.600    1.396    1.242    1.005    1.174    1.183 
 174      3750  4.00  2.0  3.1     1.958    3.198    2.793    2.483    2.009    2.348    2.366 
 174      3750  4.00  3.0  3.1     2.928    4.792    4.188    3.723    3.012    3.522    3.549 
 174      3750  4.00  4.0  3.1     3.893    6.384    5.584    4.962    4.015    4.695    4.732 
 174      3750  4.00  5.0  3.1     4.852    7.973    6.979    6.201    5.018    5.869    5.915 
 174      3750  4.00  6.0  3.1     5.804    9.560    8.373    7.439    6.019    7.042    7.097 
 174      3750  4.00  7.0  3.1     6.752   11.144    9.768    8.677    7.021    8.215    8.280 
 174      3750  4.00  8.0  3.1     7.694   12.725   11.161    9.913    8.021    9.387    9.463 
 174      3750  4.00  9.0  3.1     8.630   14.304   12.555   11.149    9.021   10.560   10.646 
 174      3750  4.00 10.0  3.1     9.561   15.881   13.947   12.385   10.021   11.732   11.828 
 175      3750  4.50  1.0  3.1     0.982    1.603    1.397    1.241    1.004    1.174    1.183 
 175      3750  4.50  2.0  3.1     1.957    3.203    2.793    2.482    2.008    2.348    2.366 
 175      3750  4.50  3.0  3.1     2.927    4.800    4.189    3.722    3.011    3.522    3.549 
 175      3750  4.50  4.0  3.1     3.890    6.395    5.584    4.961    4.014    4.696    4.732 
 175      3750  4.50  5.0  3.1     4.848    7.986    6.979    6.200    5.016    5.869    5.915 
 175      3750  4.50  6.0  3.1     5.801    9.575    8.374    7.438    6.017    7.043    7.097 
 175      3750  4.50  7.0  3.1     6.747   11.162    9.768    8.675    7.018    8.216    8.280 
 175      3750  4.50  8.0  3.1     7.688   12.746   11.161    9.911    8.019    9.388    9.463 
 175      3750  4.50  9.0  3.1     8.624   14.327   12.554   11.147    9.019   10.561   10.646 
 175      3750  4.50 10.0  3.1     9.554   15.906   13.947   12.382   10.018   11.733   11.828 
 176      3750  5.00  1.0  3.1     0.980    1.605    1.397    1.241    1.004    1.175    1.183 
 176      3750  5.00  2.0  3.1     1.955    3.207    2.793    2.481    2.007    2.349    2.366 
 176      3750  5.00  3.0  3.1     2.923    4.806    4.189    3.721    3.010    3.523    3.549 
 176      3750  5.00  4.0  3.1     3.886    6.403    5.584    4.960    4.013    4.697    4.732 
 176      3750  5.00  5.0  3.1     4.843    7.997    6.979    6.198    5.015    5.870    5.914 
 176      3750  5.00  6.0  3.1     5.795    9.588    8.374    7.436    6.016    7.044    7.097 
 176      3750  5.00  7.0  3.1     6.740   11.176    9.768    8.673    7.017    8.217    8.280 
 176      3750  5.00  8.0  3.1     7.681   12.762   11.161    9.909    8.017    9.390    9.463 
 176      3750  5.00  9.0  3.1     8.615   14.345   12.554   11.145    9.017   10.562   10.646 
 176      3750  5.00 10.0  3.1     9.545   15.926   13.947   12.380   10.016   11.735   11.828 
 177      4000  0.00  1.0  3.1     0.983    1.598    1.392    1.237    1.003    1.175    1.183 
 177      4000  0.00  2.0  3.1     1.960    3.194    2.784    2.473    2.006    2.350    2.366 
 177      4000  0.00  3.0  3.1     2.930    4.787    4.175    3.709    3.008    3.524    3.550 
 177      4000  0.00  4.0  3.1     3.895    6.377    5.566    4.944    4.009    4.698    4.733 
 177      4000  0.00  5.0  3.1     4.853    7.965    6.957    6.179    5.010    5.872    5.916 
 177      4000  0.00  6.0  3.1     5.806    9.549    8.347    7.413    6.010    7.045    7.099 
 177      4000  0.00  7.0  3.1     6.753   11.131    9.736    8.646    7.010    8.218    8.282 
 177      4000  0.00  8.0  3.1     7.694   12.711   11.125    9.878    8.009    9.391    9.465 
 177      4000  0.00  9.0  3.1     8.630   14.287   12.514   11.110    9.008   10.564   10.649 
 177      4000  0.00 10.0  3.1     9.560   15.862   13.902   12.341   10.006   11.737   11.832 
 178      4000  0.50  1.0  3.1     0.983    1.599    1.393    1.238    1.003    1.175    1.184 
 178      4000  0.50  2.0  3.1     1.960    3.195    2.786    2.475    2.005    2.349    2.367 
 178      4000  0.50  3.0  3.1     2.931    4.788    4.178    3.711    3.007    3.524    3.550 
 178      4000  0.50  4.0  3.1     3.896    6.378    5.570    4.946    4.009    4.698    4.733 
 178      4000  0.50  5.0  3.1     4.855    7.966    6.961    6.181    5.010    5.872    5.917 
 178      4000  0.50  6.0  3.1     5.808    9.551    8.352    7.415    6.010    7.045    7.100 
 178      4000  0.50  7.0  3.1     6.755   11.133    9.743    8.649    7.010    8.218    8.283 
 178      4000  0.50  8.0  3.1     7.697   12.712   11.132    9.882    8.009    9.391    9.466 
 178      4000  0.50  9.0  3.1     8.633   14.289   12.522   11.114    9.008   10.564   10.649 
 178      4000  0.50 10.0  3.1     9.563   15.864   13.911   12.346   10.006   11.737   11.832 
 179      4000  1.00  1.0  3.1     0.984    1.599    1.394    1.238    1.003    1.175    1.183 
 179      4000  1.00  2.0  3.1     1.961    3.195    2.788    2.476    2.006    2.349    2.366 
 179      4000  1.00  3.0  3.1     2.931    4.788    4.181    3.713    3.008    3.524    3.550 
 179      4000  1.00  4.0  3.1     3.896    6.378    5.573    4.949    4.009    4.698    4.733 
 179      4000  1.00  5.0  3.1     4.855    7.966    6.966    6.184    5.010    5.872    5.916 
 179      4000  1.00  6.0  3.1     5.808    9.551    8.357    7.419    6.011    7.045    7.099 
 179      4000  1.00  7.0  3.1     6.756   11.134    9.749    8.653    7.011    8.219    8.282 
 179      4000  1.00  8.0  3.1     7.697   12.713   11.140    9.886    8.010    9.392    9.465 
 179      4000  1.00  9.0  3.1     8.633   14.291   12.530   11.119    9.009   10.565   10.648 
 179      4000  1.00 10.0  3.1     9.564   15.866   13.920   12.351   10.007   11.737   11.831 
 180      4000  1.50  1.0  3.1     0.983    1.599    1.395    1.239    1.003    1.175    1.183 
 180      4000  1.50  2.0  3.1     1.960    3.195    2.790    2.476    2.006    2.350    2.367 
 180      4000  1.50  3.0  3.1     2.930    4.789    4.183    3.714    3.008    3.525    3.550 
 180      4000  1.50  4.0  3.1     3.895    6.379    5.577    4.950    4.009    4.699    4.733 
 180      4000  1.50  5.0  3.1     4.854    7.967    6.970    6.186    5.010    5.873    5.916 
 180      4000  1.50  6.0  3.1     5.807    9.553    8.362    7.421    6.011    7.046    7.099 
 180      4000  1.50  7.0  3.1     6.754   11.135    9.754    8.656    7.011    8.220    8.282 
 180      4000  1.50  8.0  3.1     7.696   12.715   11.146    9.889    8.010    9.393    9.465 
 180      4000  1.50  9.0  3.1     8.632   14.293   12.537   11.122    9.009   10.566   10.648 
 180      4000  1.50 10.0  3.1     9.562   15.868   13.927   12.355   10.008   11.738   11.831 
 181      4000  2.00  1.0  3.1     0.982    1.600    1.395    1.239    1.003    1.175    1.183 
 181      4000  2.00  2.0  3.1     1.959    3.197    2.790    2.477    2.006    2.350    2.366 
 181      4000  2.00  3.0  3.1     2.929    4.791    4.185    3.715    3.008    3.525    3.549 
 181      4000  2.00  4.0  3.1     3.894    6.382    5.579    4.952    4.010    4.699    4.733 
 181      4000  2.00  5.0  3.1     4.852    7.970    6.972    6.188    5.011    5.873    5.916 
 181      4000  2.00  6.0  3.1     5.805    9.555    8.366    7.424    6.011    7.047    7.099 
 181      4000  2.00  7.0  3.1     6.752   11.138    9.758    8.659    7.012    8.220    8.282 
 181      4000  2.00  8.0  3.1     7.694   12.719   11.150    9.893    8.011    9.393    9.465 
 181      4000  2.00  9.0  3.1     8.630   14.297   12.542   11.127    9.010   10.566   10.648 
 181      4000  2.00 10.0  3.1     9.561   15.873   13.933   12.360   10.008   11.739   11.831 
 182      4000  2.50  1.0  3.1     0.982    1.600    1.396    1.239    1.004    1.175    1.183 
 182      4000  2.50  2.0  3.1     1.958    3.197    2.792    2.478    2.007    2.350    2.366 
 182      4000  2.50  3.0  3.1     2.928    4.792    4.187    3.716    3.009    3.524    3.550 
 182      4000  2.50  4.0  3.1     3.892    6.383    5.581    4.954    4.011    4.698    4.733 
 182      4000  2.50  5.0  3.1     4.851    7.972    6.975    6.190    5.012    5.872    5.916 
 182      4000  2.50  6.0  3.1     5.803    9.558    8.369    7.427    6.013    7.046    7.099 
 182      4000  2.50  7.0  3.1     6.750   11.142    9.762    8.662    7.013    8.220    8.282 
 182      4000  2.50  8.0  3.1     7.692   12.723   11.155    9.897    8.012    9.393    9.465 
 182      4000  2.50  9.0  3.1     8.628   14.301   12.547   11.131    9.011   10.566   10.648 
 182      4000  2.50 10.0  3.1     9.559   15.877   13.938   12.365   10.010   11.739   11.831 
 183      4000  3.00  1.0  3.1     0.982    1.601    1.396    1.240    1.003    1.175    1.183 
 183      4000  3.00  2.0  3.1     1.958    3.199    2.792    2.480    2.006    2.350    2.366 
 183      4000  3.00  3.0  3.1     2.928    4.794    4.187    3.718    3.008    3.524    3.549 
 183      4000  3.00  4.0  3.1     3.892    6.386    5.582    4.956    4.010    4.698    4.732 
 183      4000  3.00  5.0  3.1     4.850    7.976    6.977    6.194    5.012    5.873    5.915 
 183      4000  3.00  6.0  3.1     5.803    9.563    8.371    7.430    6.012    7.046    7.098 
 183      4000  3.00  7.0  3.1     6.750   11.147    9.764    8.666    7.013    8.220    8.281 
 183      4000  3.00  8.0  3.1     7.691   12.729   11.157    9.902    8.012    9.393    9.464 
 183      4000  3.00  9.0  3.1     8.627   14.308   12.550   11.136    9.011   10.566   10.647 
 183      4000  3.00 10.0  3.1     9.558   15.884   13.942   12.370   10.010   11.739   11.830 
 184      4000  3.50  1.0  3.1     0.981    1.601    1.396    1.241    1.004    1.175    1.183 
 184      4000  3.50  2.0  3.1     1.957    3.200    2.792    2.480    2.007    2.349    2.366 
 184      4000  3.50  3.0  3.1     2.926    4.796    4.188    3.720    3.009    3.524    3.549 
 184      4000  3.50  4.0  3.1     3.890    6.389    5.583    4.958    4.011    4.698    4.732 
 184      4000  3.50  5.0  3.1     4.849    7.979    6.978    6.196    5.012    5.872    5.915 
 184      4000  3.50  6.0  3.1     5.801    9.567    8.372    7.433    6.013    7.046    7.098 
 184      4000  3.50  7.0  3.1     6.748   11.152    9.766    8.670    7.014    8.220    8.281 
 184      4000  3.50  8.0  3.1     7.689   12.734   11.159    9.906    8.013    9.393    9.464 
 184      4000  3.50  9.0  3.1     8.625   14.314   12.552   11.141    9.013   10.566   10.647 
 184      4000  3.50 10.0  3.1     9.556   15.891   13.944   12.375   10.011   11.739   11.830 
 185      4000  4.00  1.0  3.1     0.981    1.603    1.396    1.240    1.004    1.175    1.183 
 185      4000  4.00  2.0  3.1     1.956    3.202    2.792    2.481    2.007    2.350    2.366 
 185      4000  4.00  3.0  3.1     2.926    4.799    4.188    3.720    3.010    3.524    3.549 
 185      4000  4.00  4.0  3.1     3.889    6.393    5.583    4.959    4.012    4.699    4.732 
 185      4000  4.00  5.0  3.1     4.847    7.984    6.978    6.197    5.013    5.873    5.915 
 185      4000  4.00  6.0  3.1     5.800    9.573    8.373    7.435    6.014    7.047    7.098 
 185      4000  4.00  7.0  3.1     6.746   11.158    9.767    8.672    7.014    8.220    8.281 
 185      4000  4.00  8.0  3.1     7.687   12.742   11.160    9.908    8.014    9.394    9.464 
 185      4000  4.00  9.0  3.1     8.623   14.322   12.553   11.143    9.013   10.567   10.647 
 185      4000  4.00 10.0  3.1     9.554   15.900   13.946   12.378   10.012   11.740   11.830 
 186      4000  4.50  1.0  3.1     0.981    1.605    1.396    1.241    1.004    1.176    1.183 
 186      4000  4.50  2.0  3.1     1.956    3.206    2.793    2.481    2.007    2.350    2.366 
 186      4000  4.50  3.0  3.1     2.925    4.804    4.188    3.721    3.009    3.525    3.549 
 186      4000  4.50  4.0  3.1     3.888    6.399    5.584    4.959    4.011    4.700    4.732 
 186      4000  4.50  5.0  3.1     4.845    7.992    6.978    6.198    5.013    5.874    5.915 
 186      4000  4.50  6.0  3.1     5.797    9.582    8.373    7.435    6.013    7.048    7.098 
 186      4000  4.50  7.0  3.1     6.743   11.169    9.767    8.672    7.014    8.221    8.281 
 186      4000  4.50  8.0  3.1     7.684   12.754   11.160    9.908    8.014    9.395    9.464 
 186      4000  4.50  9.0  3.1     8.619   14.336   12.553   11.144    9.013   10.568   10.647 
 186      4000  4.50 10.0  3.1     9.549   15.915   13.946   12.379   10.011   11.741   11.830 
 187      4000  5.00  1.0  3.1     0.980    1.606    1.397    1.241    1.003    1.176    1.183 
 187      4000  5.00  2.0  3.1     1.955    3.209    2.793    2.481    2.006    2.351    2.366 
 187      4000  5.00  3.0  3.1     2.923    4.809    4.188    3.720    3.009    3.525    3.549 
 187      4000  5.00  4.0  3.1     3.886    6.406    5.584    4.959    4.010    4.700    4.732 
 187      4000  5.00  5.0  3.1     4.843    8.001    6.978    6.197    5.012    5.874    5.915 
 187      4000  5.00  6.0  3.1     5.794    9.592    8.373    7.434    6.012    7.048    7.098 
 187      4000  5.00  7.0  3.1     6.740   11.181    9.767    8.671    7.013    8.221    8.281 
 187      4000  5.00  8.0  3.1     7.680   12.767   11.160    9.907    8.012    9.395    9.464 
 187      4000  5.00  9.0  3.1     8.615   14.351   12.553   11.142    9.011   10.568   10.647 
 187      4000  5.00 10.0  3.1     9.545   15.932   13.945   12.377   10.010   11.741   11.830 
 188      4250  0.00  1.0  3.1     0.987    1.605    1.393    1.237    1.003    1.174    1.183 
 188      4250  0.00  2.0  3.1     1.967    3.207    2.785    2.474    2.006    2.349    2.367 
 188      4250  0.00  3.0  3.1     2.942    4.806    4.177    3.710    3.008    3.524    3.550 
 188      4250  0.00  4.0  3.1     3.910    6.402    5.568    4.945    4.010    4.698    4.733 
 188      4250  0.00  5.0  3.1     4.872    7.995    6.959    6.180    5.011    5.872    5.916 
 188      4250  0.00  6.0  3.1     5.827    9.585    8.350    7.414    6.012    7.045    7.099 
 188      4250  0.00  7.0  3.1     6.778   11.173    9.739    8.647    7.012    8.218    8.283 
 188      4250  0.00  8.0  3.1     7.722   12.757   11.129    9.880    8.011    9.391    9.466 
 188      4250  0.00  9.0  3.1     8.661   14.339   12.518   11.112    9.010   10.564   10.649 
 188      4250  0.00 10.0  3.1     9.594   15.919   13.906   12.343   10.009   11.737   11.832 
 189      4250  0.50  1.0  3.1     0.988    1.606    1.393    1.238    1.003    1.175    1.183 
 189      4250  0.50  2.0  3.1     1.969    3.209    2.786    2.475    2.006    2.350    2.366 
 189      4250  0.50  3.0  3.1     2.943    4.808    4.179    3.711    3.008    3.524    3.549 
 189      4250  0.50  4.0  3.1     3.912    6.405    5.571    4.947    4.010    4.698    4.733 
 189      4250  0.50  5.0  3.1     4.874    7.998    6.963    6.182    5.011    5.872    5.916 
 189      4250  0.50  6.0  3.1     5.831    9.589    8.354    7.416    6.012    7.046    7.099 
 189      4250  0.50  7.0  3.1     6.782   11.177    9.745    8.650    7.012    8.219    8.282 
 189      4250  0.50  8.0  3.1     7.726   12.763   11.135    9.883    8.011    9.392    9.465 
 189      4250  0.50  9.0  3.1     8.665   14.345   12.525   11.115    9.010   10.565   10.649 
 189      4250  0.50 10.0  3.1     9.599   15.925   13.914   12.347   10.009   11.738   11.832 
 190      4250  1.00  1.0  3.1     0.987    1.606    1.395    1.238    1.003    1.175    1.184 
 190      4250  1.00  2.0  3.1     1.968    3.209    2.788    2.475    2.006    2.350    2.367 
 190      4250  1.00  3.0  3.1     2.943    4.809    4.182    3.712    3.008    3.524    3.550 
 190      4250  1.00  4.0  3.1     3.912    6.406    5.575    4.948    4.010    4.699    4.733 
 190      4250  1.00  5.0  3.1     4.875    8.000    6.967    6.184    5.011    5.873    5.917 
 190      4250  1.00  6.0  3.1     5.831    9.592    8.359    7.418    6.012    7.046    7.100 
 190      4250  1.00  7.0  3.1     6.782   11.180    9.750    8.652    7.012    8.220    8.283 
 190      4250  1.00  8.0  3.1     7.727   12.766   11.141    9.886    8.012    9.393    9.466 
 190      4250  1.00  9.0  3.1     8.667   14.349   12.532   11.118    9.011   10.566   10.649 
 190      4250  1.00 10.0  3.1     9.600   15.929   13.922   12.350   10.009   11.738   11.832 
 191      4250  1.50  1.0  3.1     0.987    1.607    1.395    1.238    1.003    1.175    1.183 
 191      4250  1.50  2.0  3.1     1.968    3.211    2.789    2.476    2.006    2.350    2.367 
 191      4250  1.50  3.0  3.1     2.943    4.811    4.183    3.713    3.008    3.524    3.550 
 191      4250  1.50  4.0  3.1     3.912    6.409    5.576    4.949    4.010    4.699    4.733 
 191      4250  1.50  5.0  3.1     4.874    8.003    6.969    6.185    5.011    5.873    5.916 
 191      4250  1.50  6.0  3.1     5.831    9.595    8.362    7.420    6.012    7.046    7.100 
 191      4250  1.50  7.0  3.1     6.782   11.184    9.754    8.654    7.012    8.220    8.283 
 191      4250  1.50  8.0  3.1     7.727   12.770   11.146    9.888    8.012    9.393    9.466 
