# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          V        u        v        b        y     Hb_w     Hb_n
   6       600  3.50  9.0  3.1     7.047    0.000   11.892   10.675    8.769   10.448   10.639 
   6       600  3.50 10.0  3.1     7.827    0.000   13.213   11.855    9.741   11.608   11.820 
   7       600  4.00  1.0  3.1     0.787    0.000    1.331    1.192    0.976    1.162    1.182 
   7       600  4.00  2.0  3.1     1.572    0.000    2.661    2.382    1.952    2.324    2.364 
   7       600  4.00  3.0  3.1     2.357    0.000    3.992    3.571    2.928    3.485    3.546 
   7       600  4.00  4.0  3.1     3.141    0.000    5.322    4.759    3.903    4.646    4.728 
   7       600  4.00  5.0  3.1     3.925    0.000    6.652    5.945    4.878    5.807    5.910 
   7       600  4.00  6.0  3.1     4.708    0.000    7.982    7.131    5.852    6.968    7.092 
   7       600  4.00  7.0  3.1     5.490    0.000    9.313    8.315    6.826    8.129    8.274 
   7       600  4.00  8.0  3.1     6.272    0.000   10.643    9.499    7.799    9.289    9.456 
   7       600  4.00  9.0  3.1     7.053    0.000   11.973   10.681    8.772   10.449   10.638 
   7       600  4.00 10.0  3.1     7.833    0.000   13.302   11.862    9.744   11.609   11.820 
   8       600  4.50  1.0  3.1     0.784    0.000    0.000    1.189    0.975    1.162    1.182 
   8       600  4.50  2.0  3.1     1.566    0.000    0.000    2.376    1.950    2.323    2.364 
   8       600  4.50  3.0  3.1     2.348    0.000    0.000    3.563    2.925    3.484    3.546 
   8       600  4.50  4.0  3.1     3.129    0.000    0.000    4.748    3.899    4.645    4.728 
   8       600  4.50  5.0  3.1     3.910    0.000    0.000    5.932    4.872    5.805    5.910 
   8       600  4.50  6.0  3.1     4.690    0.000    0.000    7.115    5.846    6.966    7.092 
   8       600  4.50  7.0  3.1     5.470    0.000    0.000    8.297    6.818    8.126    8.274 
   8       600  4.50  8.0  3.1     6.249    0.000    0.000    9.478    7.790    9.286    9.456 
   8       600  4.50  9.0  3.1     7.028    0.000    0.000   10.658    8.762   10.446   10.638 
   8       600  4.50 10.0  3.1     7.806    0.000    0.000   11.836    9.733   11.605   11.820 
   9       600  5.00  1.0  3.1     0.784    0.000    1.328    1.190    0.976    1.161    1.182 
   9       600  5.00  2.0  3.1     1.567    0.000    2.656    2.379    1.952    2.323    2.364 
   9       600  5.00  3.0  3.1     2.350    0.000    3.984    3.567    2.927    3.484    3.546 
   9       600  5.00  4.0  3.1     3.132    0.000    5.311    4.754    3.901    4.645    4.728 
   9       600  5.00  5.0  3.1     3.913    0.000    6.639    5.939    4.876    5.806    5.910 
   9       600  5.00  6.0  3.1     4.694    0.000    7.966    7.124    5.849    6.967    7.092 
   9       600  5.00  7.0  3.1     5.474    0.000    9.294    8.307    6.823    8.127    8.274 
   9       600  5.00  8.0  3.1     6.254    0.000   10.621    9.489    7.795    9.287    9.456 
   9       600  5.00  9.0  3.1     7.033    0.000   11.949   10.670    8.768   10.447   10.638 
   9       600  5.00 10.0  3.1     7.812    0.000   13.276   11.850    9.740   11.607   11.820 
  10       600  5.50  1.0  3.1     0.786    0.000    1.346    1.192    0.977    1.162    1.182 
  10       600  5.50  2.0  3.1     1.570    0.000    2.691    2.382    1.953    2.324    2.364 
  10       600  5.50  3.0  3.1     2.354    0.000    4.036    3.572    2.929    3.485    3.546 
  10       600  5.50  4.0  3.1     3.137    0.000    5.381    4.760    3.905    4.647    4.728 
  10       600  5.50  5.0  3.1     3.920    0.000    6.726    5.948    4.880    5.808    5.910 
  10       600  5.50  6.0  3.1     4.702    0.000    8.070    7.134    5.854    6.969    7.092 
  10       600  5.50  7.0  3.1     5.483    0.000    9.414    8.319    6.828    8.129    8.274 
  10       600  5.50  8.0  3.1     6.264    0.000   10.757    9.503    7.802    9.290    9.456 
  10       600  5.50  9.0  3.1     7.044    0.000   12.100   10.686    8.775   10.450   10.638 
  10       600  5.50 10.0  3.1     7.823    0.000   13.443   11.867    9.748   11.610   11.820 
  11       600  6.00  1.0  3.1     0.788    0.000    1.356    1.194    0.977    1.163    1.182 
  11       600  6.00  2.0  3.1     1.575    0.000    2.711    2.386    1.955    2.325    2.365 
  11       600  6.00  3.0  3.1     2.361    0.000    4.066    3.578    2.932    3.487    3.547 
  11       600  6.00  4.0  3.1     3.146    0.000    5.420    4.769    3.908    4.649    4.729 
  11       600  6.00  5.0  3.1     3.930    0.000    6.774    5.958    4.884    5.810    5.911 
  11       600  6.00  6.0  3.1     4.714    0.000    8.126    7.147    5.860    6.972    7.093 
  11       600  6.00  7.0  3.1     5.497    0.000    9.479    8.334    6.835    8.133    8.275 
  11       600  6.00  8.0  3.1     6.279    0.000   10.830    9.520    7.809    9.294    9.457 
  11       600  6.00  9.0  3.1     7.060    0.000   12.182   10.705    8.783   10.455   10.639 
  11       600  6.00 10.0  3.1     7.841    0.000   13.532   11.889    9.757   11.615   11.821 
  12       700  3.50  1.0  3.1     0.798    1.511    1.361    1.200    0.981    1.164    1.182 
  12       700  3.50  2.0  3.1     1.594    3.022    2.720    2.400    1.961    2.327    2.365 
  12       700  3.50  3.0  3.1     2.390    4.533    4.079    3.599    2.941    3.491    3.547 
  12       700  3.50  4.0  3.1     3.184    6.044    5.438    4.796    3.921    4.654    4.729 
  12       700  3.50  5.0  3.1     3.977    7.554    6.795    5.993    4.900    5.817    5.911 
  12       700  3.50  6.0  3.1     4.769    9.064    8.153    7.188    5.878    6.980    7.093 
  12       700  3.50  7.0  3.1     5.561   10.573    9.509    8.382    6.856    8.142    8.276 
  12       700  3.50  8.0  3.1     6.351   12.082   10.865    9.575    7.833    9.304    9.458 
  12       700  3.50  9.0  3.1     7.140   13.591   12.221   10.767    8.810   10.466   10.640 
  12       700  3.50 10.0  3.1     7.929   15.099   13.575   11.958    9.787   11.628   11.822 
  13       700  4.00  1.0  3.1     0.798    1.513    1.360    1.202    0.981    1.164    1.182 
  13       700  4.00  2.0  3.1     1.596    3.025    2.720    2.402    1.962    2.327    2.365 
  13       700  4.00  3.0  3.1     2.392    4.536    4.080    3.601    2.942    3.491    3.547 
  13       700  4.00  4.0  3.1     3.187    6.047    5.439    4.799    3.922    4.654    4.729 
  13       700  4.00  5.0  3.1     3.981    7.558    6.797    5.996    4.901    5.817    5.911 
  13       700  4.00  6.0  3.1     4.774    9.068    8.154    7.192    5.880    6.980    7.093 
  13       700  4.00  7.0  3.1     5.566   10.578    9.511    8.387    6.858    8.143    8.276 
  13       700  4.00  8.0  3.1     6.357   12.087   10.868    9.581    7.835    9.305    9.458 
  13       700  4.00  9.0  3.1     7.147   13.596   12.224   10.773    8.813   10.467   10.640 
  13       700  4.00 10.0  3.1     7.936   15.105   13.579   11.964    9.789   11.629   11.822 
  14       700  4.50  1.0  3.1     0.795    1.499    1.360    1.199    0.980    1.164    1.183 
  14       700  4.50  2.0  3.1     1.589    2.997    2.719    2.398    1.960    2.327    2.365 
  14       700  4.50  3.0  3.1     2.382    4.496    4.077    3.595    2.939    3.491    3.547 
  14       700  4.50  4.0  3.1     3.174    5.994    5.435    4.791    3.918    4.653    4.729 
  14       700  4.50  5.0  3.1     3.965    7.492    6.792    5.986    4.896    5.816    5.912 
  14       700  4.50  6.0  3.1     4.755    8.990    8.148    7.180    5.874    6.979    7.094 
  14       700  4.50  7.0  3.1     5.544   10.488    9.504    8.373    6.851    8.141    8.276 
  14       700  4.50  8.0  3.1     6.332   11.986   10.860    9.564    7.828    9.303    9.458 
  14       700  4.50  9.0  3.1     7.119   13.484   12.214   10.755    8.804   10.465   10.640 
  14       700  4.50 10.0  3.1     7.906   14.981   13.569   11.944    9.780   11.626   11.822 
  15       700  5.00  1.0  3.1     0.795    1.510    1.360    1.200    0.981    1.164    1.182 
  15       700  5.00  2.0  3.1     1.590    3.019    2.720    2.399    1.961    2.327    2.364 
  15       700  5.00  3.0  3.1     2.383    4.528    4.079    3.597    2.940    3.490    3.546 
  15       700  5.00  4.0  3.1     3.175    6.036    5.437    4.793    3.919    4.654    4.729 
  15       700  5.00  5.0  3.1     3.966    7.545    6.795    5.989    4.898    5.816    5.911 
  15       700  5.00  6.0  3.1     4.757    9.053    8.152    7.183    5.876    6.979    7.093 
  15       700  5.00  7.0  3.1     5.546   10.560    9.508    8.377    6.853    8.141    8.275 
  15       700  5.00  8.0  3.1     6.334   12.068   10.864    9.569    7.830    9.303    9.457 
  15       700  5.00  9.0  3.1     7.122   13.574   12.219   10.760    8.807   10.465   10.639 
  15       700  5.00 10.0  3.1     7.908   15.081   13.574   11.950    9.783   11.627   11.821 
  16       700  5.50  1.0  3.1     0.797    1.518    1.361    1.201    0.981    1.164    1.182 
  16       700  5.50  2.0  3.1     1.593    3.035    2.722    2.401    1.961    2.328    2.364 
  16       700  5.50  3.0  3.1     2.387    4.552    4.082    3.600    2.942    3.491    3.547 
  16       700  5.50  4.0  3.1     3.181    6.069    5.442    4.798    3.921    4.654    4.729 
  16       700  5.50  5.0  3.1     3.973    7.584    6.801    5.995    4.900    5.817    5.911 
  16       700  5.50  6.0  3.1     4.764    9.099    8.159    7.190    5.879    6.980    7.093 
  16       700  5.50  7.0  3.1     5.554   10.614    9.517    8.385    6.857    8.143    8.275 
  16       700  5.50  8.0  3.1     6.343   12.127   10.874    9.578    7.835    9.305    9.458 
  16       700  5.50  9.0  3.1     7.131   13.640   12.230   10.770    8.812   10.467   10.640 
  16       700  5.50 10.0  3.1     7.919   15.153   13.586   11.961    9.788   11.629   11.822 
  17       700  6.00  1.0  3.1     0.800    1.522    1.363    1.203    0.982    1.165    1.182 
  17       700  6.00  2.0  3.1     1.598    3.042    2.725    2.405    1.963    2.329    2.364 
  17       700  6.00  3.0  3.1     2.395    4.562    4.087    3.605    2.944    3.493    3.547 
  17       700  6.00  4.0  3.1     3.190    6.081    5.448    4.805    3.924    4.656    4.729 
  17       700  6.00  5.0  3.1     3.985    7.599    6.809    6.004    4.904    5.820    5.911 
  17       700  6.00  6.0  3.1     4.778    9.116    8.169    7.201    5.884    6.983    7.093 
  17       700  6.00  7.0  3.1     5.570   10.633    9.528    8.397    6.863    8.146    8.276 
  17       700  6.00  8.0  3.1     6.361   12.149   10.886    9.593    7.841    9.308    9.458 
  17       700  6.00  9.0  3.1     7.152   13.665   12.244   10.787    8.819   10.471   10.640 
  17       700  6.00 10.0  3.1     7.941   15.180   13.602   11.980    9.796   11.633   11.822 
  18       800  3.50  1.0  3.1     0.813    1.526    1.367    1.209    0.985    1.166    1.182 
  18       800  3.50  2.0  3.1     1.624    3.050    2.734    2.417    1.969    2.331    2.365 
  18       800  3.50  3.0  3.1     2.434    4.574    4.100    3.624    2.953    3.497    3.547 
  18       800  3.50  4.0  3.1     3.242    6.097    5.465    4.830    3.936    4.662    4.729 
  18       800  3.50  5.0  3.1     4.048    7.619    6.829    6.035    4.919    5.826    5.912 
  18       800  3.50  6.0  3.1     4.853    9.141    8.193    7.239    5.901    6.991    7.094 
  18       800  3.50  7.0  3.1     5.656   10.661    9.557    8.442    6.883    8.155    8.276 
  18       800  3.50  8.0  3.1     6.458   12.181   10.919    9.643    7.864    9.319    9.459 
  18       800  3.50  9.0  3.1     7.258   13.699   12.281   10.844    8.845   10.483   10.641 
  18       800  3.50 10.0  3.1     8.057   15.217   13.643   12.043    9.825   11.647   11.823 
  19       800  4.00  1.0  3.1     0.813    1.526    1.367    1.209    0.985    1.165    1.182 
  19       800  4.00  2.0  3.1     1.624    3.051    2.733    2.417    1.969    2.331    2.365 
  19       800  4.00  3.0  3.1     2.434    4.574    4.099    3.624    2.953    3.496    3.547 
  19       800  4.00  4.0  3.1     3.242    6.097    5.464    4.829    3.936    4.661    4.730 
  19       800  4.00  5.0  3.1     4.048    7.619    6.829    6.034    4.919    5.826    5.912 
  19       800  4.00  6.0  3.1     4.852    9.140    8.192    7.238    5.901    6.990    7.094 
  19       800  4.00  7.0  3.1     5.656   10.661    9.556    8.441    6.883    8.155    8.277 
  19       800  4.00  8.0  3.1     6.457   12.180   10.918    9.642    7.864    9.319    9.459 
  19       800  4.00  9.0  3.1     7.258   13.699   12.280   10.843    8.845   10.482   10.641 
  19       800  4.00 10.0  3.1     8.057   15.217   13.642   12.042    9.826   11.646   11.823 
  20       800  4.50  1.0  3.1     0.809    1.525    1.366    1.208    0.984    1.166    1.183 
  20       800  4.50  2.0  3.1     1.616    3.049    2.731    2.414    1.967    2.331    2.365 
  20       800  4.50  3.0  3.1     2.422    4.571    4.096    3.620    2.950    3.496    3.547 
  20       800  4.50  4.0  3.1     3.227    6.093    5.460    4.824    3.933    4.660    4.730 
  20       800  4.50  5.0  3.1     4.029    7.614    6.824    6.028    4.915    5.825    5.912 
  20       800  4.50  6.0  3.1     4.831    9.134    8.187    7.230    5.897    6.989    7.094 
  20       800  4.50  7.0  3.1     5.631   10.654    9.549    8.431    6.878    8.153    8.277 
  20       800  4.50  8.0  3.1     6.429   12.173   10.911    9.631    7.858    9.317    9.459 
  20       800  4.50  9.0  3.1     7.227   13.690   12.272   10.830    8.838   10.480   10.641 
  20       800  4.50 10.0  3.1     8.023   15.208   13.632   12.028    9.818   11.643   11.823 
  21       800  5.00  1.0  3.1     0.810    1.526    1.367    1.208    0.984    1.165    1.182 
  21       800  5.00  2.0  3.1     1.618    3.050    2.732    2.415    1.967    2.331    2.364 
  21       800  5.00  3.0  3.1     2.424    4.573    4.097    3.621    2.951    3.495    3.547 
  21       800  5.00  4.0  3.1     3.228    6.095    5.462    4.825    3.933    4.660    4.729 
  21       800  5.00  5.0  3.1     4.031    7.617    6.826    6.029    4.915    5.825    5.911 
  21       800  5.00  6.0  3.1     4.833    9.138    8.189    7.231    5.897    6.989    7.094 
  21       800  5.00  7.0  3.1     5.633   10.658    9.552    8.433    6.878    8.153    8.276 
  21       800  5.00  8.0  3.1     6.432   12.177   10.914    9.633    7.859    9.317    9.458 
  21       800  5.00  9.0  3.1     7.229   13.695   12.276   10.832    8.839   10.480   10.641 
  21       800  5.00 10.0  3.1     8.025   15.213   13.636   12.031    9.819   11.643   11.823 
  22       800  5.50  1.0  3.1     0.811    1.526    1.367    1.208    0.984    1.165    1.182 
  22       800  5.50  2.0  3.1     1.620    3.051    2.733    2.415    1.968    2.331    2.365 
  22       800  5.50  3.0  3.1     2.427    4.575    4.099    3.621    2.952    3.496    3.547 
  22       800  5.50  4.0  3.1     3.233    6.098    5.464    4.826    3.934    4.660    4.729 
  22       800  5.50  5.0  3.1     4.037    7.620    6.829    6.030    4.917    5.825    5.912 
  22       800  5.50  6.0  3.1     4.839    9.141    8.192    7.233    5.899    6.989    7.094 
  22       800  5.50  7.0  3.1     5.640   10.662    9.556    8.435    6.880    8.153    8.276 
  22       800  5.50  8.0  3.1     6.440   12.182   10.918    9.635    7.861    9.317    9.459 
  22       800  5.50  9.0  3.1     7.238   13.701   12.280   10.835    8.841   10.481   10.641 
  22       800  5.50 10.0  3.1     8.035   15.219   13.642   12.033    9.821   11.644   11.823 
  23       800  6.00  1.0  3.1     0.815    1.527    1.368    1.209    0.985    1.166    1.182 
  23       800  6.00  2.0  3.1     1.628    3.053    2.735    2.417    1.969    2.332    2.365 
  23       800  6.00  3.0  3.1     2.439    4.578    4.102    3.625    2.953    3.497    3.547 
  23       800  6.00  4.0  3.1     3.248    6.102    5.468    4.831    3.937    4.662    4.730 
  23       800  6.00  5.0  3.1     4.056    7.626    6.833    6.036    4.920    5.827    5.912 
  23       800  6.00  6.0  3.1     4.861    9.148    8.198    7.240    5.903    6.991    7.094 
  23       800  6.00  7.0  3.1     5.666   10.670    9.562    8.443    6.885    8.156    8.277 
  23       800  6.00  8.0  3.1     6.468   12.191   10.926    9.645    7.866    9.320    9.459 
  23       800  6.00  9.0  3.1     7.270   13.711   12.289   10.845    8.847   10.484   10.641 
  23       800  6.00 10.0  3.1     8.070   15.230   13.651   12.045    9.828   11.647   11.823 
  24       900  3.50  1.0  3.1     0.833    1.533    1.372    1.216    0.988    1.168    1.183 
  24       900  3.50  2.0  3.1     1.665    3.065    2.744    2.430    1.976    2.335    2.365 
  24       900  3.50  3.0  3.1     2.493    4.596    4.115    3.644    2.963    3.502    3.548 
  24       900  3.50  4.0  3.1     3.320    6.126    5.485    4.856    3.950    4.668    4.730 
  24       900  3.50  5.0  3.1     4.144    7.655    6.855    6.068    4.936    5.834    5.913 
  24       900  3.50  6.0  3.1     4.965    9.183    8.224    7.279    5.922    7.001    7.095 
  24       900  3.50  7.0  3.1     5.785   10.709    9.593    8.488    6.907    8.166    8.278 
  24       900  3.50  8.0  3.1     6.603   12.235   10.961    9.697    7.892    9.332    9.460 
  24       900  3.50  9.0  3.1     7.418   13.760   12.328   10.905    8.876   10.497   10.642 
  24       900  3.50 10.0  3.1     8.232   15.284   13.695   12.111    9.860   11.662   11.825 
  25       900  4.00  1.0  3.1     0.833    1.533    1.372    1.216    0.988    1.167    1.182 
  25       900  4.00  2.0  3.1     1.664    3.065    2.743    2.430    1.976    2.334    2.365 
  25       900  4.00  3.0  3.1     2.492    4.595    4.114    3.643    2.963    3.501    3.547 
  25       900  4.00  4.0  3.1     3.318    6.125    5.484    4.856    3.949    4.668    4.730 
  25       900  4.00  5.0  3.1     4.141    7.653    6.854    6.067    4.936    5.834    5.912 
  25       900  4.00  6.0  3.1     4.962    9.181    8.223    7.277    5.921    7.000    7.095 
  25       900  4.00  7.0  3.1     5.781   10.707    9.591    8.487    6.906    8.166    8.277 
  25       900  4.00  8.0  3.1     6.598   12.233   10.959    9.695    7.891    9.331    9.459 
  25       900  4.00  9.0  3.1     7.413   13.757   12.326   10.902    8.875   10.496   10.642 
  25       900  4.00 10.0  3.1     8.227   15.281   13.693   12.109    9.859   11.661   11.824 
  26       900  4.50  1.0  3.1     0.827    1.531    1.371    1.214    0.987    1.167    1.182 
  26       900  4.50  2.0  3.1     1.653    3.061    2.741    2.426    1.974    2.334    2.365 
  26       900  4.50  3.0  3.1     2.476    4.590    4.110    3.638    2.960    3.500    3.547 
  26       900  4.50  4.0  3.1     3.297    6.118    5.480    4.849    3.946    4.666    4.730 
  26       900  4.50  5.0  3.1     4.115    7.644    6.848    6.058    4.931    5.832    5.912 
  26       900  4.50  6.0  3.1     4.932    9.170    8.216    7.267    5.916    6.998    7.095 
  26       900  4.50  7.0  3.1     5.747   10.695    9.583    8.475    6.900    8.163    8.277 
  26       900  4.50  8.0  3.1     6.559   12.219   10.950    9.681    7.884    9.328    9.459 
  26       900  4.50  9.0  3.1     7.370   13.742   12.316   10.887    8.867   10.493   10.642 
  26       900  4.50 10.0  3.1     8.180   15.264   13.681   12.091    9.850   11.658   11.824 
  27       900  5.00  1.0  3.1     0.831    1.531    1.372    1.214    0.987    1.167    1.183 
  27       900  5.00  2.0  3.1     1.659    3.062    2.742    2.427    1.974    2.334    2.365 
  27       900  5.00  3.0  3.1     2.485    4.591    4.112    3.639    2.961    3.501    3.548 
  27       900  5.00  4.0  3.1     3.309    6.119    5.482    4.851    3.947    4.667    4.730 
  27       900  5.00  5.0  3.1     4.131    7.647    6.851    6.061    4.933    5.833    5.913 
  27       900  5.00  6.0  3.1     4.950    9.173    8.219    7.270    5.918    6.999    7.095 
  27       900  5.00  7.0  3.1     5.767   10.699    9.587    8.478    6.903    8.164    8.277 
  27       900  5.00  8.0  3.1     6.583   12.223   10.954    9.685    7.887    9.329    9.460 
  27       900  5.00  9.0  3.1     7.396   13.747   12.320   10.891    8.871   10.494   10.642 
  27       900  5.00 10.0  3.1     8.208   15.269   13.686   12.096    9.854   11.659   11.825 
  28       900  5.50  1.0  3.1     0.831    1.531    1.371    1.214    0.988    1.167    1.182 
  28       900  5.50  2.0  3.1     1.659    3.062    2.741    2.427    1.975    2.333    2.365 
  28       900  5.50  3.0  3.1     2.485    4.591    4.111    3.640    2.962    3.500    3.547 
  28       900  5.50  4.0  3.1     3.309    6.119    5.481    4.851    3.948    4.666    4.730 
  28       900  5.50  5.0  3.1     4.130    7.646    6.850    6.061    4.934    5.832    5.912 
  28       900  5.50  6.0  3.1     4.950    9.173    8.218    7.270    5.919    6.998    7.095 
  28       900  5.50  7.0  3.1     5.767   10.698    9.586    8.478    6.904    8.163    8.277 
  28       900  5.50  8.0  3.1     6.582   12.223   10.953    9.685    7.888    9.329    9.460 
  28       900  5.50  9.0  3.1     7.395   13.746   12.319   10.891    8.872   10.494   10.642 
  28       900  5.50 10.0  3.1     8.207   15.269   13.685   12.096    9.855   11.658   11.824 
  29      1000  3.50  1.0  3.1     0.847    1.538    1.374    1.219    0.990    1.168    1.182 
  29      1000  3.50  2.0  3.1     1.691    3.075    2.749    2.437    1.980    2.336    2.365 
  29      1000  3.50  3.0  3.1     2.532    4.610    4.122    3.654    2.969    3.504    3.547 
  29      1000  3.50  4.0  3.1     3.370    6.145    5.495    4.870    3.958    4.671    4.730 
  29      1000  3.50  5.0  3.1     4.206    7.678    6.868    6.085    4.946    5.838    5.913 
  29      1000  3.50  6.0  3.1     5.039    9.210    8.240    7.299    5.934    7.005    7.095 
  29      1000  3.50  7.0  3.1     5.869   10.740    9.611    8.512    6.921    8.172    8.278 
  29      1000  3.50  8.0  3.1     6.697   12.270   10.982    9.724    7.907    9.339    9.460 
  29      1000  3.50  9.0  3.1     7.522   13.798   12.352   10.936    8.894   10.505   10.643 
  29      1000  3.50 10.0  3.1     8.345   15.326   13.721   12.146    9.879   11.671   11.825 
  30      1000  4.00  1.0  3.1     0.849    1.539    1.375    1.219    0.990    1.169    1.183 
