# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          I        J        H       Ks
  90      2000  4.50  2.0  3.1     1.156    0.570    0.361    0.232 
  90      2000  4.50  3.0  3.1     1.731    0.854    0.542    0.347 
  90      2000  4.50  4.0  3.1     2.304    1.137    0.722    0.463 
  90      2000  4.50  5.0  3.1     2.876    1.420    0.902    0.578 
  90      2000  4.50  6.0  3.1     3.445    1.703    1.082    0.694 
  90      2000  4.50  7.0  3.1     4.012    1.985    1.262    0.810 
  90      2000  4.50  8.0  3.1     4.578    2.267    1.442    0.925 
  90      2000  4.50  9.0  3.1     5.142    2.548    1.622    1.041 
  90      2000  4.50 10.0  3.1     5.704    2.829    1.801    1.156 
  91      2000  5.00  1.0  3.1     0.579    0.285    0.181    0.116 
  91      2000  5.00  2.0  3.1     1.156    0.569    0.362    0.232 
  91      2000  5.00  3.0  3.1     1.730    0.853    0.542    0.348 
  91      2000  5.00  4.0  3.1     2.303    1.137    0.723    0.464 
  91      2000  5.00  5.0  3.1     2.873    1.420    0.903    0.580 
  91      2000  5.00  6.0  3.1     3.442    1.702    1.084    0.696 
  91      2000  5.00  7.0  3.1     4.009    1.984    1.264    0.811 
  91      2000  5.00  8.0  3.1     4.574    2.266    1.444    0.927 
  91      2000  5.00  9.0  3.1     5.138    2.547    1.624    1.043 
  91      2000  5.00 10.0  3.1     5.700    2.827    1.804    1.158 
  92      2000  5.50  1.0  3.1     0.579    0.284    0.181    0.116 
  92      2000  5.50  2.0  3.1     1.156    0.568    0.362    0.232 
  92      2000  5.50  3.0  3.1     1.730    0.852    0.543    0.349 
  92      2000  5.50  4.0  3.1     2.303    1.135    0.724    0.465 
  92      2000  5.50  5.0  3.1     2.873    1.417    0.904    0.581 
  92      2000  5.50  6.0  3.1     3.441    1.699    1.085    0.697 
  92      2000  5.50  7.0  3.1     4.008    1.980    1.265    0.813 
  92      2000  5.50  8.0  3.1     4.572    2.261    1.445    0.929 
  92      2000  5.50  9.0  3.1     5.135    2.542    1.625    1.045 
  92      2000  5.50 10.0  3.1     5.696    2.821    1.805    1.161 
  93      2000  6.00  1.0  3.1     0.580    0.284    0.182    0.117 
  93      2000  6.00  2.0  3.1     1.156    0.568    0.363    0.234 
  93      2000  6.00  3.0  3.1     1.731    0.851    0.545    0.350 
  93      2000  6.00  4.0  3.1     2.303    1.133    0.726    0.467 
  93      2000  6.00  5.0  3.1     2.873    1.415    0.907    0.583 
  93      2000  6.00  6.0  3.1     3.441    1.696    1.088    0.700 
  93      2000  6.00  7.0  3.1     4.007    1.977    1.268    0.816 
  93      2000  6.00  8.0  3.1     4.571    2.257    1.449    0.932 
  93      2000  6.00  9.0  3.1     5.133    2.537    1.629    1.049 
  93      2000  6.00 10.0  3.1     5.693    2.816    1.809    1.165 
  94      2100  4.00  1.0  3.1     0.580    0.286    0.181    0.115 
  94      2100  4.00  2.0  3.1     1.158    0.571    0.361    0.231 
  94      2100  4.00  3.0  3.1     1.734    0.855    0.542    0.347 
  94      2100  4.00  4.0  3.1     2.308    1.139    0.722    0.462 
  94      2100  4.00  5.0  3.1     2.880    1.423    0.902    0.578 
  94      2100  4.00  6.0  3.1     3.450    1.706    1.082    0.693 
  94      2100  4.00  7.0  3.1     4.018    1.988    1.262    0.809 
  94      2100  4.00  8.0  3.1     4.584    2.270    1.441    0.924 
  94      2100  4.00  9.0  3.1     5.149    2.552    1.621    1.040 
  94      2100  4.00 10.0  3.1     5.711    2.833    1.800    1.155 
  95      2100  5.00  1.0  3.1     0.580    0.286    0.181    0.116 
  95      2100  5.00  2.0  3.1     1.158    0.571    0.362    0.232 
  95      2100  5.00  3.0  3.1     1.733    0.856    0.543    0.348 
  95      2100  5.00  4.0  3.1     2.307    1.140    0.724    0.464 
  95      2100  5.00  5.0  3.1     2.879    1.424    0.904    0.579 
  95      2100  5.00  6.0  3.1     3.448    1.707    1.085    0.695 
  95      2100  5.00  7.0  3.1     4.016    1.990    1.265    0.811 
  95      2100  5.00  8.0  3.1     4.582    2.272    1.445    0.926 
  95      2100  5.00  9.0  3.1     5.147    2.554    1.625    1.042 
  95      2100  5.00 10.0  3.1     5.710    2.835    1.805    1.158 
  96      2100  5.50  1.0  3.1     0.578    0.285    0.182    0.116 
  96      2100  5.50  2.0  3.1     1.154    0.570    0.363    0.232 
  96      2100  5.50  3.0  3.1     1.728    0.854    0.544    0.348 
  96      2100  5.50  4.0  3.1     2.301    1.138    0.725    0.464 
  96      2100  5.50  5.0  3.1     2.871    1.421    0.906    0.581 
  96      2100  5.50  6.0  3.1     3.439    1.704    1.086    0.697 
  96      2100  5.50  7.0  3.1     4.005    1.986    1.267    0.813 
  96      2100  5.50  8.0  3.1     4.570    2.268    1.447    0.928 
  96      2100  5.50  9.0  3.1     5.133    2.549    1.627    1.044 
  96      2100  5.50 10.0  3.1     5.694    2.830    1.808    1.160 
  97      2100  6.00  1.0  3.1     0.577    0.285    0.182    0.117 
  97      2100  6.00  2.0  3.1     1.152    0.569    0.363    0.234 
  97      2100  6.00  3.0  3.1     1.725    0.852    0.545    0.350 
  97      2100  6.00  4.0  3.1     2.296    1.135    0.726    0.467 
  97      2100  6.00  5.0  3.1     2.864    1.418    0.907    0.583 
  97      2100  6.00  6.0  3.1     3.431    1.700    1.088    0.699 
  97      2100  6.00  7.0  3.1     3.996    1.981    1.269    0.816 
  97      2100  6.00  8.0  3.1     4.559    2.262    1.450    0.932 
  97      2100  6.00  9.0  3.1     5.120    2.542    1.630    1.048 
  97      2100  6.00 10.0  3.1     5.679    2.822    1.810    1.165 
  98      2200  3.50  1.0  3.1     0.582    0.285    0.180    0.116 
  98      2200  3.50  2.0  3.1     1.162    0.571    0.361    0.232 
  98      2200  3.50  3.0  3.1     1.740    0.856    0.541    0.348 
  98      2200  3.50  4.0  3.1     2.315    1.140    0.721    0.463 
  98      2200  3.50  5.0  3.1     2.888    1.424    0.901    0.579 
  98      2200  3.50  6.0  3.1     3.459    1.707    1.081    0.695 
  98      2200  3.50  7.0  3.1     4.029    1.990    1.260    0.810 
  98      2200  3.50  8.0  3.1     4.596    2.272    1.440    0.926 
  98      2200  3.50  9.0  3.1     5.161    2.554    1.619    1.041 
  98      2200  3.50 10.0  3.1     5.724    2.835    1.799    1.157 
  99      2200  4.00  1.0  3.1     0.583    0.286    0.181    0.116 
  99      2200  4.00  2.0  3.1     1.163    0.572    0.361    0.231 
  99      2200  4.00  3.0  3.1     1.740    0.857    0.542    0.347 
  99      2200  4.00  4.0  3.1     2.316    1.141    0.722    0.463 
  99      2200  4.00  5.0  3.1     2.889    1.425    0.902    0.579 
  99      2200  4.00  6.0  3.1     3.460    1.708    1.082    0.694 
  99      2200  4.00  7.0  3.1     4.030    1.991    1.262    0.810 
  99      2200  4.00  8.0  3.1     4.597    2.274    1.442    0.925 
  99      2200  4.00  9.0  3.1     5.162    2.556    1.621    1.041 
  99      2200  4.00 10.0  3.1     5.726    2.837    1.801    1.156 
 100      2200  4.50  1.0  3.1     0.582    0.287    0.181    0.116 
 100      2200  4.50  2.0  3.1     1.161    0.572    0.362    0.232 
 100      2200  4.50  3.0  3.1     1.739    0.857    0.543    0.347 
 100      2200  4.50  4.0  3.1     2.314    1.142    0.723    0.463 
 100      2200  4.50  5.0  3.1     2.887    1.426    0.903    0.579 
 100      2200  4.50  6.0  3.1     3.458    1.709    1.084    0.694 
 100      2200  4.50  7.0  3.1     4.027    1.992    1.264    0.810 
 100      2200  4.50  8.0  3.1     4.594    2.275    1.444    0.925 
 100      2200  4.50  9.0  3.1     5.159    2.557    1.624    1.041 
 100      2200  4.50 10.0  3.1     5.723    2.839    1.803    1.156 
 101      2200  5.00  1.0  3.1     0.581    0.286    0.181    0.116 
 101      2200  5.00  2.0  3.1     1.161    0.572    0.362    0.232 
 101      2200  5.00  3.0  3.1     1.738    0.857    0.543    0.348 
 101      2200  5.00  4.0  3.1     2.312    1.142    0.724    0.463 
 101      2200  5.00  5.0  3.1     2.885    1.426    0.905    0.579 
 101      2200  5.00  6.0  3.1     3.456    1.709    1.085    0.695 
 101      2200  5.00  7.0  3.1     4.025    1.992    1.265    0.810 
 101      2200  5.00  8.0  3.1     4.592    2.275    1.446    0.926 
 101      2200  5.00  9.0  3.1     5.157    2.557    1.626    1.042 
 101      2200  5.00 10.0  3.1     5.720    2.839    1.806    1.157 
 102      2200  5.50  1.0  3.1     0.580    0.286    0.182    0.117 
 102      2200  5.50  2.0  3.1     1.158    0.571    0.363    0.233 
 102      2200  5.50  3.0  3.1     1.733    0.856    0.544    0.349 
 102      2200  5.50  4.0  3.1     2.307    1.140    0.725    0.465 
 102      2200  5.50  5.0  3.1     2.878    1.424    0.906    0.581 
 102      2200  5.50  6.0  3.1     3.448    1.708    1.087    0.697 
 102      2200  5.50  7.0  3.1     4.015    1.990    1.268    0.813 
 102      2200  5.50  8.0  3.1     4.581    2.273    1.448    0.929 
 102      2200  5.50  9.0  3.1     5.145    2.555    1.629    1.044 
 102      2200  5.50 10.0  3.1     5.708    2.836    1.809    1.160 
 103      2200  6.00  1.0  3.1     0.577    0.286    0.181    0.116 
 103      2200  6.00  2.0  3.1     1.151    0.571    0.363    0.233 
 103      2200  6.00  3.0  3.1     1.724    0.856    0.545    0.350 
 103      2200  6.00  4.0  3.1     2.295    1.140    0.726    0.466 
 103      2200  6.00  5.0  3.1     2.864    1.423    0.907    0.582 
 103      2200  6.00  6.0  3.1     3.430    1.706    1.089    0.699 
 103      2200  6.00  7.0  3.1     3.995    1.988    1.270    0.815 
 103      2200  6.00  8.0  3.1     4.559    2.270    1.450    0.931 
 103      2200  6.00  9.0  3.1     5.120    2.551    1.631    1.048 
 103      2200  6.00 10.0  3.1     5.680    2.832    1.812    1.164 
 104      2300  3.50  1.0  3.1     0.585    0.286    0.180    0.116 
 104      2300  3.50  2.0  3.1     1.168    0.572    0.361    0.232 
 104      2300  3.50  3.0  3.1     1.748    0.857    0.541    0.348 
 104      2300  3.50  4.0  3.1     2.326    1.141    0.721    0.464 
 104      2300  3.50  5.0  3.1     2.902    1.425    0.901    0.580 
 104      2300  3.50  6.0  3.1     3.475    1.709    1.081    0.695 
 104      2300  3.50  7.0  3.1     4.046    1.992    1.261    0.811 
 104      2300  3.50  8.0  3.1     4.615    2.275    1.441    0.927 
 104      2300  3.50  9.0  3.1     5.181    2.557    1.620    1.042 
 104      2300  3.50 10.0  3.1     5.746    2.838    1.799    1.158 
 105      2300  4.00  1.0  3.1     0.585    0.287    0.181    0.116 
 105      2300  4.00  2.0  3.1     1.168    0.572    0.362    0.232 
 105      2300  4.00  3.0  3.1     1.748    0.858    0.542    0.347 
 105      2300  4.00  4.0  3.1     2.326    1.142    0.723    0.463 
 105      2300  4.00  5.0  3.1     2.901    1.426    0.903    0.579 
 105      2300  4.00  6.0  3.1     3.475    1.710    1.083    0.695 
 105      2300  4.00  7.0  3.1     4.046    1.993    1.263    0.810 
 105      2300  4.00  8.0  3.1     4.615    2.276    1.443    0.926 
 105      2300  4.00  9.0  3.1     5.182    2.558    1.622    1.042 
 105      2300  4.00 10.0  3.1     5.747    2.840    1.802    1.157 
 106      2300  4.50  1.0  3.1     0.585    0.287    0.181    0.116 
 106      2300  4.50  2.0  3.1     1.167    0.572    0.362    0.232 
 106      2300  4.50  3.0  3.1     1.746    0.858    0.543    0.347 
 106      2300  4.50  4.0  3.1     2.324    1.143    0.724    0.463 
 106      2300  4.50  5.0  3.1     2.899    1.427    0.904    0.579 
 106      2300  4.50  6.0  3.1     3.472    1.711    1.084    0.695 
 106      2300  4.50  7.0  3.1     4.043    1.994    1.264    0.810 
 106      2300  4.50  8.0  3.1     4.611    2.277    1.444    0.926 
 106      2300  4.50  9.0  3.1     5.178    2.559    1.624    1.041 
 106      2300  4.50 10.0  3.1     5.742    2.841    1.804    1.157 
 107      2300  5.00  1.0  3.1     0.584    0.287    0.181    0.116 
 107      2300  5.00  2.0  3.1     1.166    0.573    0.362    0.232 
 107      2300  5.00  3.0  3.1     1.745    0.858    0.543    0.347 
 107      2300  5.00  4.0  3.1     2.322    1.143    0.724    0.463 
 107      2300  5.00  5.0  3.1     2.897    1.427    0.905    0.579 
 107      2300  5.00  6.0  3.1     3.469    1.711    1.085    0.695 
 107      2300  5.00  7.0  3.1     4.040    1.995    1.266    0.810 
 107      2300  5.00  8.0  3.1     4.608    2.278    1.446    0.926 
 107      2300  5.00  9.0  3.1     5.174    2.560    1.626    1.042 
 107      2300  5.00 10.0  3.1     5.739    2.842    1.806    1.157 
 108      2300  5.50  1.0  3.1     0.583    0.287    0.182    0.116 
 108      2300  5.50  2.0  3.1     1.163    0.573    0.363    0.232 
 108      2300  5.50  3.0  3.1     1.741    0.858    0.544    0.348 
 108      2300  5.50  4.0  3.1     2.317    1.143    0.725    0.464 
 108      2300  5.50  5.0  3.1     2.890    1.427    0.906    0.580 
 108      2300  5.50  6.0  3.1     3.461    1.711    1.087    0.696 
 108      2300  5.50  7.0  3.1     4.031    1.994    1.268    0.812 
 108      2300  5.50  8.0  3.1     4.598    2.277    1.448    0.928 
 108      2300  5.50  9.0  3.1     5.163    2.559    1.629    1.044 
 108      2300  5.50 10.0  3.1     5.727    2.841    1.809    1.159 
 109      2300  6.00  1.0  3.1     0.580    0.286    0.182    0.116 
 109      2300  6.00  2.0  3.1     1.157    0.572    0.364    0.233 
 109      2300  6.00  3.0  3.1     1.733    0.857    0.546    0.349 
 109      2300  6.00  4.0  3.1     2.306    1.141    0.727    0.466 
 109      2300  6.00  5.0  3.1     2.877    1.425    0.908    0.582 
 109      2300  6.00  6.0  3.1     3.446    1.709    1.090    0.698 
 109      2300  6.00  7.0  3.1     4.013    1.991    1.271    0.815 
 109      2300  6.00  8.0  3.1     4.578    2.274    1.451    0.931 
 109      2300  6.00  9.0  3.1     5.141    2.555    1.632    1.047 
 109      2300  6.00 10.0  3.1     5.703    2.837    1.813    1.163 
 110      2400  3.50  1.0  3.1     0.589    0.286    0.181    0.117 
 110      2400  3.50  2.0  3.1     1.176    0.572    0.361    0.233 
 110      2400  3.50  3.0  3.1     1.759    0.857    0.542    0.349 
 110      2400  3.50  4.0  3.1     2.340    1.142    0.722    0.465 
 110      2400  3.50  5.0  3.1     2.918    1.427    0.902    0.580 
 110      2400  3.50  6.0  3.1     3.494    1.710    1.082    0.696 
 110      2400  3.50  7.0  3.1     4.067    1.994    1.262    0.812 
 110      2400  3.50  8.0  3.1     4.638    2.276    1.442    0.928 
 110      2400  3.50  9.0  3.1     5.207    2.559    1.621    1.044 
 110      2400  3.50 10.0  3.1     5.774    2.841    1.801    1.159 
 111      2400  4.00  1.0  3.1     0.589    0.286    0.181    0.116 
 111      2400  4.00  2.0  3.1     1.175    0.572    0.361    0.232 
 111      2400  4.00  3.0  3.1     1.758    0.858    0.542    0.348 
 111      2400  4.00  4.0  3.1     2.339    1.143    0.722    0.464 
 111      2400  4.00  5.0  3.1     2.917    1.427    0.903    0.580 
 111      2400  4.00  6.0  3.1     3.493    1.711    1.083    0.696 
 111      2400  4.00  7.0  3.1     4.067    1.994    1.263    0.812 
 111      2400  4.00  8.0  3.1     4.638    2.277    1.443    0.927 
 111      2400  4.00  9.0  3.1     5.207    2.559    1.622    1.043 
 111      2400  4.00 10.0  3.1     5.773    2.841    1.802    1.159 
 112      2400  4.50  1.0  3.1     0.588    0.287    0.181    0.116 
 112      2400  4.50  2.0  3.1     1.173    0.573    0.362    0.232 
 112      2400  4.50  3.0  3.1     1.756    0.859    0.543    0.348 
 112      2400  4.50  4.0  3.1     2.336    1.144    0.723    0.464 
 112      2400  4.50  5.0  3.1     2.914    1.428    0.904    0.580 
 112      2400  4.50  6.0  3.1     3.489    1.712    1.084    0.695 
 112      2400  4.50  7.0  3.1     4.062    1.996    1.264    0.811 
 112      2400  4.50  8.0  3.1     4.632    2.279    1.444    0.927 
 112      2400  4.50  9.0  3.1     5.201    2.561    1.624    1.042 
 112      2400  4.50 10.0  3.1     5.767    2.843    1.804    1.158 
 113      2400  5.50  1.0  3.1     0.587    0.286    0.182    0.116 
 113      2400  5.50  2.0  3.1     1.170    0.573    0.363    0.233 
 113      2400  5.50  3.0  3.1     1.751    0.858    0.544    0.349 
 113      2400  5.50  4.0  3.1     2.329    1.143    0.725    0.465 
 113      2400  5.50  5.0  3.1     2.905    1.428    0.906    0.581 
 113      2400  5.50  6.0  3.1     3.479    1.712    1.087    0.697 
 113      2400  5.50  7.0  3.1     4.051    1.995    1.268    0.812 
 113      2400  5.50  8.0  3.1     4.620    2.278    1.448    0.928 
 113      2400  5.50  9.0  3.1     5.187    2.561    1.629    1.044 
 113      2400  5.50 10.0  3.1     5.753    2.843    1.809    1.160 
 114      2400  6.00  1.0  3.1     0.583    0.286    0.182    0.116 
 114      2400  6.00  2.0  3.1     1.164    0.572    0.364    0.233 
 114      2400  6.00  3.0  3.1     1.742    0.857    0.546    0.349 
 114      2400  6.00  4.0  3.1     2.318    1.142    0.727    0.465 
 114      2400  6.00  5.0  3.1     2.892    1.426    0.908    0.582 
 114      2400  6.00  6.0  3.1     3.463    1.710    1.089    0.698 
 114      2400  6.00  7.0  3.1     4.032    1.993    1.270    0.814 
 114      2400  6.00  8.0  3.1     4.600    2.276    1.451    0.930 
 114      2400  6.00  9.0  3.1     5.165    2.558    1.632    1.047 
 114      2400  6.00 10.0  3.1     5.728    2.839    1.812    1.163 
 115      2500  3.50  1.0  3.1     0.593    0.286    0.181    0.116 
 115      2500  3.50  2.0  3.1     1.182    0.572    0.361    0.232 
 115      2500  3.50  3.0  3.1     1.769    0.858    0.542    0.348 
 115      2500  3.50  4.0  3.1     2.353    1.143    0.722    0.464 
 115      2500  3.50  5.0  3.1     2.935    1.427    0.903    0.581 
 115      2500  3.50  6.0  3.1     3.513    1.711    1.083    0.697 
 115      2500  3.50  7.0  3.1     4.089    1.994    1.263    0.812 
 115      2500  3.50  8.0  3.1     4.663    2.277    1.442    0.928 
 115      2500  3.50  9.0  3.1     5.234    2.560    1.622    1.044 
 115      2500  3.50 10.0  3.1     5.802    2.842    1.802    1.160 
 116      2500  4.00  1.0  3.1     0.592    0.287    0.181    0.117 
 116      2500  4.00  2.0  3.1     1.182    0.573    0.362    0.233 
 116      2500  4.00  3.0  3.1     1.769    0.858    0.543    0.349 
 116      2500  4.00  4.0  3.1     2.353    1.143    0.723    0.465 
 116      2500  4.00  5.0  3.1     2.934    1.428    0.904    0.581 
 116      2500  4.00  6.0  3.1     3.513    1.712    1.084    0.697 
 116      2500  4.00  7.0  3.1     4.089    1.996    1.264    0.813 
 116      2500  4.00  8.0  3.1     4.663    2.279    1.444    0.929 
 116      2500  4.00  9.0  3.1     5.234    2.561    1.624    1.045 
 116      2500  4.00 10.0  3.1     5.802    2.843    1.803    1.160 
 117      2500  4.50  1.0  3.1     0.591    0.287    0.181    0.116 
 117      2500  4.50  2.0  3.1     1.180    0.573    0.362    0.232 
 117      2500  4.50  3.0  3.1     1.765    0.859    0.543    0.348 
 117      2500  4.50  4.0  3.1     2.349    1.144    0.723    0.464 
 117      2500  4.50  5.0  3.1     2.929    1.429    0.904    0.580 
 117      2500  4.50  6.0  3.1     3.507    1.713    1.084    0.696 
 117      2500  4.50  7.0  3.1     4.082    1.997    1.264    0.811 
 117      2500  4.50  8.0  3.1     4.655    2.280    1.444    0.927 
 117      2500  4.50  9.0  3.1     5.225    2.562    1.624    1.043 
 117      2500  4.50 10.0  3.1     5.793    2.844    1.804    1.159 
 118      2500  5.00  1.0  3.1     0.591    0.287    0.181    0.116 
 118      2500  5.00  2.0  3.1     1.180    0.573    0.362    0.233 
 118      2500  5.00  3.0  3.1     1.765    0.859    0.543    0.348 
 118      2500  5.00  4.0  3.1     2.348    1.145    0.724    0.464 
 118      2500  5.00  5.0  3.1     2.928    1.429    0.905    0.580 
 118      2500  5.00  6.0  3.1     3.505    1.713    1.085    0.696 
 118      2500  5.00  7.0  3.1     4.080    1.997    1.266    0.812 
 118      2500  5.00  8.0  3.1     4.652    2.280    1.446    0.928 
 118      2500  5.00  9.0  3.1     5.223    2.563    1.626    1.043 
 118      2500  5.00 10.0  3.1     5.790    2.845    1.806    1.159 
 119      2500  5.50  1.0  3.1     0.591    0.287    0.182    0.116 
 119      2500  5.50  2.0  3.1     1.178    0.573    0.363    0.232 
 119      2500  5.50  3.0  3.1     1.762    0.859    0.545    0.348 
 119      2500  5.50  4.0  3.1     2.344    1.144    0.726    0.464 
 119      2500  5.50  5.0  3.1     2.923    1.429    0.907    0.580 
 119      2500  5.50  6.0  3.1     3.500    1.713    1.088    0.696 
 119      2500  5.50  7.0  3.1     4.074    1.997    1.268    0.812 
 119      2500  5.50  8.0  3.1     4.646    2.280    1.449    0.928 
 119      2500  5.50  9.0  3.1     5.215    2.563    1.629    1.043 
 119      2500  5.50 10.0  3.1     5.782    2.845    1.809    1.159 
 120      2500  6.00  1.0  3.1     0.588    0.286    0.182    0.116 
 120      2500  6.00  2.0  3.1     1.172    0.572    0.364    0.233 
 120      2500  6.00  3.0  3.1     1.755    0.858    0.545    0.349 
 120      2500  6.00  4.0  3.1     2.334    1.143    0.727    0.465 
 120      2500  6.00  5.0  3.1     2.911    1.427    0.908    0.582 
 120      2500  6.00  6.0  3.1     3.486    1.711    1.089    0.698 
 120      2500  6.00  7.0  3.1     4.058    1.995    1.270    0.814 
 120      2500  6.00  8.0  3.1     4.628    2.278    1.450    0.930 
 120      2500  6.00  9.0  3.1     5.195    2.560    1.631    1.046 
 120      2500  6.00 10.0  3.1     5.761    2.842    1.812    1.162 
 121      2600  3.50  1.0  3.1     0.596    0.287    0.181    0.116 
 121      2600  3.50  2.0  3.1     1.189    0.573    0.362    0.233 
 121      2600  3.50  3.0  3.1     1.778    0.858    0.542    0.349 
 121      2600  3.50  4.0  3.1     2.365    1.144    0.723    0.465 
 121      2600  3.50  5.0  3.1     2.949    1.428    0.903    0.581 
 121      2600  3.50  6.0  3.1     3.531    1.712    1.083    0.697 
 121      2600  3.50  7.0  3.1     4.109    1.996    1.263    0.813 
 121      2600  3.50  8.0  3.1     4.685    2.279    1.443    0.929 
 121      2600  3.50  9.0  3.1     5.258    2.561    1.623    1.045 
 121      2600  3.50 10.0  3.1     5.828    2.843    1.802    1.161 
 122      2600  4.00  1.0  3.1     0.596    0.287    0.181    0.116 
 122      2600  4.00  2.0  3.1     1.189    0.573    0.362    0.232 
 122      2600  4.00  3.0  3.1     1.779    0.859    0.543    0.349 
 122      2600  4.00  4.0  3.1     2.366    1.144    0.723    0.465 
 122      2600  4.00  5.0  3.1     2.951    1.429    0.903    0.581 
 122      2600  4.00  6.0  3.1     3.532    1.713    1.084    0.697 
 122      2600  4.00  7.0  3.1     4.110    1.996    1.264    0.813 
 122      2600  4.00  8.0  3.1     4.686    2.279    1.444    0.929 
 122      2600  4.00  9.0  3.1     5.259    2.562    1.624    1.045 
 122      2600  4.00 10.0  3.1     5.830    2.844    1.803    1.161 
 123      2600  4.50  1.0  3.1     0.595    0.287    0.181    0.116 
 123      2600  4.50  2.0  3.1     1.187    0.573    0.362    0.232 
 123      2600  4.50  3.0  3.1     1.775    0.859    0.543    0.348 
 123      2600  4.50  4.0  3.1     2.361    1.144    0.724    0.465 
 123      2600  4.50  5.0  3.1     2.945    1.429    0.904    0.581 
 123      2600  4.50  6.0  3.1     3.525    1.713    1.085    0.697 
 123      2600  4.50  7.0  3.1     4.103    1.997    1.265    0.813 
 123      2600  4.50  8.0  3.1     4.678    2.280    1.445    0.928 
 123      2600  4.50  9.0  3.1     5.250    2.563    1.625    1.044 
 123      2600  4.50 10.0  3.1     5.820    2.845    1.805    1.160 
 124      2600  5.00  1.0  3.1     0.594    0.287    0.181    0.117 
 124      2600  5.00  2.0  3.1     1.186    0.573    0.362    0.233 
 124      2600  5.00  3.0  3.1     1.774    0.859    0.543    0.349 
 124      2600  5.00  4.0  3.1     2.360    1.145    0.724    0.465 
 124      2600  5.00  5.0  3.1     2.943    1.430    0.905    0.581 
 124      2600  5.00  6.0  3.1     3.523    1.714    1.086    0.697 
 124      2600  5.00  7.0  3.1     4.100    1.998    1.266    0.813 
 124      2600  5.00  8.0  3.1     4.675    2.281    1.446    0.929 
 124      2600  5.00  9.0  3.1     5.247    2.564    1.626    1.044 
 124      2600  5.00 10.0  3.1     5.817    2.846    1.806    1.160 
 125      2600  5.50  1.0  3.1     0.594    0.287    0.182    0.116 
 125      2600  5.50  2.0  3.1     1.185    0.574    0.363    0.233 
 125      2600  5.50  3.0  3.1     1.773    0.860    0.545    0.349 
 125      2600  5.50  4.0  3.1     2.358    1.145    0.726    0.465 
 125      2600  5.50  5.0  3.1     2.940    1.430    0.907    0.581 
 125      2600  5.50  6.0  3.1     3.519    1.714    1.087    0.697 
 125      2600  5.50  7.0  3.1     4.096    1.998    1.268    0.813 
 125      2600  5.50  8.0  3.1     4.670    2.281    1.449    0.929 
 125      2600  5.50  9.0  3.1     5.242    2.564    1.629    1.045 
 125      2600  5.50 10.0  3.1     5.811    2.846    1.809    1.160 
 126      2600  6.00  1.0  3.1     0.592    0.287    0.182    0.117 
 126      2600  6.00  2.0  3.1     1.181    0.573    0.364    0.233 
 126      2600  6.00  3.0  3.1     1.767    0.859    0.545    0.350 
 126      2600  6.00  4.0  3.1     2.350    1.144    0.727    0.466 
 126      2600  6.00  5.0  3.1     2.931    1.429    0.908    0.582 
 126      2600  6.00  6.0  3.1     3.509    1.713    1.089    0.699 
 126      2600  6.00  7.0  3.1     4.084    1.996    1.270    0.815 
 126      2600  6.00  8.0  3.1     4.657    2.279    1.450    0.931 
 126      2600  6.00  9.0  3.1     5.227    2.562    1.631    1.047 
 126      2600  6.00 10.0  3.1     5.795    2.843    1.811    1.163 
 127      2700  3.50  1.0  3.1     0.599    0.286    0.181    0.117 
 127      2700  3.50  2.0  3.1     1.194    0.573    0.362    0.233 
 127      2700  3.50  3.0  3.1     1.787    0.858    0.543    0.350 
 127      2700  3.50  4.0  3.1     2.376    1.143    0.723    0.466 
 127      2700  3.50  5.0  3.1     2.962    1.428    0.904    0.582 
 127      2700  3.50  6.0  3.1     3.545    1.712    1.084    0.698 
 127      2700  3.50  7.0  3.1     4.126    1.996    1.264    0.815 
 127      2700  3.50  8.0  3.1     4.703    2.279    1.444    0.931 
 127      2700  3.50  9.0  3.1     5.278    2.561    1.624    1.047 
 127      2700  3.50 10.0  3.1     5.850    2.844    1.803    1.163 
 128      2700  4.00  1.0  3.1     0.599    0.287    0.181    0.116 
 128      2700  4.00  2.0  3.1     1.194    0.574    0.362    0.233 
 128      2700  4.00  3.0  3.1     1.787    0.859    0.543    0.349 
 128      2700  4.00  4.0  3.1     2.377    1.145    0.724    0.466 
 128      2700  4.00  5.0  3.1     2.963    1.429    0.904    0.582 
 128      2700  4.00  6.0  3.1     3.547    1.713    1.085    0.698 
 128      2700  4.00  7.0  3.1     4.127    1.997    1.265    0.814 
 128      2700  4.00  8.0  3.1     4.705    2.280    1.445    0.930 
 128      2700  4.00  9.0  3.1     5.280    2.563    1.625    1.046 
 128      2700  4.00 10.0  3.1     5.853    2.845    1.804    1.162 
 129      2700  4.50  1.0  3.1     0.598    0.286    0.181    0.116 
 129      2700  4.50  2.0  3.1     1.193    0.573    0.362    0.233 
 129      2700  4.50  3.0  3.1     1.785    0.859    0.543    0.349 
 129      2700  4.50  4.0  3.1     2.373    1.144    0.724    0.465 
 129      2700  4.50  5.0  3.1     2.959    1.429    0.904    0.581 
 129      2700  4.50  6.0  3.1     3.542    1.713    1.085    0.697 
 129      2700  4.50  7.0  3.1     4.122    1.997    1.265    0.813 
 129      2700  4.50  8.0  3.1     4.699    2.280    1.445    0.929 
 129      2700  4.50  9.0  3.1     5.273    2.563    1.625    1.045 
