# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        I        J        H       Ks
 113     2400  5.50   -0.475    2.120    2.753    3.007
 114     2400  6.00   -0.511    2.079    2.764    2.936
 115     2500  3.50   -0.386    2.104    2.592    2.956
 116     2500  4.00   -0.349    2.100    2.610    2.965
 117     2500  4.50   -0.341    2.114    2.637    2.965
 118     2500  5.00   -0.298    2.118    2.675    2.975
 119     2500  5.50   -0.281    2.107    2.712    2.965
 120     2500  6.00   -0.296    2.086    2.740    2.915
 121     2600  3.50   -0.217    2.066    2.549    2.898
 122     2600  4.00   -0.174    2.061    2.566    2.908
 123     2600  4.50   -0.166    2.080    2.595    2.911
 124     2600  5.00   -0.124    2.089    2.634    2.923
 125     2600  5.50   -0.101    2.088    2.674    2.923
 126     2600  6.00   -0.116    2.068    2.703    2.889
 127     2700  3.50   -0.090    2.025    2.507    2.840
 128     2700  4.00   -0.032    2.021    2.525    2.853
 129     2700  4.50   -0.014    2.043    2.556    2.859
 130     2700  5.00    0.023    2.051    2.590    2.872
 131     2700  5.50    0.049    2.055    2.631    2.879
 132     2700  6.00    0.047    2.046    2.665    2.860
 133     2800  5.00    0.376    1.977    2.546    2.685
 134     2800  5.50    0.421    2.001    2.509    2.562
 135     2900  5.00    0.421    1.930    2.520    2.685
 136     2900  5.50    0.459    1.953    2.497    2.588
 137     3000  5.00    0.455    1.883    2.487    2.671
 138     3000  5.50    0.491    1.906    2.478    2.600
 139     3100  5.00    0.487    1.841    2.453    2.651
 140     3100  5.50    0.516    1.861    2.450    2.600
 141     3200  5.00    0.512    1.801    2.416    2.621
 142     3200  5.50    0.539    1.819    2.420    2.588
 143     3300  5.00    0.537    1.766    2.380    2.588
 144     3300  5.50    0.559    1.781    2.387    2.567
 145     3400  5.00    0.560    1.735    2.343    2.554
 146     3400  5.50    0.578    1.746    2.351    2.539
 147     3500  5.00    0.583    1.705    2.307    2.519
 148     3500  5.50    0.596    1.713    2.315    2.507
 149     3600  5.00    0.600    1.675    2.271    2.482
 150     3600  5.50    0.614    1.683    2.278    2.472
 151     3700  5.00    0.615    1.645    2.237    2.446
 152     3700  5.50    0.626    1.651    2.238    2.434
 153     3800  5.00    0.625    1.614    2.203    2.409
 154     3800  5.50    0.638    1.620    2.199    2.394
 155     3500  0.00    0.297    1.662    2.701    2.881
 156     3500  0.50    0.334    1.670    2.689    2.844
 157     3500  1.00    0.378    1.685    2.668    2.798
 158     3500  1.50    0.427    1.705    2.636    2.742
 159     3500  2.00    0.479    1.725    2.594    2.679
 160     3500  2.50    0.533    1.742    2.539    2.614
 161     3500  3.00    0.589    1.747    2.454    2.550
 162     3500  3.50    0.626    1.747    2.355    2.496
 163     3500  4.00    0.641    1.745    2.309    2.469
 164     3500  4.50    0.647    1.746    2.294    2.457
 165     3500  5.00    0.649    1.750    2.301    2.458
 166     3750  0.00    0.413    1.620    2.571    2.730
 167     3750  0.50    0.414    1.607    2.571    2.720
 168     3750  1.00    0.423    1.602    2.567    2.706
 169     3750  1.50    0.443    1.607    2.555    2.682
 170     3750  2.00    0.471    1.618    2.536    2.647
 171     3750  2.50    0.506    1.633    2.507    2.603
 172     3750  3.00    0.549    1.646    2.462    2.552
 173     3750  3.50    0.598    1.652    2.386    2.495
 174     3750  4.00    0.634    1.656    2.302    2.444
 175     3750  4.50    0.653    1.660    2.258    2.416
 176     3750  5.00    0.664    1.664    2.243    2.401
 177     4000  0.00    0.535    1.596    2.423    2.548
 178     4000  0.50    0.523    1.575    2.424    2.544
 179     4000  1.00    0.514    1.561    2.424    2.541
 180     4000  1.50    0.509    1.552    2.422    2.537
 181     4000  2.00    0.510    1.548    2.418    2.530
 182     4000  2.50    0.517    1.549    2.409    2.519
 183     4000  3.00    0.537    1.557    2.391    2.497
 184     4000  3.50    0.572    1.568    2.355    2.458
 185     4000  4.00    0.615    1.574    2.292    2.409
 186     4000  4.50    0.651    1.580    2.221    2.360
 187     4000  5.00    0.673    1.586    2.177    2.331
 188     4250  0.00    0.626    1.556    2.271    2.371
 189     4250  0.50    0.609    1.535    2.270    2.367
 190     4250  1.00    0.595    1.519    2.269    2.364
 191     4250  1.50    0.584    1.507    2.268    2.361
 192     4250  2.00    0.578    1.499    2.266    2.359
 193     4250  2.50    0.575    1.495    2.263    2.357
 194     4250  3.00    0.576    1.493    2.257    2.353
 195     4250  3.50    0.582    1.495    2.248    2.347
 196     4250  4.00    0.603    1.501    2.224    2.327
 197     4250  4.50    0.637    1.506    2.178    2.291
 198     4250  5.00    0.669    1.511    2.123    2.252
 199     4500  0.00    0.688    1.502    2.119    2.199
 200     4500  0.50    0.668    1.481    2.117    2.196
 201     4500  1.00    0.651    1.465    2.115    2.193
 202     4500  1.50    0.639    1.454    2.113    2.191
 203     4500  2.00    0.630    1.445    2.111    2.189
 204     4500  2.50    0.624    1.439    2.109    2.187
 205     4500  3.00    0.622    1.437    2.105    2.185
 206     4500  3.50    0.624    1.436    2.100    2.183
 207     4500  4.00    0.629    1.438    2.092    2.179
 208     4500  4.50    0.643    1.441    2.077    2.168
 209     4500  5.00    0.669    1.446    2.046    2.145
 210     4750  0.00    0.718    1.433    1.965    2.033
 211     4750  0.50    0.698    1.415    1.966    2.032
 212     4750  1.00    0.682    1.400    1.965    2.030
 213     4750  1.50    0.668    1.389    1.963    2.027
 214     4750  2.00    0.658    1.380    1.961    2.025
 215     4750  2.50    0.652    1.374    1.959    2.024
 216     4750  3.00    0.648    1.371    1.956    2.023
 217     4750  3.50    0.648    1.369    1.952    2.021
 218     4750  4.00    0.651    1.370    1.947    2.019
 219     4750  4.50    0.657    1.372    1.940    2.017
 220     4750  5.00    0.669    1.376    1.931    2.011
 221     5000  0.00    0.719    1.351    1.810    1.870
 222     5000  0.50    0.702    1.337    1.815    1.872
 223     5000  1.00    0.686    1.324    1.817    1.872
 224     5000  1.50    0.674    1.313    1.816    1.870
 225     5000  2.00    0.664    1.305    1.815    1.869
 226     5000  2.50    0.657    1.299    1.813    1.867
 227     5000  3.00    0.653    1.295    1.811    1.866
 228     5000  3.50    0.652    1.294    1.808    1.865
 229     5000  4.00    0.655    1.294    1.804    1.864
 230     5000  4.50    0.660    1.296    1.799    1.863
 231     5000  5.00    0.669    1.299    1.794    1.861
 232     5250  0.00    0.700    1.260    1.655    1.709
 233     5250  0.50    0.685    1.250    1.665    1.715
 234     5250  1.00    0.672    1.240    1.670    1.718
 235     5250  1.50    0.661    1.231    1.672    1.718
 236     5250  2.00    0.651    1.224    1.672    1.718
 237     5250  2.50    0.644    1.218    1.672    1.717
 238     5250  3.00    0.640    1.214    1.670    1.716
 239     5250  3.50    0.639    1.212    1.669    1.716
 240     5250  4.00    0.642    1.213    1.666    1.715
 241     5250  4.50    0.648    1.215    1.661    1.715
 242     5250  5.00    0.656    1.218    1.657    1.714
 243     5500  0.00    0.668    1.163    1.500    1.549
 244     5500  0.50    0.656    1.158    1.517    1.561
 245     5500  1.00    0.645    1.152    1.525    1.567
 246     5500  1.50    0.635    1.145    1.530    1.570
 247     5500  2.00    0.627    1.138    1.533    1.571
