# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        U        B        V        R        I        J        H        K
  65     1600  4.00  -19.086  -14.036   -9.724   -6.261   -3.772    0.538    2.333    3.546
  66     1600  4.50  -19.175  -14.093   -9.775   -6.322   -3.862    0.403    2.292    3.534
  67     1600  5.00  -19.276  -14.177   -9.852   -6.393   -3.946    0.258    2.238    3.525
  68     1600  5.50  -19.444  -14.266   -9.922   -6.442   -3.997    0.158    2.186    3.516
  69     1600  6.00  -19.585  -14.332   -9.980   -6.480   -4.033    0.079    2.133    3.504
  70     1700  3.50  -17.481  -12.456   -8.506   -5.300   -2.795    1.312    2.579    3.515
  71     1700  4.00  -17.144  -12.072   -8.130   -5.007   -2.565    1.362    2.641    3.543
  72     1700  4.50  -15.931  -11.076   -7.399   -4.452   -2.046    1.732    2.864    3.639
  73     1700  5.00  -17.077  -12.235   -8.269   -5.081   -2.640    1.282    2.689    3.571
  74     1700  5.50  -17.350  -12.632   -8.599   -5.372   -2.967    0.971    2.562    3.532
  75     1700  6.00  -17.526  -12.797   -8.753   -5.542   -3.198    0.710    2.436    3.501
  76     1800  3.50  -15.888  -11.323   -7.784   -4.781   -2.259    1.600    2.624    3.428
  77     1800  4.00  -15.717  -11.107   -7.566   -4.633   -2.157    1.641    2.675    3.437
  78     1800  4.50  -14.792  -10.366   -6.968   -4.190   -1.793    1.829    2.804    3.476
  79     1800  5.00  -14.704  -10.336   -6.951   -4.150   -1.755    1.862    2.873    3.502
  80     1800  5.50  -15.525  -11.046   -7.439   -4.482   -2.094    1.569    2.763    3.453
  81     1800  6.00  -15.630  -11.161   -7.508   -4.513   -2.138    1.506    2.769    3.492
  82     1900  3.50  -13.433   -9.971   -7.013   -4.262   -1.718    1.888    2.688    3.362
  83     1900  4.00  -14.567  -10.283   -7.094   -4.308   -1.783    1.819    2.678    3.344
  84     1900  4.50  -15.605  -10.923   -7.474   -4.561   -2.049    1.623    2.616    3.297
  85     1900  5.00  -14.662  -10.244   -6.953   -4.167   -1.720    1.802    2.752    3.329
  86     1900  5.50  -14.705  -10.477   -7.122   -4.287   -1.883    1.681    2.733    3.291
  87     1900  6.00  -14.657  -10.515   -7.116   -4.290   -1.950    1.573    2.689    3.272
  88     2000  3.50  -11.686   -9.069   -6.597   -4.012   -1.426    2.003    2.684    3.284
  89     2000  4.00  -12.959   -9.328   -6.540   -3.943   -1.391    1.977    2.692    3.275
  90     2000  4.50  -13.759   -9.472   -6.515   -3.889   -1.360    1.972    2.714    3.255
  91     2000  5.00  -14.243   -9.718   -6.647   -3.943   -1.431    1.915    2.726    3.219
  92     2000  5.50  -14.319  -10.137   -6.927   -4.152   -1.702    1.737    2.692    3.171
  93     2000  6.00  -13.858   -9.930   -6.747   -4.043   -1.691    1.686    2.677    3.136
  94     2100  4.00  -11.439   -8.506   -6.076   -3.667   -1.112    2.058    2.681    3.204
  95     2100  5.00  -13.108   -8.773   -6.002   -3.500   -0.981    2.079    2.757    3.178
  96     2100  5.50  -13.873   -9.383   -6.444   -3.768   -1.250    1.908    2.716    3.103
  97     2100  6.00  -13.759   -9.683   -6.647   -3.931   -1.486    1.759    2.658    3.023
  98     2200  3.50   -8.915   -7.345   -5.579   -3.415   -0.890    2.123    2.654    3.143
  99     2200  4.00  -10.005   -7.690   -5.578   -3.373   -0.856    2.110    2.664    3.138
 100     2200  4.50  -11.242   -8.008   -5.630   -3.344   -0.810    2.119    2.691    3.128
 101     2200  5.00  -12.318   -8.239   -5.663   -3.287   -0.763    2.109    2.726    3.115
 102     2200  5.50  -13.104   -8.598   -5.900   -3.380   -0.855    2.040    2.738    3.063
 103     2200  6.00  -13.227   -8.736   -6.015   -3.416   -0.908    1.985    2.727    2.978
 104     2300  3.50   -7.944   -6.653   -5.071   -3.087   -0.654    2.133    2.628    3.082
 105     2300  4.00   -8.895   -6.987   -5.084   -3.058   -0.621    2.122    2.640    3.081
 106     2300  4.50  -10.098   -7.366   -5.193   -3.071   -0.595    2.127    2.663    3.072
 107     2300  5.00  -11.397   -7.702   -5.294   -3.053   -0.567    2.111    2.691    3.059
 108     2300  5.50  -12.347   -7.970   -5.450   -3.077   -0.578    2.089    2.724    3.024
 109     2300  6.00  -12.604   -8.087   -5.533   -3.069   -0.579    2.070    2.747    2.957
 110     2400  3.50   -7.187   -6.065   -4.578   -2.745   -0.433    2.124    2.598    3.025
 111     2400  4.00   -7.975   -6.355   -4.599   -2.729   -0.405    2.114    2.610    3.026
 112     2400  4.50   -9.030   -6.726   -4.726   -2.771   -0.387    2.125    2.634    3.017
 113     2400  5.50  -11.371   -7.361   -4.991   -2.776   -0.334    2.117    2.708    2.988
 114     2400  6.00  -12.075   -7.607   -5.172   -2.818   -0.368    2.083    2.724    2.925
 115     2500  3.50   -6.668   -5.611   -4.142   -2.423   -0.247    2.090    2.558    2.968
 116     2500  4.00   -7.276   -5.823   -4.145   -2.405   -0.213    2.087    2.574    2.973
 117     2500  4.50   -8.174   -6.166   -4.290   -2.476   -0.204    2.103    2.599    2.965
 118     2500  5.00   -9.277   -6.499   -4.401   -2.481   -0.166    2.109    2.635    2.966
 119     2500  5.50  -10.490   -6.843   -4.581   -2.509   -0.154    2.103    2.670    2.950
 120     2500  6.00  -11.349   -7.104   -4.773   -2.548   -0.169    2.088    2.702    2.903
 121     2600  3.50   -6.257   -5.230   -3.763   -2.139   -0.093    2.052    2.518    2.912
 122     2600  4.00   -6.736   -5.380   -3.745   -2.113   -0.054    2.048    2.535    2.919
 123     2600  4.50   -7.483   -5.674   -3.883   -2.191   -0.044    2.069    2.561    2.915
 124     2600  5.00   -8.381   -5.955   -3.968   -2.198   -0.006    2.080    2.598    2.919
 125     2600  5.50   -9.530   -6.299   -4.143   -2.233    0.012    2.082    2.636    2.912
 126     2600  6.00  -10.529   -6.622   -4.372   -2.290   -0.004    2.069    2.667    2.878
 127     2700  3.50   -5.926   -4.917   -3.458   -1.914    0.020    2.012    2.478    2.855
 128     2700  4.00   -6.284   -4.997   -3.396   -1.858    0.075    2.008    2.496    2.866
 129     2700  4.50   -6.891   -5.230   -3.508   -1.928    0.094    2.032    2.525    2.865
 130     2700  5.00   -7.636   -5.470   -3.572   -1.933    0.128    2.041    2.557    2.872
 131     2700  5.50   -8.637   -5.787   -3.724   -1.970    0.151    2.049    2.597    2.873
 132     2700  6.00   -9.673   -6.123   -3.951   -2.028    0.146    2.045    2.632    2.852
 133     2800  5.00   -6.978   -5.016   -3.197   -1.679    0.249    2.005    2.523    2.830
 134     2800  5.50   -7.843   -5.309   -3.332   -1.722    0.265    2.011    2.557    2.831
 135     2900  5.00   -6.438   -4.636   -2.882   -1.465    0.336    1.963    2.483    2.782
 136     2900  5.50   -7.146   -4.871   -2.974   -1.492    0.358    1.971    2.518    2.789
 137     3000  5.00   -5.971   -4.299   -2.603   -1.276    0.406    1.923    2.447    2.735
 138     3000  5.50   -6.551   -4.486   -2.662   -1.290    0.431    1.931    2.479    2.745
 139     3100  5.00   -5.564   -3.997   -2.357   -1.107    0.465    1.888    2.414    2.692
 140     3100  5.50   -6.027   -4.144   -2.386   -1.104    0.489    1.891    2.439    2.701
 141     3200  5.00   -5.209   -3.726   -2.137   -0.955    0.516    1.856    2.388    2.654
 142     3200  5.50   -5.569   -3.837   -2.139   -0.936    0.538    1.854    2.403    2.660
 143     3300  5.00   -4.905   -3.487   -1.944   -0.819    0.560    1.827    2.368    2.622
 144     3300  5.50   -5.179   -3.566   -1.924   -0.786    0.580    1.821    2.371    2.620
 145     3400  5.00   -4.651   -3.277   -1.774   -0.699    0.596    1.799    2.353    2.595
 146     3400  5.50   -4.848   -3.329   -1.738   -0.654    0.615    1.791    2.341    2.584
 147     3500  5.00   -4.402   -3.079   -1.606   -0.575    0.620    1.762    2.327    2.566
 148     3500  5.50   -4.532   -3.107   -1.564   -0.527    0.641    1.756    2.309    2.547
 149     3600  5.00   -4.233   -2.920   -1.473   -0.477    0.645    1.734    2.314    2.541
 150     3600  5.50   -4.305   -2.928   -1.424   -0.425    0.664    1.726    2.283    2.514
 151     3700  5.00   -4.100   -2.782   -1.355   -0.389    0.662    1.704    2.298    2.513
 152     3700  5.50   -4.118   -2.772   -1.301   -0.333    0.683    1.696    2.257    2.480
 153     3800  5.00   -3.992   -2.658   -1.247   -0.307    0.675    1.673    2.284    2.483
 154     3800  5.50   -3.960   -2.633   -1.190   -0.249    0.697    1.666    2.231    2.445
 155     3500  0.00   -6.216   -4.089   -2.357   -1.176    0.265    1.786    2.631    2.864
 156     3500  0.50   -5.909   -4.071   -2.474   -1.274    0.231    1.789    2.658    2.878
 157     3500  1.00   -5.598   -4.034   -2.572   -1.353    0.202    1.796    2.679    2.886
 158     3500  1.50   -5.285   -3.976   -2.647   -1.411    0.178    1.806    2.696    2.889
 159     3500  2.00   -4.971   -3.888   -2.687   -1.441    0.170    1.818    2.708    2.884
 160     3500  2.50   -4.664   -3.767   -2.684   -1.438    0.182    1.834    2.711    2.871
 161     3500  3.00   -4.383   -3.616   -2.627   -1.395    0.224    1.853    2.702    2.843
 162     3500  3.50   -4.137   -3.436   -2.505   -1.303    0.300    1.875    2.672    2.798
 163     3500  4.00   -3.927   -3.242   -2.325   -1.164    0.404    1.896    2.612    2.731
 164     3500  4.50   -3.748   -3.051   -2.105   -0.988    0.522    1.906    2.518    2.647
 165     3500  5.00   -3.649   -2.908   -1.886   -0.806    0.618    1.896    2.418    2.571
 166     3750  0.00   -5.852   -3.275   -1.422   -0.440    0.501    1.710    2.461    2.660
 167     3750  0.50   -5.551   -3.237   -1.469   -0.490    0.493    1.705    2.488    2.677
 168     3750  1.00   -5.261   -3.192   -1.519   -0.542    0.487    1.703    2.509    2.689
 169     3750  1.50   -4.973   -3.135   -1.567   -0.594    0.481    1.704    2.527    2.697
 170     3750  2.00   -4.696   -3.074   -1.614   -0.644    0.475    1.708    2.544    2.702
 171     3750  2.50   -4.430   -3.009   -1.659   -0.690    0.471    1.714    2.557    2.705
 172     3750  3.00   -4.194   -2.952   -1.699   -0.727    0.471    1.725    2.565    2.702
 173     3750  3.50   -3.992   -2.890   -1.719   -0.744    0.482    1.739    2.565    2.691
 174     3750  4.00   -3.824   -2.821   -1.705   -0.729    0.511    1.758    2.544    2.664
 175     3750  4.50   -3.669   -2.732   -1.633   -0.659    0.567    1.772    2.490    2.613
 176     3750  5.00   -3.534   -2.634   -1.519   -0.551    0.635    1.776    2.407    2.545
 177     4000  0.00   -5.350   -2.721   -0.953   -0.098    0.609    1.652    2.304    2.470
 178     4000  0.50   -5.072   -2.684   -0.972   -0.118    0.603    1.643    2.329    2.486
 179     4000  1.00   -4.803   -2.645   -0.994   -0.139    0.599    1.635    2.349    2.498
 180     4000  1.50   -4.538   -2.590   -1.012   -0.160    0.596    1.627    2.365    2.508
 181     4000  2.00   -4.289   -2.534   -1.032   -0.183    0.593    1.622    2.380    2.515
 182     4000  2.50   -4.064   -2.479   -1.054   -0.209    0.591    1.619    2.393    2.521
 183     4000  3.00   -3.872   -2.438   -1.084   -0.240    0.592    1.622    2.404    2.526
 184     4000  3.50   -3.720   -2.408   -1.118   -0.270    0.595    1.629    2.414    2.528
 185     4000  4.00   -3.601   -2.386   -1.147   -0.293    0.605    1.639    2.415    2.525
 186     4000  4.50   -3.499   -2.365   -1.157   -0.294    0.627    1.653    2.396    2.506
 187     4000  5.00   -3.393   -2.331   -1.126   -0.251    0.665    1.658    2.342    2.465
 188     4250  0.00   -4.622   -2.293   -0.657    0.094    0.678    1.596    2.158    2.294
 189     4250  0.50   -4.404   -2.260   -0.670    0.080    0.673    1.588    2.179    2.308
 190     4250  1.00   -4.176   -2.224   -0.684    0.067    0.669    1.579    2.196    2.320
 191     4250  1.50   -3.952   -2.179   -0.695    0.056    0.665    1.570    2.210    2.329
 192     4250  2.00   -3.737   -2.128   -0.705    0.045    0.660    1.561    2.222    2.337
 193     4250  2.50   -3.560   -2.083   -0.716    0.036    0.656    1.552    2.234    2.342
 194     4250  3.00   -3.417   -2.047   -0.732    0.023    0.654    1.547    2.245    2.348
 195     4250  3.50   -3.318   -2.030   -0.754    0.009    0.655    1.547    2.255    2.354
 196     4250  4.00   -3.251   -2.023   -0.779   -0.006    0.658    1.550    2.263    2.358
 197     4250  4.50   -3.204   -2.024   -0.804   -0.019    0.668    1.557    2.264    2.358
 198     4250  5.00   -3.154   -2.027   -0.818   -0.017    0.688    1.565    2.244    2.344
 199     4500  0.00   -3.872   -1.951   -0.454    0.222    0.725    1.531    2.021    2.131
 200     4500  0.50   -3.715   -1.920   -0.461    0.210    0.720    1.525    2.037    2.143
 201     4500  1.00   -3.550   -1.891   -0.471    0.199    0.717    1.519    2.051    2.153
 202     4500  1.50   -3.377   -1.859   -0.482    0.188    0.713    1.512    2.062    2.162
 203     4500  2.00   -3.208   -1.817   -0.489    0.179    0.708    1.504    2.072    2.168
 204     4500  2.50   -3.060   -1.777   -0.498    0.172    0.703    1.495    2.081    2.174
 205     4500  3.00   -2.955   -1.746   -0.509    0.166    0.699    1.488    2.091    2.179
 206     4500  3.50   -2.882   -1.728   -0.525    0.159    0.698    1.483    2.100    2.185
 207     4500  4.00   -2.844   -1.723   -0.544    0.153    0.699    1.483    2.108    2.191
 208     4500  4.50   -2.833   -1.728   -0.565    0.148    0.703    1.485    2.115    2.196
 209     4500  5.00   -2.834   -1.743   -0.587    0.144    0.711    1.489    2.116    2.197
 210     4750  0.00   -3.239   -1.665   -0.307    0.310    0.756    1.459    1.890    1.979
 211     4750  0.50   -3.111   -1.635   -0.311    0.300    0.750    1.454    1.903    1.989
 212     4750  1.00   -2.986   -1.611   -0.318    0.290    0.747    1.450    1.914    1.998
 213     4750  1.50   -2.859   -1.586   -0.326    0.280    0.743    1.445    1.922    2.004
 214     4750  2.00   -2.730   -1.557   -0.333    0.271    0.739    1.439    1.929    2.010
 215     4750  2.50   -2.612   -1.525   -0.339    0.263    0.733    1.432    1.936    2.015
 216     4750  3.00   -2.524   -1.498   -0.346    0.257    0.728    1.425    1.943    2.019
 217     4750  3.50   -2.464   -1.478   -0.357    0.252    0.725    1.419    1.951    2.024
 218     4750  4.00   -2.434   -1.469   -0.371    0.248    0.725    1.417    1.959    2.030
 219     4750  4.50   -2.433   -1.471   -0.389    0.246    0.727    1.417    1.967    2.035
 220     4750  5.00   -2.452   -1.482   -0.408    0.245    0.731    1.419    1.973    2.041
