# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          U        B        V        R        I        J        H        K
   0       500  3.50  1.0  3.1     0.000    1.019    0.777    0.529    0.503    0.253    0.167    0.108 
   0       500  3.50  2.0  3.1     0.000    2.037    1.553    1.057    1.005    0.505    0.334    0.217 
   0       500  3.50  3.0  3.1     0.000    3.055    2.328    1.584    1.506    0.758    0.501    0.325 
   0       500  3.50  4.0  3.1     0.000    4.073    3.104    2.110    2.006    1.010    0.668    0.434 
   0       500  3.50  5.0  3.1     0.000    5.090    3.879    2.635    2.507    1.262    0.834    0.542 
   0       500  3.50  6.0  3.1     0.000    6.107    4.653    3.158    3.007    1.513    1.001    0.650 
   0       500  3.50  7.0  3.1     0.000    7.123    5.428    3.680    3.506    1.765    1.167    0.758 
   0       500  3.50  8.0  3.1     0.000    8.140    6.202    4.202    4.005    2.016    1.334    0.866 
   0       500  3.50  9.0  3.1     0.000    9.155    6.975    4.722    4.503    2.267    1.500    0.974 
   0       500  3.50 10.0  3.1     0.000   10.171    7.749    5.242    5.001    2.518    1.667    1.082 
   1       500  4.00  1.0  3.1     0.000    1.021    0.777    0.530    0.503    0.253    0.168    0.109 
   1       500  4.00  2.0  3.1     0.000    2.041    1.554    1.059    1.005    0.506    0.335    0.218 
   1       500  4.00  3.0  3.1     0.000    3.061    2.330    1.587    1.507    0.758    0.502    0.327 
   1       500  4.00  4.0  3.1     0.000    4.080    3.106    2.114    2.008    1.011    0.669    0.436 
   1       500  4.00  5.0  3.1     0.000    5.100    3.882    2.639    2.509    1.263    0.836    0.545 
   1       500  4.00  6.0  3.1     0.000    6.118    4.657    3.164    3.009    1.515    1.002    0.654 
   1       500  4.00  7.0  3.1     0.000    7.137    5.432    3.687    3.509    1.767    1.169    0.763 
   1       500  4.00  8.0  3.1     0.000    8.155    6.207    4.209    4.008    2.018    1.336    0.872 
   1       500  4.00  9.0  3.1     0.000    9.172    6.981    4.730    4.507    2.269    1.502    0.981 
   1       500  4.00 10.0  3.1     0.000   10.189    7.755    5.250    5.005    2.521    1.669    1.089 
   2       500  4.50  1.0  3.1     0.000    1.021    0.776    0.530    0.503    0.253    0.168    0.111 
   2       500  4.50  2.0  3.1     0.000    2.041    1.552    1.059    1.005    0.505    0.335    0.221 
   2       500  4.50  3.0  3.1     0.000    3.061    2.327    1.586    1.506    0.758    0.503    0.332 
   2       500  4.50  4.0  3.1     0.000    4.081    3.102    2.112    2.007    1.011    0.670    0.442 
   2       500  4.50  5.0  3.1     0.000    5.100    3.877    2.638    2.508    1.263    0.837    0.552 
   2       500  4.50  6.0  3.1     0.000    6.119    4.652    3.162    3.008    1.515    1.004    0.662 
   2       500  4.50  7.0  3.1     0.000    7.137    5.426    3.684    3.507    1.766    1.171    0.773 
   2       500  4.50  8.0  3.1     0.000    8.155    6.200    4.206    4.007    2.018    1.338    0.883 
   2       500  4.50  9.0  3.1     0.000    9.173    6.973    4.727    4.505    2.269    1.505    0.993 
   2       500  4.50 10.0  3.1     0.000   10.190    7.746    5.247    5.003    2.521    1.672    1.102 
   3       500  5.00  1.0  3.1     0.000    1.024    0.777    0.532    0.504    0.254    0.168    0.112 
   3       500  5.00  2.0  3.1     0.000    2.047    1.553    1.063    1.006    0.508    0.337    0.224 
   3       500  5.00  3.0  3.1     0.000    3.069    2.330    1.592    1.509    0.761    0.505    0.336 
   3       500  5.00  4.0  3.1     0.000    4.091    3.105    2.120    2.010    1.015    0.673    0.448 
   3       500  5.00  5.0  3.1     0.000    5.113    3.881    2.647    2.511    1.268    0.841    0.560 
   3       500  5.00  6.0  3.1     0.000    6.133    4.656    3.172    3.012    1.521    1.009    0.672 
   3       500  5.00  7.0  3.1     0.000    7.154    5.431    3.697    3.512    1.774    1.176    0.783 
   3       500  5.00  8.0  3.1     0.000    8.174    6.205    4.220    4.012    2.026    1.344    0.895 
   3       500  5.00  9.0  3.1     0.000    9.193    6.979    4.742    4.511    2.278    1.511    1.006 
   3       500  5.00 10.0  3.1     0.000   10.212    7.753    5.263    5.010    2.530    1.679    1.118 
   4       500  5.50  1.0  3.1     0.000    1.026    0.779    0.535    0.505    0.255    0.169    0.114 
   4       500  5.50  2.0  3.1     0.000    2.051    1.557    1.069    1.009    0.511    0.338    0.227 
   4       500  5.50  3.0  3.1     0.000    3.075    2.334    1.600    1.512    0.765    0.507    0.341 
   4       500  5.50  4.0  3.1     0.000    4.098    3.111    2.131    2.015    1.020    0.676    0.454 
   4       500  5.50  5.0  3.1     0.000    5.121    3.888    2.660    2.517    1.275    0.845    0.567 
   4       500  5.50  6.0  3.1     0.000    6.144    4.664    3.188    3.019    1.529    1.013    0.681 
   4       500  5.50  7.0  3.1     0.000    7.165    5.440    3.714    3.520    1.783    1.182    0.794 
   4       500  5.50  8.0  3.1     0.000    8.187    6.215    4.240    4.021    2.036    1.350    0.907 
   4       500  5.50  9.0  3.1     0.000    9.207    6.991    4.764    4.521    2.290    1.518    1.020 
   4       500  5.50 10.0  3.1     0.000   10.228    7.765    5.287    5.021    2.543    1.687    1.133 
   5       500  6.00  1.0  3.1     0.000    1.027    0.780    0.539    0.506    0.257    0.170    0.115 
   5       500  6.00  2.0  3.1     0.000    2.053    1.560    1.075    1.011    0.513    0.339    0.230 
   5       500  6.00  3.0  3.1     0.000    3.079    2.339    1.610    1.516    0.769    0.509    0.344 
   5       500  6.00  4.0  3.1     0.000    4.104    3.117    2.143    2.020    1.025    0.678    0.458 
   5       500  6.00  5.0  3.1     0.000    5.129    3.895    2.675    2.523    1.280    0.847    0.573 
   5       500  6.00  6.0  3.1     0.000    6.152    4.673    3.206    3.026    1.536    1.016    0.687 
   5       500  6.00  7.0  3.1     0.000    7.176    5.450    3.735    3.528    1.791    1.185    0.801 
   5       500  6.00  8.0  3.1     0.000    8.198    6.227    4.263    4.030    2.045    1.354    0.916 
   5       500  6.00  9.0  3.1     0.000    9.220    7.003    4.789    4.531    2.300    1.522    1.030 
   5       500  6.00 10.0  3.1     0.000   10.242    7.779    5.315    5.032    2.554    1.691    1.144 
   6       600  3.50  1.0  3.1     0.000    1.032    0.786    0.544    0.509    0.257    0.169    0.109 
   6       600  3.50  2.0  3.1     0.000    2.063    1.572    1.087    1.017    0.514    0.339    0.219 
   6       600  3.50  3.0  3.1     0.000    3.094    2.356    1.628    1.525    0.771    0.507    0.328 
   6       600  3.50  4.0  3.1     0.000    4.123    3.140    2.167    2.031    1.027    0.676    0.437 
   6       600  3.50  5.0  3.1     0.000    5.152    3.924    2.705    2.537    1.284    0.845    0.546 
   6       600  3.50  6.0  3.1     0.000    6.179    4.707    3.240    3.043    1.540    1.014    0.656 
   6       600  3.50  7.0  3.1     0.000    7.206    5.489    3.775    3.547    1.795    1.182    0.765 
   6       600  3.50  8.0  3.1     0.000    8.233    6.270    4.308    4.051    2.051    1.350    0.874 
   6       600  3.50  9.0  3.1     0.000    9.259    7.051    4.839    4.555    2.306    1.519    0.983 
   6       600  3.50 10.0  3.1     0.000   10.284    7.832    5.369    5.058    2.561    1.687    1.092 
   7       600  4.00  1.0  3.1     0.000    1.032    0.787    0.546    0.510    0.258    0.169    0.110 
   7       600  4.00  2.0  3.1     0.000    2.064    1.573    1.089    1.018    0.515    0.339    0.220 
   7       600  4.00  3.0  3.1     0.000    3.095    2.358    1.631    1.526    0.772    0.508    0.330 
   7       600  4.00  4.0  3.1     0.000    4.125    3.143    2.171    2.033    1.029    0.677    0.440 
   7       600  4.00  5.0  3.1     0.000    5.154    3.927    2.709    2.539    1.285    0.846    0.549 
   7       600  4.00  6.0  3.1     0.000    6.182    4.710    3.246    3.045    1.542    1.014    0.659 
   7       600  4.00  7.0  3.1     0.000    7.210    5.493    3.781    3.550    1.798    1.183    0.769 
   7       600  4.00  8.0  3.1     0.000    8.237    6.275    4.314    4.054    2.053    1.351    0.878 
   7       600  4.00  9.0  3.1     0.000    9.263    7.056    4.846    4.558    2.309    1.520    0.988 
   7       600  4.00 10.0  3.1     0.000   10.288    7.837    5.377    5.061    2.564    1.688    1.097 
   8       600  4.50  1.0  3.1     0.000    1.030    0.783    0.542    0.507    0.256    0.169    0.111 
   8       600  4.50  2.0  3.1     0.000    2.059    1.566    1.083    1.014    0.513    0.338    0.222 
   8       600  4.50  3.0  3.1     0.000    3.088    2.349    1.622    1.521    0.769    0.508    0.333 
   8       600  4.50  4.0  3.1     0.000    4.115    3.130    2.159    2.027    1.025    0.677    0.444 
   8       600  4.50  5.0  3.1     0.000    5.142    3.911    2.694    2.532    1.281    0.845    0.554 
   8       600  4.50  6.0  3.1     0.000    6.169    4.692    3.228    3.036    1.536    1.014    0.665 
   8       600  4.50  7.0  3.1     0.000    7.194    5.472    3.761    3.540    1.791    1.183    0.776 
   8       600  4.50  8.0  3.1     0.000    8.219    6.251    4.292    4.043    2.046    1.352    0.886 
   8       600  4.50  9.0  3.1     0.000    9.244    7.030    4.821    4.546    2.301    1.520    0.997 
   8       600  4.50 10.0  3.1     0.000   10.267    7.809    5.350    5.048    2.555    1.688    1.107 
   9       600  5.00  1.0  3.1     0.000    1.031    0.784    0.544    0.508    0.258    0.170    0.113 
   9       600  5.00  2.0  3.1     0.000    2.061    1.568    1.087    1.016    0.515    0.340    0.225 
   9       600  5.00  3.0  3.1     0.000    3.091    2.351    1.627    1.523    0.772    0.510    0.338 
   9       600  5.00  4.0  3.1     0.000    4.119    3.134    2.166    2.029    1.028    0.680    0.450 
   9       600  5.00  5.0  3.1     0.000    5.147    3.915    2.703    2.535    1.285    0.850    0.562 
   9       600  5.00  6.0  3.1     0.000    6.174    4.696    3.238    3.040    1.541    1.019    0.674 
   9       600  5.00  7.0  3.1     0.000    7.200    5.477    3.772    3.544    1.797    1.188    0.786 
   9       600  5.00  8.0  3.1     0.000    8.226    6.257    4.305    4.048    2.053    1.358    0.898 
   9       600  5.00  9.0  3.1     0.000    9.251    7.036    4.836    4.551    2.308    1.527    1.010 
   9       600  5.00 10.0  3.1     0.000   10.275    7.815    5.365    5.054    2.563    1.696    1.121 
  10       600  5.50  1.0  3.1     0.000    1.032    0.786    0.548    0.510    0.258    0.171    0.114 
  10       600  5.50  2.0  3.1     0.000    2.063    1.571    1.093    1.019    0.516    0.341    0.228 
  10       600  5.50  3.0  3.1     0.000    3.094    2.355    1.636    1.527    0.774    0.512    0.342 
  10       600  5.50  4.0  3.1     0.000    4.123    3.139    2.177    2.034    1.032    0.683    0.455 
  10       600  5.50  5.0  3.1     0.000    5.152    3.922    2.716    2.541    1.290    0.853    0.569 
  10       600  5.50  6.0  3.1     0.000    6.180    4.704    3.254    3.047    1.547    1.024    0.682 
  10       600  5.50  7.0  3.1     0.000    7.208    5.486    3.790    3.552    1.804    1.194    0.796 
  10       600  5.50  8.0  3.1     0.000    8.234    6.267    4.324    4.057    2.061    1.364    0.909 
  10       600  5.50  9.0  3.1     0.000    9.260    7.047    4.857    4.561    2.317    1.534    1.022 
  10       600  5.50 10.0  3.1     0.000   10.285    7.827    5.389    5.064    2.574    1.704    1.135 
  11       600  6.00  1.0  3.1     1.406    1.034    0.788    0.551    0.511    0.260    0.172    0.115 
  11       600  6.00  2.0  3.1     2.812    2.067    1.576    1.099    1.021    0.519    0.343    0.229 
  11       600  6.00  3.0  3.1     4.217    3.099    2.362    1.646    1.531    0.779    0.514    0.344 
  11       600  6.00  4.0  3.1     5.623    4.130    3.148    2.190    2.039    1.037    0.686    0.459 
  11       600  6.00  5.0  3.1     7.029    5.160    3.933    2.732    2.547    1.296    0.857    0.573 
  11       600  6.00  6.0  3.1     8.434    6.190    4.717    3.273    3.054    1.554    1.027    0.688 
  11       600  6.00  7.0  3.1     9.840    7.219    5.500    3.811    3.561    1.812    1.198    0.802 
  11       600  6.00  8.0  3.1    11.245    8.247    6.283    4.348    4.067    2.070    1.369    0.917 
  11       600  6.00  9.0  3.1    12.651    9.274    7.065    4.883    4.572    2.328    1.539    1.031 
  11       600  6.00 10.0  3.1    14.056   10.300    7.847    5.417    5.076    2.585    1.709    1.145 
  12       700  3.50  1.0  3.1     1.426    1.041    0.799    0.561    0.515    0.261    0.171    0.110 
  12       700  3.50  2.0  3.1     2.852    2.082    1.597    1.119    1.030    0.522    0.342    0.220 
  12       700  3.50  3.0  3.1     4.277    3.121    2.394    1.675    1.544    0.782    0.513    0.331 
  12       700  3.50  4.0  3.1     5.701    4.160    3.189    2.228    2.056    1.043    0.684    0.441 
  12       700  3.50  5.0  3.1     7.126    5.197    3.983    2.779    2.568    1.303    0.854    0.551 
  12       700  3.50  6.0  3.1     8.550    6.233    4.776    3.328    3.079    1.562    1.025    0.661 
  12       700  3.50  7.0  3.1     9.973    7.268    5.568    3.875    3.589    1.822    1.195    0.771 
  12       700  3.50  8.0  3.1    11.396    8.302    6.359    4.420    4.098    2.081    1.365    0.881 
  12       700  3.50  9.0  3.1    12.819    9.335    7.149    4.962    4.606    2.340    1.535    0.990 
  12       700  3.50 10.0  3.1    14.241   10.367    7.938    5.503    5.114    2.598    1.705    1.100 
  13       700  4.00  1.0  3.1     1.426    1.043    0.800    0.562    0.516    0.262    0.171    0.111 
  13       700  4.00  2.0  3.1     2.852    2.084    1.599    1.121    1.031    0.523    0.343    0.221 
  13       700  4.00  3.0  3.1     4.277    3.124    2.396    1.678    1.545    0.784    0.514    0.332 
  13       700  4.00  4.0  3.1     5.702    4.163    3.192    2.232    2.058    1.044    0.684    0.442 
  13       700  4.00  5.0  3.1     7.127    5.200    3.987    2.784    2.570    1.304    0.855    0.553 
  13       700  4.00  6.0  3.1     8.551    6.237    4.781    3.334    3.081    1.564    1.026    0.663 
  13       700  4.00  7.0  3.1     9.974    7.273    5.574    3.881    3.592    1.824    1.196    0.773 
  13       700  4.00  8.0  3.1    11.397    8.307    6.366    4.427    4.101    2.083    1.367    0.883 
  13       700  4.00  9.0  3.1    12.820    9.341    7.156    4.970    4.610    2.342    1.537    0.994 
  13       700  4.00 10.0  3.1    14.243   10.373    7.946    5.512    5.118    2.601    1.707    1.104 
  14       700  4.50  1.0  3.1     1.426    1.040    0.796    0.559    0.514    0.261    0.171    0.112 
  14       700  4.50  2.0  3.1     2.851    2.078    1.591    1.115    1.028    0.521    0.342    0.223 
  14       700  4.50  3.0  3.1     4.275    3.116    2.385    1.669    1.540    0.781    0.513    0.334 
  14       700  4.50  4.0  3.1     5.699    4.153    3.178    2.220    2.052    1.041    0.684    0.446 
  14       700  4.50  5.0  3.1     7.123    5.188    3.969    2.769    2.563    1.300    0.855    0.557 
  14       700  4.50  6.0  3.1     8.546    6.223    4.760    3.316    3.073    1.559    1.026    0.668 
  14       700  4.50  7.0  3.1     9.969    7.256    5.550    3.861    3.582    1.818    1.196    0.779 
  14       700  4.50  8.0  3.1    11.392    8.289    6.339    4.404    4.090    2.077    1.367    0.890 
  14       700  4.50  9.0  3.1    12.814    9.320    7.126    4.945    4.598    2.335    1.537    1.001 
  14       700  4.50 10.0  3.1    14.236   10.351    7.913    5.484    5.105    2.593    1.707    1.112 
  15       700  5.00  1.0  3.1     1.426    1.040    0.797    0.559    0.515    0.261    0.172    0.113 
  15       700  5.00  2.0  3.1     2.852    2.079    1.592    1.116    1.029    0.522    0.343    0.225 
  15       700  5.00  3.0  3.1     4.277    3.117    2.386    1.671    1.542    0.782    0.515    0.338 
  15       700  5.00  4.0  3.1     5.702    4.154    3.179    2.223    2.054    1.043    0.687    0.450 
  15       700  5.00  5.0  3.1     7.127    5.190    3.971    2.773    2.565    1.302    0.858    0.563 
  15       700  5.00  6.0  3.1     8.551    6.225    4.762    3.320    3.075    1.562    1.029    0.675 
  15       700  5.00  7.0  3.1     9.974    7.259    5.552    3.866    3.584    1.821    1.201    0.787 
  15       700  5.00  8.0  3.1    11.397    8.292    6.341    4.409    4.093    2.080    1.372    0.899 
  15       700  5.00  9.0  3.1    12.820    9.324    7.130    4.951    4.601    2.339    1.542    1.011 
  15       700  5.00 10.0  3.1    14.242   10.355    7.917    5.491    5.108    2.598    1.713    1.123 
  16       700  5.50  1.0  3.1     1.428    1.041    0.798    0.562    0.516    0.262    0.173    0.113 
  16       700  5.50  2.0  3.1     2.855    2.081    1.595    1.121    1.031    0.524    0.346    0.227 
  16       700  5.50  3.0  3.1     4.281    3.120    2.390    1.678    1.545    0.786    0.518    0.341 
  16       700  5.50  4.0  3.1     5.707    4.158    3.185    2.232    2.057    1.047    0.691    0.454 
  16       700  5.50  5.0  3.1     7.133    5.195    3.978    2.784    2.569    1.308    0.863    0.567 
  16       700  5.50  6.0  3.1     8.558    6.231    4.770    3.334    3.080    1.569    1.035    0.681 
  16       700  5.50  7.0  3.1     9.983    7.265    5.561    3.881    3.590    1.829    1.207    0.794 
  16       700  5.50  8.0  3.1    11.407    8.299    6.351    4.426    4.100    2.090    1.379    0.907 
  16       700  5.50  9.0  3.1    12.831    9.332    7.140    4.970    4.608    2.349    1.551    1.021 
  16       700  5.50 10.0  3.1    14.254   10.364    7.928    5.511    5.116    2.609    1.723    1.134 
  17       700  6.00  1.0  3.1     1.429    1.043    0.801    0.566    0.517    0.264    0.174    0.115 
  17       700  6.00  2.0  3.1     2.857    2.085    1.601    1.129    1.034    0.527    0.347    0.229 
  17       700  6.00  3.0  3.1     4.285    3.126    2.399    1.690    1.549    0.790    0.520    0.344 
  17       700  6.00  4.0  3.1     5.713    4.166    3.195    2.247    2.063    1.052    0.693    0.458 
  17       700  6.00  5.0  3.1     7.140    5.204    3.991    2.802    2.576    1.314    0.866    0.572 
  17       700  6.00  6.0  3.1     8.566    6.242    4.785    3.355    3.089    1.576    1.039    0.687 
  17       700  6.00  7.0  3.1     9.992    7.278    5.578    3.905    3.600    1.838    1.212    0.801 
  17       700  6.00  8.0  3.1    11.417    8.313    6.370    4.453    4.111    2.099    1.384    0.915 
  17       700  6.00  9.0  3.1    12.842    9.347    7.161    5.000    4.620    2.360    1.556    1.029 
  17       700  6.00 10.0  3.1    14.267   10.381    7.951    5.544    5.129    2.621    1.729    1.143 
  18       800  3.50  1.0  3.1     1.432    1.053    0.815    0.579    0.523    0.265    0.173    0.111 
  18       800  3.50  2.0  3.1     2.864    2.105    1.629    1.155    1.045    0.530    0.346    0.223 
  18       800  3.50  3.0  3.1     4.294    3.155    2.440    1.728    1.566    0.795    0.519    0.334 
  18       800  3.50  4.0  3.1     5.725    4.204    3.250    2.297    2.085    1.059    0.692    0.445 
  18       800  3.50  5.0  3.1     7.155    5.251    4.057    2.863    2.603    1.323    0.865    0.556 
  18       800  3.50  6.0  3.1     8.584    6.296    4.864    3.427    3.120    1.586    1.037    0.666 
  18       800  3.50  7.0  3.1    10.013    7.340    5.668    3.988    3.636    1.850    1.210    0.777 
  18       800  3.50  8.0  3.1    11.441    8.383    6.471    4.546    4.150    2.112    1.382    0.888 
  18       800  3.50  9.0  3.1    12.868    9.424    7.273    5.101    4.664    2.375    1.554    0.998 
  18       800  3.50 10.0  3.1    14.296   10.465    8.073    5.654    5.177    2.637    1.726    1.109 
  19       800  4.00  1.0  3.1     1.432    1.053    0.816    0.579    0.523    0.265    0.174    0.112 
  19       800  4.00  2.0  3.1     2.863    2.105    1.629    1.154    1.045    0.530    0.347    0.223 
  19       800  4.00  3.0  3.1     4.294    3.155    2.440    1.726    1.565    0.795    0.520    0.334 
  19       800  4.00  4.0  3.1     5.724    4.204    3.249    2.295    2.084    1.059    0.693    0.445 
  19       800  4.00  5.0  3.1     7.154    5.251    4.057    2.861    2.602    1.323    0.865    0.556 
  19       800  4.00  6.0  3.1     8.583    6.296    4.863    3.424    3.119    1.586    1.038    0.667 
  19       800  4.00  7.0  3.1    10.011    7.340    5.668    3.985    3.634    1.849    1.210    0.778 
  19       800  4.00  8.0  3.1    11.440    8.383    6.471    4.542    4.149    2.112    1.383    0.889 
  19       800  4.00  9.0  3.1    12.867    9.424    7.272    5.098    4.663    2.374    1.555    1.000 
  19       800  4.00 10.0  3.1    14.294   10.464    8.072    5.651    5.175    2.637    1.727    1.111 
  20       800  4.50  1.0  3.1     1.431    1.050    0.811    0.575    0.522    0.265    0.173    0.112 
  20       800  4.50  2.0  3.1     2.862    2.099    1.620    1.147    1.042    0.529    0.347    0.224 
  20       800  4.50  3.0  3.1     4.292    3.147    2.428    1.716    1.561    0.793    0.520    0.335 
  20       800  4.50  4.0  3.1     5.721    4.193    3.233    2.282    2.079    1.057    0.693    0.447 
  20       800  4.50  5.0  3.1     7.150    5.237    4.038    2.845    2.595    1.320    0.865    0.558 
  20       800  4.50  6.0  3.1     8.579    6.281    4.840    3.405    3.111    1.583    1.038    0.670 
  20       800  4.50  7.0  3.1    10.007    7.322    5.641    3.963    3.625    1.846    1.210    0.781 
  20       800  4.50  8.0  3.1    11.434    8.363    6.441    4.518    4.139    2.108    1.383    0.893 
  20       800  4.50  9.0  3.1    12.861    9.402    7.240    5.071    4.652    2.370    1.555    1.004 
  20       800  4.50 10.0  3.1    14.288   10.441    8.037    5.622    5.163    2.632    1.727    1.115 
  21       800  5.00  1.0  3.1     1.432    1.051    0.811    0.577    0.522    0.266    0.174    0.112 
  21       800  5.00  2.0  3.1     2.863    2.100    1.621    1.150    1.043    0.530    0.348    0.225 
  21       800  5.00  3.0  3.1     4.293    3.148    2.429    1.720    1.562    0.795    0.521    0.337 
  21       800  5.00  4.0  3.1     5.723    4.194    3.235    2.287    2.080    1.059    0.695    0.450 
  21       800  5.00  5.0  3.1     7.153    5.239    4.039    2.851    2.597    1.323    0.868    0.562 
  21       800  5.00  6.0  3.1     8.582    6.282    4.842    3.413    3.113    1.587    1.041    0.675 
  21       800  5.00  7.0  3.1    10.010    7.324    5.643    3.971    3.628    1.850    1.214    0.787 
  21       800  5.00  8.0  3.1    11.438    8.365    6.443    4.527    4.142    2.113    1.387    0.899 
  21       800  5.00  9.0  3.1    12.865    9.404    7.242    5.081    4.655    2.375    1.560    1.011 
  21       800  5.00 10.0  3.1    14.292   10.442    8.039    5.632    5.168    2.638    1.732    1.123 
  22       800  5.50  1.0  3.1     1.432    1.052    0.812    0.580    0.523    0.266    0.174    0.113 
  22       800  5.50  2.0  3.1     2.864    2.101    1.623    1.155    1.045    0.532    0.349    0.227 
  22       800  5.50  3.0  3.1     4.296    3.149    2.432    1.728    1.565    0.798    0.523    0.340 
  22       800  5.50  4.0  3.1     5.726    4.195    3.239    2.297    2.085    1.063    0.697    0.454 
  22       800  5.50  5.0  3.1     7.156    5.240    4.045    2.864    2.603    1.328    0.871    0.567 
  22       800  5.50  6.0  3.1     8.586    6.284    4.848    3.427    3.120    1.592    1.045    0.680 
  22       800  5.50  7.0  3.1    10.015    7.326    5.651    3.988    3.635    1.857    1.219    0.793 
  22       800  5.50  8.0  3.1    11.444    8.367    6.452    4.546    4.150    2.120    1.392    0.906 
  22       800  5.50  9.0  3.1    12.872    9.406    7.251    5.101    4.664    2.384    1.566    1.019 
  22       800  5.50 10.0  3.1    14.299   10.445    8.049    5.654    5.177    2.647    1.739    1.132 
  23       800  6.00  1.0  3.1     1.433    1.054    0.817    0.585    0.525    0.267    0.175    0.115 
  23       800  6.00  2.0  3.1     2.866    2.106    1.632    1.165    1.049    0.534    0.350    0.229 
  23       800  6.00  3.0  3.1     4.298    3.155    2.445    1.742    1.571    0.801    0.525    0.343 
  23       800  6.00  4.0  3.1     5.730    4.204    3.256    2.316    2.093    1.067    0.699    0.457 
  23       800  6.00  5.0  3.1     7.161    5.250    4.065    2.887    2.613    1.333    0.874    0.571 
  23       800  6.00  6.0  3.1     8.592    6.296    4.873    3.454    3.131    1.599    1.048    0.685 
  23       800  6.00  7.0  3.1    10.022    7.339    5.678    4.019    3.649    1.864    1.222    0.799 
  23       800  6.00  8.0  3.1    11.452    8.382    6.483    4.581    4.165    2.129    1.396    0.912 
  23       800  6.00  9.0  3.1    12.880    9.423    7.285    5.140    4.681    2.394    1.570    1.026 
  23       800  6.00 10.0  3.1    14.309   10.463    8.086    5.696    5.195    2.658    1.744    1.140 
  24       900  3.50  1.0  3.1     1.438    1.069    0.837    0.601    0.533    0.269    0.175    0.112 
  24       900  3.50  2.0  3.1     2.875    2.135    1.671    1.198    1.063    0.538    0.350    0.223 
  24       900  3.50  3.0  3.1     4.311    3.199    2.502    1.791    1.592    0.807    0.524    0.334 
  24       900  3.50  4.0  3.1     5.747    4.260    3.331    2.379    2.119    1.075    0.699    0.445 
  24       900  3.50  5.0  3.1     7.182    5.319    4.157    2.964    2.645    1.343    0.873    0.556 
  24       900  3.50  6.0  3.1     8.616    6.377    4.981    3.545    3.169    1.611    1.047    0.667 
  24       900  3.50  7.0  3.1    10.050    7.432    5.803    4.123    3.692    1.878    1.221    0.778 
  24       900  3.50  8.0  3.1    11.483    8.485    6.622    4.697    4.214    2.145    1.395    0.889 
  24       900  3.50  9.0  3.1    12.915    9.537    7.440    5.268    4.734    2.411    1.568    1.000 
  24       900  3.50 10.0  3.1    14.347   10.587    8.255    5.836    5.253    2.677    1.742    1.111 
  25       900  4.00  1.0  3.1     1.437    1.068    0.835    0.601    0.532    0.270    0.175    0.112 
  25       900  4.00  2.0  3.1     2.874    2.134    1.669    1.198    1.063    0.539    0.350    0.223 
  25       900  4.00  3.0  3.1     4.310    3.197    2.499    1.790    1.592    0.808    0.525    0.335 
  25       900  4.00  4.0  3.1     5.746    4.258    3.327    2.378    2.119    1.076    0.699    0.446 
  25       900  4.00  5.0  3.1     7.180    5.316    4.153    2.962    2.644    1.344    0.874    0.558 
  25       900  4.00  6.0  3.1     8.614    6.373    4.976    3.543    3.169    1.611    1.048    0.669 
  25       900  4.00  7.0  3.1    10.048    7.428    5.797    4.120    3.691    1.879    1.222    0.780 
  25       900  4.00  8.0  3.1    11.481    8.481    6.616    4.694    4.213    2.145    1.396    0.892 
  25       900  4.00  9.0  3.1    12.913    9.532    7.433    5.265    4.733    2.412    1.570    1.003 
  25       900  4.00 10.0  3.1    14.344   10.581    8.248    5.832    5.252    2.678    1.743    1.114 
  26       900  4.50  1.0  3.1     1.436    1.064    0.831    0.596    0.531    0.268    0.175    0.112 
  26       900  4.50  2.0  3.1     2.872    2.125    1.659    1.188    1.059    0.537    0.350    0.224 
  26       900  4.50  3.0  3.1     4.307    3.184    2.484    1.776    1.586    0.805    0.525    0.336 
  26       900  4.50  4.0  3.1     5.741    4.241    3.307    2.360    2.112    1.072    0.700    0.448 
  26       900  4.50  5.0  3.1     7.174    5.296    4.128    2.940    2.636    1.340    0.874    0.560 
  26       900  4.50  6.0  3.1     8.607    6.349    4.946    3.517    3.158    1.607    1.048    0.671 
  26       900  4.50  7.0  3.1    10.040    7.401    5.763    4.090    3.680    1.873    1.222    0.783 
  26       900  4.50  8.0  3.1    11.472    8.450    6.577    4.661    4.200    2.139    1.396    0.895 
  26       900  4.50  9.0  3.1    12.903    9.498    7.390    5.228    4.719    2.405    1.570    1.006 
  26       900  4.50 10.0  3.1    14.333   10.545    8.201    5.792    5.236    2.670    1.743    1.118 
  27       900  5.00  1.0  3.1     1.436    1.065    0.834    0.600    0.532    0.270    0.177    0.113 
  27       900  5.00  2.0  3.1     2.872    2.128    1.665    1.196    1.063    0.539    0.354    0.225 
  27       900  5.00  3.0  3.1     4.308    3.189    2.493    1.788    1.591    0.809    0.531    0.338 
  27       900  5.00  4.0  3.1     5.743    4.247    3.319    2.376    2.119    1.078    0.708    0.450 
  27       900  5.00  5.0  3.1     7.177    5.303    4.143    2.960    2.644    1.346    0.885    0.563 
  27       900  5.00  6.0  3.1     8.610    6.358    4.965    3.540    3.168    1.614    1.061    0.675 
  27       900  5.00  7.0  3.1    10.043    7.410    5.784    4.117    3.691    1.882    1.237    0.787 
  27       900  5.00  8.0  3.1    11.475    8.461    6.601    4.691    4.213    2.149    1.413    0.899 
